Batting_average On-base_percentage Runs Hits Doubles Triples HomeRuns Runs_batted_in Walks Strike-Outs Stolen_bases Errors Free_agency_eligibility Free_agent Arbitration_eligibility Arbitration Y outlier number
-0.35011 -0.91312 -1.36996 -1.40554 -1.21435 -0.92074 -0.87298 -1.11876 -1.21012 -1.17549 -0.36457 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.74992 1.00000 202
0.58689 1.31798 -0.33466 -0.57573 -0.06454 0.26057 -0.33397 -0.44115 0.12022 -0.49458 -0.62213 0.54547 -0.81246 -0.36176 -0.48885 -0.17487 -0.84684 1.00000 246
-0.29946 -0.29691 -0.74878 -1.00028 -0.35200 -0.92074 -0.44177 -0.74607 -0.80699 -0.43537 -0.70799 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 -0.48340 1.00000 103
-1.76827 -1.72056 -1.16290 -1.21256 -0.92690 -0.92074 -0.44177 -1.01712 -0.96824 -0.43537 -0.62213 0.20756 -0.81246 -0.36176 2.04563 -0.17487 -0.70954 1.00000 130
0.10573 -0.36066 -0.57623 0.35057 -0.35200 -0.13320 -0.98079 -0.44115 -0.36354 -0.87944 -0.27871 0.88339 -0.81246 -0.36176 2.04563 -0.17487 -0.24110 1.00000 313
-0.45141 -0.50940 -0.61074 -0.67222 -0.83108 0.65433 -0.33397 -0.27175 -0.52479 -0.67221 0.57984 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 -0.06585 1.00000 234
-0.50205 0.25555 -0.12759 -0.32486 0.22291 0.65433 -0.65738 -0.33951 0.52336 0.00870 0.15057 -0.29931 -0.81246 -0.36176 -0.48885 -0.17487 -0.90741 1.00000 35
0.08041 0.97800 -1.57702 -1.67571 -1.59763 -0.92074 -0.98079 -1.42368 -1.25044 -1.58995 -0.70799 -1.14409 -0.81246 -0.36176 -0.48885 -0.17487 -0.91549 1.00000 178
0.78949 -0.10568 0.35555 1.02599 0.22291 0.65433 -0.44177 0.81243 -0.36354 -0.70181 -0.27871 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 1.03497 1.00000 167
0.08041 -0.06318 -1.05937 -0.76871 -1.21435 -0.92074 -0.87298 -0.91548 -0.76667 -0.84984 -0.70799 -0.13035 1.23082 -0.36176 -0.48885 -0.17487 -0.58435 1.00000 64
1.65052 1.06299 1.80497 2.26105 2.80999 1.04810 2.68453 2.37093 0.72493 -0.31695 -0.19286 0.71443 1.23082 -0.36176 -0.48885 -0.17487 0.68768 1.00000 44
0.38430 0.12806 1.45987 1.56633 2.42672 0.26057 2.57673 2.16765 0.56367 1.63695 1.00912 0.20756 1.23082 -0.36176 -0.48885 -0.17487 2.01383 1.00000 104
0.15638 -1.14685 -0.78329 -0.36345 -0.06454 -0.92074 -0.65738 -0.57667 -1.21012 -0.43537 -0.70799 0.54547 -0.81246 -0.36176 -0.48885 -0.17487 -0.89529 1.00000 276
0.84014 1.16924 1.97752 1.48914 1.46854 -0.13320 1.82210 1.89660 2.09558 0.95604 1.18083 -0.46826 1.23082 -0.36176 -0.48885 -0.17487 0.74826 1.00000 231
-0.78062 -1.35934 -0.88682 -0.88449 -0.63945 -0.13320 -0.87298 -0.98324 -1.00856 -0.82023 0.32228 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.68531 1.00000 197
-0.50205 -1.08311 -0.54172 0.21548 -0.06454 -0.13320 -0.44177 -0.10235 -0.68605 0.12712 -0.45042 -1.14409 -0.81246 -0.36176 2.04563 -0.17487 -0.32187 1.00000 327
-0.42608 -0.08443 -0.47270 -0.17047 -0.06454 -0.13320 -0.33397 -0.27175 0.20085 -0.10972 -0.53628 1.22130 -0.81246 -0.36176 2.04563 5.71839 -0.39456 1.00000 159
0.10573 0.04306 0.97673 1.08389 0.98945 0.65433 2.03771 1.42228 0.84587 1.54814 -0.10700 -0.80618 1.23082 2.76424 -0.48885 -0.17487 0.84921 1.00000 166
-1.33776 -1.10436 -1.23192 -1.34764 -1.40599 -0.92074 -0.54957 -1.18652 -0.96824 -0.96825 -0.70799 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.90095 1.00000 218
0.56157 0.74427 0.14849 0.15759 -0.44781 -0.13320 -0.33397 -0.30563 0.44273 -0.52419 -0.27871 0.03860 1.23082 -0.36176 -0.48885 -0.17487 1.27969 1.00000 144
-1.61633 -1.14685 -1.33545 -1.25115 -1.31017 -0.13320 -0.87298 -1.11876 -0.76667 -0.99786 -0.62213 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.83472 1.00000 50
-0.93257 -0.87062 -0.81780 -0.80730 -0.83108 0.65433 -0.87298 -1.08488 -0.60542 -0.70181 -0.45042 0.71443 -0.81246 -0.36176 2.04563 -0.17487 0.22975 1.00000 145
1.70117 1.59421 2.97831 2.37684 1.46854 4.19826 0.85187 1.04959 1.69245 0.15672 0.92327 -0.13035 1.23082 -0.36176 -0.48885 -0.17487 1.78042 1.00000 228
1.14403 1.63670 -0.88682 -0.82660 -0.63945 -0.52697 -0.33397 -0.71219 -0.44417 -0.93865 -0.70799 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.64493 1.00000 77
-1.10984 -1.57182 -1.57702 -1.73360 -1.50181 -0.92074 -0.98079 -1.45756 -1.41169 -1.53074 -0.62213 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.89933 1.00000 163
0.05508 -0.65814 -0.99035 -0.51783 -1.02272 -0.92074 -0.54957 -0.77995 -0.92793 -0.90905 -0.53628 -0.63722 1.23082 -0.36176 -0.48885 -0.17487 -0.72165 1.00000 49
1.06806 0.55303 1.01124 1.35406 0.89364 1.44187 -0.01056 1.32064 0.32179 -0.64260 0.57984 -0.63722 -0.81246 -0.36176 2.04563 -0.17487 1.45494 1.00000 192
-3.61695 -3.73917 -1.61153 -1.73360 -1.50181 -0.92074 -0.98079 -1.42368 -1.37138 -1.50114 -0.70799 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.92033 1.00000 7
0.05508 0.31930 -0.88682 -0.69152 -0.44781 -0.92074 -0.54957 -0.40727 -0.36354 -0.40577 -0.53628 -0.13035 -0.81246 -0.36176 -0.48885 -0.17487 -0.88318 1.00000 235
-0.40076 -0.84937 -1.36996 -1.34764 -1.02272 -0.92074 -0.54957 -0.71219 -1.16981 -1.08667 -0.62213 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.88883 1.00000 238
-0.07154 -0.06318 -0.26564 0.29267 0.51036 2.22941 -0.65738 -0.61055 0.28148 0.12712 -0.53628 0.20756 -0.81246 -0.36176 2.04563 -0.17487 -0.04727 1.00000 285
5.04399 3.44283 -1.40447 -1.48273 -1.21435 -0.13320 -0.98079 -1.25428 -1.33106 -1.61956 -0.70799 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.89126 1.00000 203
-0.60335 -1.06186 -0.19662 0.21548 0.12709 0.26057 -0.98079 -0.50891 -0.44417 1.48893 -0.10700 2.06608 -0.81246 -0.36176 2.04563 -0.17487 -0.20072 1.00000 290
1.09338 0.19180 0.01045 0.38916 0.51036 0.26057 -0.76518 0.10094 -0.60542 -0.64260 -0.27871 -0.29931 1.23082 2.76424 -0.48885 -0.17487 0.32425 1.00000 227
0.10573 -0.10568 -0.09308 0.54355 0.31873 1.83564 -0.54957 0.20258 0.20085 -0.22814 0.06471 0.54547 -0.81246 -0.36176 -0.48885 -0.17487 -0.25322 1.00000 140
0.48560 1.29673 1.28732 1.06459 1.66018 -0.52697 2.14551 1.65944 2.41809 1.78497 -0.27871 -1.14409 1.23082 -0.36176 -0.48885 -0.17487 1.25303 1.00000 75
1.54922 0.59553 1.56340 1.97159 1.18109 1.44187 0.63626 1.52392 -0.16197 0.63039 0.23642 -0.13035 1.23082 -0.36176 -0.48885 -0.17487 1.40810 1.00000 55
-2.65463 -2.06054 -1.23192 -1.44413 -1.02272 -0.92074 -0.87298 -1.25428 -0.92793 -0.46498 -0.62213 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.90095 1.00000 188
-0.14751 -0.31816 0.66614 0.85231 1.56436 -0.52697 2.03771 1.25287 0.52336 1.07446 -0.62213 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 1.01074 1.00000 66
0.05508 -0.67939 0.42457 0.67863 0.51036 1.83564 0.31285 0.20258 -0.48448 0.21593 1.09498 2.40399 -0.81246 -0.36176 2.04563 -0.17487 0.99055 1.00000 251
-0.12219 -0.25441 0.63163 1.00669 1.27691 0.26057 0.42066 1.21899 0.44273 0.83763 -0.36457 2.74191 -0.81246 -0.36176 2.04563 -0.17487 0.20310 1.00000 127
0.30833 0.12806 1.70144 1.37335 1.46854 2.22941 0.74407 0.77855 0.68461 1.25209 0.15057 2.91086 -0.81246 -0.36176 2.04563 5.71839 -0.30168 1.00000 273
-1.36308 -1.46558 -0.61074 -0.98098 -0.73527 -0.92074 -0.22616 -0.88160 -0.88761 -0.22814 -0.70799 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.70146 1.00000 229
1.47325 1.55171 1.08026 1.16108 1.75599 0.26057 2.36112 1.89660 1.20869 1.90339 -0.19286 0.03860 1.23082 2.76424 -0.48885 -0.17487 3.27214 1.00000 177
0.33365 0.31930 -0.88682 -0.74941 -0.83108 -0.52697 -0.76518 -0.81384 -0.56511 -0.93865 -0.53628 0.71443 1.23082 2.76424 -0.48885 -0.17487 -0.46321 1.00000 87
-0.37543 -0.57314 -0.02406 0.11899 0.12709 1.83564 -0.01056 0.03318 -0.20229 0.83763 -0.36457 0.03860 -0.81246 -0.36176 -0.48885 -0.17487 -0.73942 1.00000 296
-0.70465 -1.42308 -0.43819 0.25408 0.60618 -0.52697 0.31285 0.30422 -0.76667 0.54158 -0.45042 1.39025 -0.81246 -0.36176 -0.48885 -0.17487 -0.78222 1.00000 80
0.86546 1.82794 1.66693 1.08389 1.08527 1.04810 1.71430 2.43869 2.90185 0.48237 2.98380 -0.63722 -0.81246 -0.36176 2.04563 -0.17487 3.15099 1.00000 168
-0.45141 -0.50940 0.14849 -0.01609 -0.06454 0.26057 0.42066 0.20258 -0.16197 0.48237 0.06471 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.84684 1.00000 261
0.05508 -0.02068 -0.36917 -0.53713 -0.63945 -0.92074 0.20505 -0.17011 -0.48448 -0.31695 0.23642 -0.29931 -0.81246 -0.36176 2.04563 5.71839 -0.20072 1.00000 157
-0.40076 -0.76438 -0.40368 -0.40205 -0.44781 0.65433 -0.65738 -0.71219 -0.80699 -0.13933 0.32228 1.89712 -0.81246 -0.36176 -0.48885 -0.17487 -0.88964 1.00000 209
-0.42608 -0.16942 -0.02406 0.11899 0.79782 -0.92074 -0.33397 -0.00070 0.36210 -0.25774 -0.62213 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.72569 1.00000 186
0.23235 0.19180 0.73516 0.71723 0.51036 -0.13320 1.17528 0.84631 0.40242 0.60079 2.03939 -0.46826 -0.81246 -0.36176 2.04563 -0.17487 0.72807 1.00000 160
-0.29946 -0.02068 -0.85231 -0.22837 -0.25618 -0.92074 -0.33397 -0.61055 -0.52479 -0.90905 -0.53628 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 -0.26129 1.00000 165
-1.03387 -0.10568 -0.19662 -0.36345 -0.06454 -0.92074 0.31285 -0.00070 0.64430 0.60079 0.06471 0.37652 1.23082 2.76424 -0.48885 -0.17487 -0.45351 1.00000 142
1.11871 1.14799 1.42536 0.91021 0.98945 0.65433 1.17528 0.84631 0.80555 0.21593 1.35254 1.39025 1.23082 -0.36176 -0.48885 -0.17487 2.50488 1.00000 155
-1.03387 -1.57182 -1.47349 -1.69500 -1.59763 -0.92074 -0.98079 -1.49145 -1.37138 -1.47153 -0.62213 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.91145 1.00000 43
-1.03387 -1.27434 -1.26643 -1.01958 -0.73527 -0.92074 -0.98079 -1.25428 -1.08918 -0.96825 -0.70799 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.58435 1.00000 173
0.08041 0.48928 1.90850 1.35406 0.79782 -0.92074 3.76256 3.01466 1.73276 2.79153 -0.70799 0.20756 1.23082 -0.36176 -0.48885 -0.17487 2.62603 1.00000 277
0.15638 0.02182 0.14849 -0.01609 -0.63945 1.44187 -0.98079 -0.88160 -0.20229 -0.76102 1.09498 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.48340 1.00000 306
2.10636 1.78544 2.11556 2.08737 0.98945 0.26057 0.63626 1.15123 1.20869 0.63039 2.38281 1.22130 1.23082 -0.36176 -0.48885 -0.17487 0.91948 1.00000 239
-0.62868 0.04306 -0.05857 -0.36345 -0.06454 -0.92074 1.49869 0.57526 0.24116 1.25209 -0.70799 -1.14409 -0.81246 -0.36176 -0.48885 -0.17487 -0.45351 1.00000 19
-0.17284 0.29805 1.87399 0.92950 1.75599 0.26057 2.46892 2.06601 1.45057 1.40011 2.21110 -0.13035 -0.81246 -0.36176 2.04563 -0.17487 1.17227 1.00000 3
-1.05919 -1.25310 -0.88682 -0.67222 -0.54363 -0.92074 0.20505 -0.10235 -0.68605 -0.10972 -0.70799 0.71443 -0.81246 -0.36176 -0.48885 -0.17487 -0.79838 1.00000 143
-0.37543 -0.80688 -0.67976 -0.15118 -1.02272 -0.13320 -0.98079 -0.57667 -0.52479 -0.22814 -0.27871 2.57295 1.23082 2.76424 -0.48885 -0.17487 -0.52378 1.00000 198
-0.95789 0.19180 0.76967 0.33127 -0.25618 -0.52697 1.49869 0.64303 1.93433 2.11062 -0.27871 -0.13035 -0.81246 -0.36176 -0.48885 -0.17487 -0.80242 1.00000 287
0.66287 0.99925 1.39085 1.29616 1.08527 0.65433 0.85187 0.94795 1.77308 1.13367 0.15057 0.20756 1.23082 -0.36176 -0.48885 -0.17487 0.25721 1.00000 299
-1.18581 -1.06186 -1.43898 -1.55992 -1.40599 -0.92074 -0.98079 -1.38980 -1.29075 -1.61956 -0.70799 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.89933 1.00000 24
-0.29946 0.00057 -0.05857 -0.59503 -0.44781 -0.13320 -0.22616 -0.67831 -0.28291 -0.52419 0.75156 -0.13035 1.23082 -0.36176 -0.48885 -0.17487 -0.34206 1.00000 151
0.58689 0.57428 1.08026 1.27686 0.70200 1.44187 -0.87298 0.20258 0.96681 -0.49458 1.43840 1.89712 -0.81246 -0.36176 -0.48885 -0.17487 -0.71761 1.00000 100
-0.75530 -1.82681 -1.19741 -1.09677 -1.21435 -0.52697 -0.87298 -1.11876 -1.33106 -0.90905 -0.70799 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.80645 1.00000 210
0.15638 0.61677 -0.26564 -0.03539 -0.06454 -0.13320 -0.11836 -0.13623 0.48304 -0.73142 -0.36457 0.03860 1.23082 -0.36176 -0.48885 -0.17487 0.75472 1.00000 60
1.24533 0.93550 0.28653 0.13829 -0.06454 1.04810 -0.33397 -0.33951 -0.12166 -0.10972 0.66570 -0.80618 1.23082 -0.36176 -0.48885 -0.17487 0.29759 1.00000 268
0.02976 -0.04193 0.63163 0.81372 1.46854 -0.52697 0.74407 1.01571 0.56367 -0.31695 -0.19286 -0.80618 1.23082 -0.36176 -0.48885 -0.17487 1.75135 1.00000 267
-0.22349 0.27680 0.25202 0.42776 -0.16036 -0.52697 0.85187 0.98183 1.12806 1.75537 -0.19286 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 1.01074 1.00000 90
-1.05919 -0.12692 -0.92133 -1.01958 -1.11854 -0.52697 -0.87298 -0.77995 -0.24260 -1.05707 -0.70799 -0.63722 1.23082 -0.36176 -0.48885 -0.17487 -0.28149 1.00000 260
-0.24881 -0.80688 -0.78329 -0.71081 -1.11854 -0.13320 -0.76518 -1.05100 -0.92793 -0.64260 -0.53628 0.71443 1.23082 2.76424 -0.48885 -0.17487 -0.72569 1.00000 97
-0.37543 0.42554 -0.92133 -0.92309 -0.44781 -0.92074 -0.98079 -0.98324 -0.20229 -0.79063 -0.45042 -0.46826 1.23082 -0.36176 -0.48885 -0.17487 -0.48340 1.00000 84
-0.14751 -0.33941 0.39006 0.29267 0.12709 -0.13320 1.17528 0.71079 -0.16197 0.39356 0.32228 1.05234 1.23082 -0.36176 -0.48885 -0.17487 1.92580 1.00000 148
-0.45141 -0.38191 -1.12839 -1.19326 -0.92690 -0.52697 -0.76518 -1.01712 -0.92793 -0.93865 -0.70799 -1.14409 -0.81246 -0.36176 -0.48885 -0.17487 -0.89529 1.00000 272
-1.46438 -1.40184 -1.23192 -1.34764 -0.92690 -0.92074 -0.87298 -1.05100 -1.08918 -0.67221 -0.62213 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.87106 1.00000 310
1.19468 0.76551 0.76967 1.54703 2.23508 1.44187 -0.11836 1.11735 0.60398 1.66655 1.00912 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.75396 1.00000 69
0.99209 0.99925 1.18379 0.50495 -0.63945 -0.52697 -0.98079 -0.61055 0.48304 -0.49458 5.47361 -0.63722 1.23082 2.76424 -0.48885 -0.17487 1.24092 1.00000 297
0.13106 1.33922 1.32183 0.75582 0.03128 -0.13320 2.36112 1.52392 2.65997 2.19944 -0.45042 -0.13035 1.23082 -0.36176 -0.48885 -0.17487 1.70370 1.00000 207
-0.12219 -0.23317 -0.50721 -0.49854 -0.44781 -0.92074 0.20505 0.03318 -0.40385 -0.76102 -0.70799 -0.63722 1.23082 -0.36176 -0.48885 -0.17487 0.92998 1.00000 219
-1.38841 -0.23317 -1.36996 -1.52132 -1.21435 -0.92074 -0.98079 -1.38980 -1.00856 -1.17549 -0.70799 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.90337 1.00000 319
-0.47673 0.08556 -1.05937 -1.28975 -1.50181 -0.52697 -0.54957 -0.88160 -0.84730 -1.23470 -0.45042 -0.80618 -0.81246 -0.36176 -0.48885 -0.17487 -0.74588 1.00000 226
0.05508 -0.23317 1.21830 1.25757 0.98945 3.01695 1.06748 0.50750 0.48304 1.72576 0.66570 -0.63722 1.23082 -0.36176 -0.48885 -0.17487 -0.18053 1.00000 23
0.10573 -0.87062 -1.36996 -1.05817 -1.11854 -0.92074 -0.98079 -1.15264 -1.21012 -1.14588 -0.53628 0.03860 -0.81246 -0.36176 -0.48885 -0.17487 -0.86541 1.00000 330
0.35898 0.04306 -0.19662 0.44706 -0.44781 -0.52697 -0.11836 0.88019 0.07991 -0.31695 -0.36457 1.55921 1.23082 2.76424 -0.48885 -0.17487 0.95017 1.00000 328
0.00443 0.97800 -0.43819 -0.13188 -0.25618 -0.52697 0.52846 -0.20399 -0.80699 -0.34656 -0.70799 0.54547 1.23082 -0.36176 -0.48885 -0.17487 -0.52378 1.00000 244
0.48560 -0.08443 -0.78329 -0.80730 -0.73527 -0.92074 -0.76518 -1.05100 -0.96824 -0.43537 0.57984 -0.46826 -0.81246 -0.36176 -0.48885 -0.17487 -0.77657 1.00000 280
0.13106 -1.12560 -1.26643 -1.21256 -0.83108 -0.92074 -0.98079 -1.18652 -1.37138 -1.20509 -0.70799 -0.63722 -0.81246 -0.36176 -0.48885 -0.17487 -0.72569 1.00000 30
-0.24881 -0.50940 0.39006 0.89091 1.18109 0.26057 0.85187 1.49004 0.36210 0.12712 -0.70799 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 0.75876 1.00000 68
1.24533 1.72170 1.77046 1.43125 1.75599 -0.52697 0.52846 0.27034 1.97464 0.45277 -0.70799 1.39025 -0.81246 -0.36176 -0.48885 -0.17487 -0.55608 1.00000 8
0.38430 0.42554 -0.81780 -0.80730 -0.54363 -0.13320 -0.54957 -0.71219 -0.64573 -0.67221 0.06471 -0.97513 -0.81246 -0.36176 -0.48885 -0.17487 -0.71196 1.00000 307
-1.03387 -0.87062 -0.05857 -0.24767 -0.06454 0.65433 -0.44177 -0.33951 -0.20229 0.54158 0.75156 1.55921 -0.81246 -0.36176 -0.48885 -0.17487 -0.86057 1.00000 88
0.10573 0.59553 0.94222 0.69793 0.70200 1.04810 1.06748 0.13482 1.12806 1.13367 0.49399 0.71443 1.23082 -0.36176 -0.48885 -0.17487 0.28386 1.00000 27
-0.88192 -0.36066 -0.12759 -0.17047 -0.63945 0.65433 0.09725 -0.13623 0.03960 -0.02091 -0.10700 -0.46826 1.23082 -0.36176 -0.48885 -0.17487 0.60692 1.00000 54
1.27065 -0.29691 -1.47349 -1.63711 -1.50181 -0.92074 -0.98079 -1.38980 -1.37138 -1.58995 -0.70799 -1.14409 -0.81246 -0.36176 -0.48885 -0.17487 -0.92033 1.00000 194
-0.19816 0.85051 -0.67976 -0.63362 -0.44781 -0.52697 -0.76518 -0.67831 0.36210 -0.37616 -0.70799 -1.14409 1.23082 -0.36176 -0.48885 -0.17487 -0.38244 1.00000 156
1.09338 0.74427 1.28732 1.48914 1.46854 1.83564 2.14551 2.43869 0.64430 1.01525 -0.36457 -0.46826 1.23082 -0.36176 -0.48885 -0.17487 2.44431 1.00000 216
0.00443 1.21173 0.39006 0.29267 0.60618 -0.92074 -0.54957 0.23646 1.93433 -0.19854 -0.62213 -0.29931 1.23082 -0.36176 -0.48885 -0.17487 0.11749 1.00000 40
