X Y Month Day FFMC DMC DC ISI Temp RH Wind Rain Y outlier number
0.57570 0.56986 0.67033 0.84060 0.33643 0.15985 0.51028 -0.09257 1.07065 -1.06052 -0.00983 -0.07327 16.95111 1.00000 252
1.44092 1.38372 0.23053 -0.12516 0.01003 1.30075 0.38358 -0.48773 -0.46357 1.14784 -0.73612 -0.07327 0.05476 1.00000 91
-1.15475 0.56986 1.11012 1.32347 0.35456 -1.00606 0.58049 -0.04866 -0.60148 -0.56977 -1.74176 -0.07327 -0.20202 1.00000 316
1.44092 1.38372 -1.96844 0.35772 0.19136 -1.21236 -1.89827 -0.00476 -1.82540 3.23352 -0.00983 0.60316 -0.20202 1.00000 378
1.87354 3.82531 -2.40824 0.35772 -0.73343 -1.52650 -2.03748 -0.81704 -0.54976 -0.07902 -0.51265 -0.07327 -0.20202 1.00000 424
-0.28952 -0.24400 0.23053 -0.60803 0.80789 0.47555 0.23347 1.90521 1.69123 -0.69246 -0.00983 -0.07327 -0.20202 1.00000 390
-0.28952 0.56986 -2.40824 0.84060 -1.07796 -1.60464 -1.98906 -1.34392 -0.80834 0.10501 -0.00983 -0.07327 -0.20202 1.00000 477
-1.58736 -1.05786 -1.96844 -1.57379 -0.55210 -0.91698 -1.79214 -0.88290 -1.82540 1.69994 -0.51265 -0.07327 -0.20202 1.00000 369
-0.28952 -1.05786 0.23053 -0.60803 0.26389 0.00512 0.42836 0.12697 0.26044 -0.14037 0.49298 -0.07327 -0.20202 1.00000 462
-0.72214 -0.24400 -0.20926 -0.60803 0.22763 0.35521 -0.11072 -0.22429 -0.80834 0.84113 -0.00983 -0.07327 -0.20202 1.00000 464
-0.28952 -0.24400 1.11012 0.84060 -0.00810 -1.04982 0.56072 -0.50969 -0.08432 -1.18320 -0.51265 -0.07327 0.17899 1.00000 499
0.57570 0.56986 -2.40824 -1.57379 -1.18676 -1.66091 -2.02255 -1.49760 -2.34255 1.45456 -1.23894 -0.07327 -0.20202 1.00000 52
1.00831 -0.24400 0.67033 -0.60803 -0.17130 2.71984 1.19463 0.23673 -1.44616 2.00665 -0.00983 -0.07327 -0.20202 1.00000 77
-0.28952 -0.24400 0.23053 -1.09091 0.55402 -0.13554 0.00952 1.22464 0.55350 0.59575 2.00143 -0.07327 -0.18960 1.00000 406
1.87354 0.56986 -0.64906 -0.60803 0.48149 -0.95917 -1.00974 1.09292 1.57056 -0.63111 0.26951 -0.07327 -0.07371 1.00000 391
-1.15475 -0.24400 0.23053 -0.60803 0.26389 0.00512 0.42836 0.12697 0.27768 -0.56977 -0.00983 -0.07327 -0.17623 1.00000 449
-1.58736 -1.87172 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 -0.01537 -0.26305 -1.01547 -0.07327 3.14545 1.00000 361
0.57570 0.56986 0.67033 -0.12516 0.39083 0.12703 0.95050 -0.33406 0.46730 -1.06052 -1.01547 -0.07327 -0.20202 1.00000 182
0.57570 0.56986 0.67033 0.84060 -0.64276 2.81986 1.26161 -1.10243 -0.32566 1.39322 0.49298 -0.07327 -0.13991 1.00000 104
0.14309 -0.24400 -1.96844 0.35772 0.19136 -1.21236 -1.89827 -0.00476 -0.56700 -1.18320 1.27514 -0.07327 -0.20202 1.00000 223
-0.28952 -1.05786 0.67033 0.35772 -0.06250 2.79955 1.24022 -0.35601 0.17425 -0.01768 -0.51265 -0.07327 -0.07937 1.00000 394
1.87354 0.56986 -0.64906 -0.60803 0.48149 -0.95917 -1.00974 1.09292 1.57056 -0.63111 0.26951 -0.07327 -0.20202 1.00000 496
-0.28952 -1.05786 1.11012 1.32347 0.35456 -1.00606 0.58049 -0.04866 -0.87729 0.35038 -0.73612 -0.07327 -0.20202 1.00000 257
-0.28952 0.56986 0.67033 -0.60803 0.40896 0.35052 0.61196 0.03915 0.93274 -1.18320 -0.00983 -0.07327 -0.05405 1.00000 180
-1.58736 0.56986 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 0.46730 -0.69246 -1.01547 -0.07327 -0.02071 1.00000 151
-1.15475 -1.87172 0.23053 -0.12516 0.42709 -0.55595 -0.32821 -0.29015 -0.01537 -0.56977 0.49298 -0.07327 -0.20202 1.00000 153
0.14309 -0.24400 -2.40824 0.35772 -0.98729 -1.65622 -2.14723 -0.59750 -1.96331 0.10501 2.22490 -0.07327 0.17915 1.00000 341
1.44092 1.38372 0.23053 1.32347 0.30016 -0.39966 -0.24186 1.24660 0.32940 -0.75380 1.27514 -0.07327 -0.20202 1.00000 331
-1.15475 -1.87172 0.23053 1.32347 -0.08063 -0.17617 0.33596 -0.59750 0.32940 -0.69246 -0.73612 -0.07327 -0.20202 1.00000 43
0.14309 -0.24400 0.67033 0.35772 0.26389 -0.18555 0.79636 0.12697 -1.04967 1.20919 -0.23331 -0.07327 -0.17623 1.00000 301
-0.28952 -0.24400 1.98971 -1.57379 -0.95102 -1.33583 -0.79992 -1.40979 -2.46322 -1.42858 2.50425 -0.07327 -0.04839 1.00000 389
0.57570 -1.05786 0.67033 0.35772 0.33643 0.17391 0.97552 0.25869 -0.51528 0.65710 -0.23331 -0.07327 -0.20202 1.00000 325
1.44092 1.38372 0.67033 -1.57379 0.15510 0.30050 1.04573 -0.33406 -0.51528 0.41172 0.26951 -0.07327 -0.16774 1.00000 87
-1.15475 0.56986 -0.20926 0.84060 0.17323 -0.10428 -0.29472 -0.00476 -0.03261 0.53441 -1.23894 -0.07327 -0.20202 1.00000 379
1.00831 -0.24400 -2.40824 -1.57379 -1.07796 -1.58433 -1.97574 -1.08048 -1.96331 1.63859 1.27514 -0.07327 -0.04540 1.00000 433
-0.28952 -1.05786 0.23053 0.84060 0.64469 0.09889 0.13380 0.43432 0.43283 -0.01768 -0.73612 -0.07327 -0.19133 1.00000 271
-0.72214 -0.24400 0.23053 1.32347 0.20950 1.00380 0.61640 1.04902 1.36370 -0.38574 1.27514 -0.07327 -0.19007 1.00000 38
0.57570 0.56986 -0.64906 -1.57379 -0.04437 -0.27463 -1.00813 -0.33406 0.31216 -1.18320 0.49298 -0.07327 -0.20202 1.00000 506
0.57570 0.56986 0.67033 -1.09091 0.22763 0.01294 0.89724 -0.55360 0.38111 -0.56977 -0.73612 -0.07327 -0.11318 1.00000 97
-0.28952 0.56986 0.67033 -0.12516 0.40896 0.40834 0.63940 0.03915 0.45007 -1.79664 -1.74176 -0.07327 -0.02810 1.00000 432
-0.72214 -0.24400 0.23053 -0.12516 0.17323 2.14939 0.83066 -0.59750 -0.36014 0.71844 -0.51265 -0.07327 -0.20202 1.00000 262
0.57570 -1.05786 -1.96844 0.84060 -0.00810 -0.94980 -1.80586 -0.26820 -0.63595 -0.81514 2.50425 -0.07327 -0.17151 1.00000 349
1.00831 0.56986 0.23053 0.84060 0.55402 1.87901 0.67450 -0.13648 1.29475 -0.69246 -0.23331 -0.07327 -0.20202 1.00000 193
-1.15475 -0.24400 0.67033 0.84060 0.33643 0.15985 0.51028 -0.09257 0.89826 -0.93783 0.26951 -0.07327 -0.20202 1.00000 333
-0.72214 -0.24400 0.67033 -1.57379 0.20950 -0.50594 0.71163 0.03915 0.00187 -0.56977 -0.73612 -0.07327 -0.20202 1.00000 74
0.14309 1.38372 0.23053 1.32347 0.17323 1.10070 0.26252 -0.31211 0.93274 -0.69246 -0.23331 -0.07327 -0.14494 1.00000 118
0.57570 0.56986 0.23053 -1.09091 0.98922 1.09757 0.49736 1.15878 2.48419 -1.12186 -0.73612 -0.07327 0.43546 1.00000 323
1.00831 0.56986 0.23053 -1.09091 0.98922 1.09757 0.49736 1.15878 0.46730 1.27053 0.49298 2.63243 -0.20202 1.00000 475
-1.15475 -0.24400 0.67033 1.32347 0.31829 -0.07927 0.84801 0.19283 -0.49805 0.04366 -1.23894 -0.07327 -0.20202 1.00000 340
-0.72214 -0.24400 -0.20926 -1.57379 0.71722 0.76781 0.07772 1.68567 -0.17052 0.22769 -0.73612 -0.07327 -0.20202 1.00000 324
0.57570 0.56986 -1.52865 -0.12516 -1.65822 -1.59058 -1.98825 -1.38783 -2.25636 0.59575 0.99580 -0.07327 -0.03015 1.00000 148
-0.28952 -0.24400 0.67033 1.32347 0.51776 0.60058 0.72898 -0.20234 0.69140 -0.32440 0.49298 -0.07327 0.56141 1.00000 439
-1.15475 0.56986 0.23053 0.35772 0.59029 0.38803 0.15640 1.33441 0.79483 -0.50843 0.77232 -0.07327 -0.04446 1.00000 293
0.57570 -0.24400 -1.52865 0.84060 -0.78783 -1.30457 -1.81918 -0.86095 -1.65302 -0.01768 0.26951 -0.07327 -0.20202 1.00000 398
1.44092 1.38372 1.98971 -0.60803 -1.20489 -1.29832 -0.78014 -0.81704 -2.37703 1.02516 2.22490 -0.07327 -0.02606 1.00000 168
-1.58736 -0.24400 0.67033 0.84060 0.28203 -0.13398 0.82138 -0.13648 0.91550 -1.06052 -0.51265 -0.07327 -0.20202 1.00000 372
-1.15475 -1.87172 -2.40824 0.84060 -2.02088 -1.67654 -2.14925 -1.58541 -2.46322 0.90247 -1.74176 -0.07327 -0.09446 1.00000 240
-1.58736 -1.87172 0.67033 -0.12516 0.40896 0.40834 0.63940 0.03915 0.45007 -1.79664 -1.74176 -0.07327 -0.20202 1.00000 29
-1.58736 -0.24400 -0.20926 -1.09091 0.30016 -0.22931 -0.39439 0.67581 0.77759 -0.81514 0.77232 -0.07327 -0.20202 1.00000 131
0.14309 -0.24400 -2.40824 1.32347 -0.69716 -1.48899 -2.01609 -1.12439 -1.11863 0.53441 -1.01547 -0.07327 -0.10170 1.00000 422
1.44092 1.38372 0.23053 0.84060 0.55402 1.87901 0.67450 -0.13648 1.38094 -0.81514 -0.23331 -0.07327 -0.12403 1.00000 268
-0.72214 -0.24400 0.23053 -0.12516 0.42709 -0.55595 -0.32821 -0.29015 0.12254 -0.50843 -0.51265 -0.07327 -0.20202 1.00000 320
1.00831 0.56986 0.67033 0.84060 0.39083 -0.58877 0.66603 2.98093 0.07082 -0.38574 -0.00983 -0.07327 -0.20202 1.00000 55
-0.28952 0.56986 0.67033 1.32347 0.06443 2.58543 1.11836 -0.42187 -0.87729 2.00665 2.00143 -0.07327 -0.20202 1.00000 179
1.00831 -0.24400 1.11012 0.35772 -0.11690 -1.08421 0.54336 -0.07062 -1.30825 0.96381 0.77232 -0.07327 -0.20202 1.00000 8
0.14309 -0.24400 -0.20926 -0.60803 0.55402 -0.14960 -0.35969 0.63190 0.07082 -0.32440 1.77796 -0.07327 -0.08047 1.00000 308
-1.58736 0.56986 0.67033 -1.57379 0.04630 0.24424 0.55910 -0.44383 0.36387 -0.14037 -1.01547 -0.07327 -0.08723 1.00000 132
0.57570 0.56986 0.23053 -0.60803 0.44523 0.72561 0.47921 0.98316 0.55350 -0.44708 -0.23331 -0.07327 -0.19872 1.00000 59
1.00831 -0.24400 0.23053 0.84060 0.20950 0.93816 0.58250 1.02706 0.82931 -0.26305 -1.23894 -0.07327 -0.18032 1.00000 304
0.57570 -1.05786 -0.20926 -1.09091 0.37269 0.83188 0.11242 -0.02671 1.27751 -0.32440 -0.51265 -0.07327 -0.09163 1.00000 440
1.00831 -0.24400 1.11012 -1.09091 -0.00810 -1.17954 0.48889 -0.50969 -0.15328 -0.69246 -1.74176 -0.07327 -0.20202 1.00000 36
1.00831 -0.24400 0.23053 0.84060 -0.08063 0.00043 -0.04253 -0.61946 0.10530 -0.07902 0.99580 -0.07327 -0.20202 1.00000 18
-0.72214 -0.24400 0.23053 0.84060 0.20950 0.93816 0.58250 1.02706 0.29492 0.90247 -1.74176 -0.07327 -0.20202 1.00000 373
-0.28952 -0.24400 1.98971 -1.57379 -0.95102 -1.33583 -0.79992 -1.40979 -2.46322 -1.42858 2.50425 -0.07327 0.07867 1.00000 220
-0.72214 -0.24400 0.23053 1.32347 0.13696 0.49274 0.21572 0.34650 0.15701 -0.32440 0.77232 -0.07327 -0.20202 1.00000 494
1.00831 -0.24400 0.23053 1.32347 0.13696 0.49274 0.21572 0.34650 0.20873 -0.32440 0.77232 -0.07327 -0.15893 1.00000 242
0.57570 -1.05786 -2.40824 0.35772 -1.18676 -1.61871 -1.99793 -1.38783 -0.72215 -0.14037 -0.73612 -0.07327 -0.20202 1.00000 458
0.57570 0.56986 -1.96844 -1.57379 -0.62463 -1.49681 -2.06209 -0.42187 -1.49787 0.04366 0.99580 -0.07327 -0.15202 1.00000 164
-1.15475 0.56986 0.23053 -0.12516 0.82602 0.32551 0.12452 0.30259 0.91550 -0.99917 -0.73612 -0.07327 -0.06553 1.00000 86
0.57570 0.56986 0.67033 0.84060 0.10070 -0.25901 0.79273 -0.13648 -0.60148 0.77978 0.49298 -0.07327 0.41675 1.00000 103
-0.72214 -0.24400 -1.96844 -1.09091 -0.46143 -1.33114 -1.93821 -1.14634 -0.53252 -1.06052 2.00143 -0.07327 -0.20202 1.00000 183
0.57570 0.56986 -1.96844 0.35772 0.10070 -0.97793 -1.81635 0.76362 -1.23930 -0.69246 -0.00983 -0.07327 -0.07135 1.00000 266
-1.15475 0.56986 0.67033 -1.09091 0.06443 0.29113 0.58372 -0.44383 -0.22223 0.10501 -0.51265 -0.07327 -0.09132 1.00000 289
1.00831 -0.24400 -1.96844 1.32347 0.01003 -1.04513 -1.83814 -0.77313 -1.27377 0.96381 -0.00983 -0.07327 -0.07245 1.00000 404
0.14309 -0.24400 0.67033 0.84060 0.28203 -0.13398 0.82138 -0.13648 0.89826 -1.06052 -0.51265 -0.07327 -0.20202 1.00000 444
0.14309 -0.24400 -1.52865 1.32347 0.06443 -1.50462 -2.10769 0.71971 -0.22223 -1.06052 0.99580 -0.07327 -0.20202 1.00000 511
0.14309 -0.24400 0.67033 0.35772 -0.06250 2.79955 1.24022 -0.35601 -0.46357 0.84113 -0.23331 -0.07327 -0.20202 1.00000 470
-0.28952 -0.24400 0.23053 -1.09091 0.26389 0.65215 0.44491 1.15878 0.03634 0.53441 -0.73612 -0.07327 -0.13283 1.00000 270
1.44092 1.38372 0.23053 0.35772 0.59029 0.38803 0.15640 1.33441 0.32940 -0.63111 0.49298 -0.07327 -0.09258 1.00000 63
-1.58736 -0.24400 0.23053 0.35772 -0.00810 2.48385 1.06228 -0.77313 0.57073 0.04366 -0.23331 -0.07327 -0.20202 1.00000 365
1.44092 1.38372 0.23053 1.32347 -0.08063 -0.17617 0.33596 -0.59750 -0.46357 0.90247 -0.51265 -0.07327 0.30227 1.00000 17
1.44092 1.38372 -1.96844 1.32347 -0.24383 -0.93104 -1.79860 0.12697 -1.29101 3.35621 -1.23894 -0.07327 -0.20202 1.00000 140
1.44092 1.38372 0.23053 -1.57379 0.26389 1.50236 0.50301 -0.18038 0.38111 0.59575 -1.01547 -0.07327 -0.20202 1.00000 307
-0.72214 -0.24400 0.23053 -1.57379 0.15510 0.53963 0.24315 0.36845 -0.30842 -0.07902 0.77232 -0.07327 -0.20202 1.00000 235
-0.28952 -0.24400 -1.96844 -1.57379 -0.55210 -0.91698 -1.79214 -0.88290 -1.35997 0.10501 0.99580 -0.07327 -0.20202 1.00000 95
1.44092 1.38372 0.67033 -1.57379 0.22763 0.01294 0.89724 -0.55360 -0.54976 0.41172 -1.01547 -0.07327 -0.20202 1.00000 244
-1.15475 -0.24400 0.23053 1.32347 0.17323 1.10070 0.26252 -0.31211 0.34663 0.35038 -1.01547 -0.07327 0.04958 1.00000 413
1.00831 -0.24400 0.67033 0.35772 0.66282 -0.40279 0.58250 1.51004 0.20873 0.16635 0.49298 -0.07327 0.20887 1.00000 163
-0.28952 -0.24400 -1.96844 0.84060 0.19136 -1.17329 -1.88495 -0.26820 -0.32566 -1.06052 0.49298 -0.07327 0.24865 1.00000 12
0.57570 0.56986 -1.96844 -0.12516 -1.04169 -1.44836 -1.98906 -1.32197 -2.34255 1.57725 0.26951 -0.07327 -0.16837 1.00000 275
-1.58736 -0.24400 0.67033 0.35772 0.33643 0.17391 0.97552 0.25869 0.38111 -0.32440 -1.01547 -0.07327 -0.07434 1.00000 203
-0.28952 0.56986 0.67033 -0.60803 0.40896 0.35052 0.61196 0.03915 0.08806 -1.55126 -1.51828 -0.07327 0.29677 1.00000 221
1.44092 1.38372 0.23053 -0.60803 0.44523 0.72561 0.47921 0.98316 1.69123 -0.99917 -0.73612 -0.07327 -0.20202 1.00000 454
0.57570 0.56986 0.67033 -0.12516 -0.46143 -0.89979 0.72212 -0.79508 -0.89453 0.71844 -1.23894 -0.07327 -0.13252 1.00000 327
-0.28952 -1.05786 -0.64906 -0.12516 0.42709 -0.11053 -0.93307 0.39041 1.29475 -0.56977 -0.73612 -0.07327 -0.04351 1.00000 157
-0.72214 -1.05786 0.67033 0.84060 0.28203 -0.13398 0.82138 -0.13648 0.91550 -1.06052 -0.51265 -0.07327 -0.09855 1.00000 486
0.14309 0.56986 -1.96844 -0.12516 0.04630 -1.43742 -2.08751 -0.22429 -1.25654 0.22769 0.77232 -0.07327 -0.20202 1.00000 441
-1.15475 -0.24400 0.23053 -1.57379 0.26389 1.50236 0.50301 -0.18038 1.55332 -0.69246 -1.01547 -0.07327 -0.16507 1.00000 76
1.44092 1.38372 0.23053 -0.12516 0.75349 1.74304 0.60793 1.07097 0.86379 -0.38574 1.49861 -0.07327 -0.20202 1.00000 141
-0.28952 -0.24400 0.67033 0.35772 0.26389 -0.18555 0.79636 0.12697 -0.60148 0.53441 1.27514 -0.07327 -0.08707 1.00000 443
-0.28952 -0.24400 0.23053 -1.09091 0.98922 1.09757 0.49736 1.15878 0.31216 1.51590 0.49298 1.27958 -0.20202 1.00000 420
-1.58736 -1.05786 0.67033 1.32347 0.06443 2.58543 1.11836 -0.42187 0.51902 -0.07902 -0.00983 -0.07327 0.91066 1.00000 1
-0.28952 0.56986 -1.96844 0.35772 -0.86036 -1.42804 -1.97977 -1.36588 -1.06691 0.47307 1.27514 -0.07327 -0.20202 1.00000 309
-0.28952 -1.05786 -1.96844 -1.57379 -0.55210 -0.91698 -1.79214 -0.88290 -1.35997 0.10501 0.99580 -0.07327 0.37744 1.00000 288
-0.28952 -1.05786 0.23053 1.32347 -1.64008 -0.84665 0.47477 -1.56346 1.53608 -0.75380 -0.73612 -0.07327 -0.10075 1.00000 6
1.00831 -1.05786 -1.96844 -1.57379 -0.55210 -0.91698 -1.79214 -0.88290 -1.35997 0.10501 0.99580 -0.07327 0.22805 1.00000 489
0.14309 -0.24400 -1.96844 -1.57379 -0.09877 -1.11234 -1.86155 -0.61946 -0.98072 -0.26305 0.77232 -0.07327 -0.18708 1.00000 170
0.57570 0.56986 0.67033 0.35772 0.31829 0.10983 0.48445 0.69776 0.12254 -0.69246 1.27514 -0.07327 0.10037 1.00000 363
1.87354 -0.24400 -0.20926 -1.57379 0.30016 -0.29339 -0.42707 0.17087 0.67416 -1.06052 0.26951 -0.07327 -0.17639 1.00000 102
0.14309 -0.24400 0.67033 -1.57379 0.20950 -0.50594 0.71163 0.03915 0.03634 -0.38574 -0.73612 -0.07327 -0.20202 1.00000 381
1.00831 -0.24400 0.67033 -0.12516 -0.17130 2.75579 1.21601 -0.48773 0.08806 0.04366 -0.23331 -0.07327 -0.20202 1.00000 374
-1.15475 -1.05786 0.67033 -1.57379 0.17323 -0.03864 0.87182 -0.61946 -0.15328 0.41172 0.77232 -0.07327 -0.20202 1.00000 367
1.44092 1.38372 0.23053 -0.12516 0.17323 2.14939 0.83066 -0.59750 0.26044 0.71844 -1.01547 -0.07327 -0.20202 1.00000 456
-0.28952 -1.05786 -1.08885 0.35772 -0.18943 -1.33583 -1.91360 -0.72922 -0.15328 -0.26305 -0.00983 -0.07327 0.40307 1.00000 376
0.57570 -0.24400 0.23053 -0.12516 0.82602 0.32551 0.12452 0.30259 0.24320 -0.20171 -0.00983 -0.07327 -0.17214 1.00000 287
0.57570 0.56986 0.67033 -0.60803 0.40896 0.35052 0.61196 0.03915 1.29475 -1.42858 0.26951 -0.07327 -0.20202 1.00000 516
0.57570 0.56986 -1.96844 -0.12516 0.11883 -1.41085 -2.03546 -0.11452 -0.96348 -1.06052 -0.23331 -0.07327 -0.09808 1.00000 393
0.57570 -1.05786 0.67033 -1.57379 0.17323 -0.03864 0.87182 -0.61946 0.70864 -0.63111 -1.01547 -0.07327 0.67919 1.00000 291
-0.28952 -0.24400 0.67033 -0.12516 0.40896 0.40834 0.63940 0.03915 0.32940 -1.67395 -1.51828 -0.07327 -0.20202 1.00000 216
-1.58736 -1.87172 0.23053 0.84060 0.55402 1.87901 0.67450 -0.13648 1.20855 -0.75380 -0.51265 -0.07327 -0.20202 1.00000 144
-1.58736 -1.05786 0.67033 0.35772 0.08256 -0.30589 0.76731 -0.39992 0.03634 0.10501 -1.01547 -0.07327 -0.19683 1.00000 94
-1.15475 -1.87172 0.67033 0.84060 0.33643 0.15985 0.51028 -0.09257 -0.11880 0.10501 -1.23894 -0.07327 2.95770 1.00000 392
-0.28952 -0.24400 -0.20926 -1.09091 -2.02088 -0.78570 -0.73132 -1.65127 0.76036 -0.44708 -0.51265 -0.07327 -0.20202 1.00000 206
-0.28952 0.56986 -2.84803 1.32347 -13.04582 -1.71561 -1.51937 -1.98058 -2.35979 3.41755 -1.74176 -0.07327 -0.20202 1.00000 173
1.00831 -0.24400 0.23053 1.32347 -1.64008 -0.84665 0.47477 -1.56346 0.39835 1.57725 1.49861 -0.07327 -0.02653 1.00000 306
-1.58736 -1.05786 0.23053 0.35772 0.95295 0.73655 0.34565 0.50018 2.32905 -1.06052 -1.01547 -0.07327 -0.20202 1.00000 303
1.44092 1.38372 0.23053 -1.57379 0.30016 -0.34340 -0.21120 -0.11452 0.89826 -1.06052 -0.51265 -0.07327 -0.20202 1.00000 473
1.44092 1.38372 0.23053 -0.12516 0.75349 1.74304 0.60793 1.07097 1.48437 -1.06052 0.49298 -0.07327 11.53301 1.00000 357
1.44092 1.38372 0.23053 0.35772 -0.09877 -0.04489 -0.07320 0.76362 0.39835 0.41172 2.72772 -0.07327 -0.19243 1.00000 317
-0.72214 0.56986 -1.96844 -1.09091 -0.46143 -1.33114 -1.93821 -1.14634 -0.68767 -0.38574 -0.73612 -0.07327 -0.20202 1.00000 358
