Input1 Input2 Input3 Input4 Y outlier number
1.60667 -0.80886 0.55713 1.68775 0.66492 1.00000 261
0.75112 -1.08628 -1.12818 -1.08517 -0.52863 1.00000 135
1.45695 -1.04360 -0.78685 0.30129 2.41262 1.00000 430
1.90611 -1.08628 0.15180 2.90357 1.49615 1.00000 467
-0.29692 0.55694 -0.01886 -0.35995 -0.40075 1.00000 577
-0.59636 -0.08328 -0.80818 -0.67990 -0.08105 1.00000 688
1.49973 -1.12897 0.13047 3.13820 1.51746 1.00000 473
1.84194 -0.91556 -0.40286 1.13316 2.15686 1.00000 755
1.00779 -1.06494 -1.02151 -0.50926 1.58140 1.00000 383
0.25918 -0.85154 -0.82952 -0.27463 1.45352 1.00000 46
-0.70331 1.41056 -0.31752 -0.70123 -0.72045 1.00000 670
-0.53220 0.25817 -0.57352 -0.53059 -0.14499 1.00000 622
-0.78886 1.47458 -0.04020 -0.70123 -0.86964 1.00000 8
0.90084 -0.87288 1.73044 2.00770 -0.05973 1.00000 991
0.85807 -1.00092 1.15445 3.11687 0.47310 1.00000 820
-0.21137 0.08745 1.06912 -0.14665 -0.69914 1.00000 243
-1.08830 1.49592 -1.04285 -1.10651 -1.12540 1.00000 470
-1.17386 -0.18998 -1.12818 -1.12784 -1.12540 1.00000 414
0.23780 -0.78752 -0.80818 -0.16798 1.45352 1.00000 29
1.22167 -0.85154 -0.23219 1.04784 1.45352 1.00000 847
-0.93858 0.42890 -0.97885 -0.99985 -0.84833 1.00000 81
-0.12581 -0.23266 -0.25353 -0.04000 0.15340 1.00000 510
-1.04552 -1.21433 -0.87218 0.96252 1.38958 1.00000 146
-0.23276 -0.40339 -0.65885 -0.29596 0.64361 1.00000 657
-0.51081 0.02343 1.53845 -0.16798 -0.82702 1.00000 750
-0.08303 -0.97958 -1.08551 -0.89320 0.15340 1.00000 465
-0.01887 -0.76618 -0.80818 -0.27463 1.15513 1.00000 856
-0.76747 0.55694 0.89846 -0.55192 -0.93358 1.00000 774
0.60140 -0.70215 -0.40286 0.49326 1.41089 1.00000 668
-0.76747 -0.42473 -1.00018 -0.93586 -0.46469 1.00000 341
-0.31831 0.15147 -0.29619 -0.29596 -0.10236 1.00000 535
0.32335 -0.89422 -0.82952 -0.18931 1.53877 1.00000 312
-0.68192 -0.29668 2.28510 -0.04000 -0.86964 1.00000 99
-1.17386 -0.87288 1.38912 -0.10399 -0.63520 1.00000 148
-0.23276 -0.33936 -0.57352 -0.21064 0.53704 1.00000 179
-0.85303 -0.83020 3.71442 0.83454 -0.80570 1.00000 130
-0.04026 -0.46741 2.05044 0.42927 -0.63520 1.00000 301
-1.23802 -1.15031 -0.93618 -0.57325 -0.05973 1.00000 906
-0.91719 -0.08328 1.90111 -0.40261 -0.97621 1.00000 898
-0.27553 -0.76618 -0.91485 -0.57325 0.68624 1.00000 53
-1.04552 2.41357 -0.55219 -0.97852 -1.04015 1.00000 889
0.38752 -0.16864 0.72779 0.38661 -0.12367 1.00000 593
-0.29692 0.13013 -0.23219 -0.29596 -0.25155 1.00000 508
-1.06691 2.45625 -0.40286 -0.97852 -1.10409 1.00000 462
0.28057 -0.29668 0.15180 0.30129 0.13209 1.00000 537
-0.12581 -0.27534 -0.48819 -0.14665 0.53704 1.00000 611
-0.70331 0.59962 0.81313 -0.50926 -0.86964 1.00000 979
0.55863 -0.70215 2.00777 1.23981 -0.35812 1.00000 806
-0.98136 -0.74484 -1.14951 -1.17050 -1.18934 1.00000 407
0.17363 -0.16864 0.23713 0.17330 -0.03842 1.00000 913
-0.91719 0.62096 -0.93618 -0.97852 -0.76308 1.00000 321
-0.68192 1.21850 -0.38152 -0.72256 -0.72045 1.00000 839
1.60667 -0.89422 -0.16819 1.32513 1.58140 1.00000 715
-0.55359 0.25817 1.11179 -0.35995 -0.84833 1.00000 291
-0.27553 0.17281 -0.21086 -0.29596 -0.16630 1.00000 520
-0.83164 1.09045 -0.78685 -0.87187 -0.69914 1.00000 3
-1.15247 -0.06194 -0.08286 -0.29596 -0.29418 1.00000 502
-0.78886 -0.93690 -0.06153 0.10931 -0.08105 1.00000 907
0.83668 -0.53143 1.41045 0.98385 -0.16630 1.00000 679
0.04530 -0.40339 1.87978 0.40794 -0.59257 1.00000 722
-0.63914 -0.68081 -1.02151 -0.91453 -0.29418 1.00000 95
-0.87441 1.85871 -0.36019 -0.85054 -0.93358 1.00000 292
0.17363 -0.51009 1.92244 0.59991 -0.54994 1.00000 285
1.58528 -0.85154 0.94112 1.87972 0.40916 1.00000 721
-0.93858 -0.08328 -0.29619 -0.12532 0.08946 1.00000 503
0.38752 -0.55277 -0.23219 0.45060 0.83543 1.00000 168
-0.87441 0.34353 -0.93618 -0.93586 -0.67782 1.00000 760
-0.68192 0.10879 1.55978 -0.31729 -0.89096 1.00000 813
-0.55359 0.74900 -0.25353 -0.55192 -0.52863 1.00000 158
0.38752 -0.29668 1.28245 0.47193 -0.37943 1.00000 949
2.88999 -1.10762 -0.65885 1.53844 3.41435 1.00000 394
-0.29692 0.25817 0.89846 -0.21064 -0.69914 1.00000 237
1.43556 -0.76618 0.25847 1.41045 0.98462 1.00000 678
-0.61775 0.81303 0.36513 -0.55192 -0.80570 1.00000 258
-0.95997 1.92274 -0.76552 -0.93586 -0.91227 1.00000 51
-0.44664 -0.36071 -0.76552 -0.50926 0.34522 1.00000 227
-0.29692 -0.48875 2.24244 0.32262 -0.74176 1.00000 332
1.47834 -0.87288 -0.29619 1.11183 1.79453 1.00000 11
2.20555 -1.02226 -0.63752 0.81321 2.66838 1.00000 817
-0.12581 -0.40339 -0.59485 -0.18931 0.70755 1.00000 641
-1.00275 0.85571 0.59980 -0.74389 -1.04015 1.00000 895
-0.93858 1.15448 -0.87218 -0.95719 -0.84833 1.00000 764
-0.51081 -0.89422 -1.10685 -0.99985 -0.48600 1.00000 388
-1.04552 3.03245 -0.70152 -1.02118 -1.06146 1.00000 115
-0.27553 0.53560 0.30113 -0.31729 -0.54994 1.00000 613
-0.48942 -0.83020 -1.04285 -0.85054 0.08946 1.00000 442
-0.01887 -0.59545 2.22110 0.62124 -0.63520 1.00000 319
1.22167 -0.80886 -0.23219 1.00518 1.56009 1.00000 695
0.43029 -0.85154 2.19977 1.70908 -0.31549 1.00000 85
-0.40386 -0.91556 -1.06418 -0.93586 -0.08105 1.00000 897
-0.91719 2.05078 -0.42419 -0.89320 -0.95490 1.00000 309
1.30723 -0.76618 0.34380 1.34646 0.77149 1.00000 229
-0.68192 0.40756 -0.55219 -0.57325 -0.27287 1.00000 153
-0.85303 1.83737 -0.29619 -0.78655 -0.89096 1.00000 26
0.38752 -0.27534 0.38646 0.40794 0.06815 1.00000 558
-0.48942 -0.74484 -1.00018 -0.76522 0.17471 1.00000 334
-0.63914 -0.85154 -1.10685 -1.08517 -0.82702 1.00000 126
-0.66053 -0.29668 -0.89352 -0.80788 -0.16630 1.00000 28
-0.48942 0.30085 -0.55219 -0.48793 -0.14499 1.00000 938
0.15224 -0.33936 -0.10419 0.21597 0.34522 1.00000 920
0.04530 -0.63813 2.41310 0.89853 -0.54994 1.00000 773
0.64418 -0.51009 1.34645 0.77055 -0.29418 1.00000 230
-0.89580 -0.65947 -1.06418 -0.97852 -0.46469 1.00000 422
-0.33970 0.34353 -0.18953 -0.31729 -0.29418 1.00000 544
-0.95997 1.62397 0.02380 -0.85054 -1.01884 1.00000 792
1.86333 -0.93690 -0.14686 1.51711 1.64534 1.00000 861
1.37139 -0.70215 0.49313 1.41045 0.66492 1.00000 953
-0.98136 1.49592 -0.87218 -0.99985 -0.91227 1.00000 870
0.83668 -0.65947 1.60245 1.21848 -0.23024 1.00000 711
-0.21137 0.19415 -0.04020 -0.21064 -0.29418 1.00000 519
1.00779 -0.83020 -0.40286 0.74922 1.70928 1.00000 701
-0.91719 0.36487 1.17579 -0.59458 -0.99752 1.00000 373
-0.81025 1.55995 -0.59485 -0.82921 -0.78439 1.00000 699
-0.70331 1.30386 -0.14686 -0.70123 -0.82702 1.00000 244
-0.55359 0.83437 -0.29619 -0.59458 -0.57126 1.00000 171
0.58001 -0.95824 -0.89352 -0.31729 1.62403 1.00000 788
-0.87441 0.85571 -0.87218 -0.91453 -0.74176 1.00000 731
0.96501 -0.57411 0.66379 1.02651 0.25997 1.00000 636
2.03444 -1.04360 0.36513 2.75426 1.17644 1.00000 371
1.11473 -0.78752 1.51711 1.64509 -0.03842 1.00000 862
-0.98136 1.55995 -0.89352 -0.97852 -0.93358 1.00000 815
-0.78886 -0.31802 -0.97885 -0.93586 -0.50732 1.00000 74
2.05583 -0.93690 0.32247 2.05036 1.11250 1.00000 306
-0.36109 0.49292 0.66379 -0.31729 -0.69914 1.00000 669
-0.68192 1.28252 -0.38152 -0.65857 -0.67782 1.00000 950
0.58001 -0.65947 -0.27486 0.57858 1.06988 1.00000 837
-0.16859 -0.21132 -0.48819 -0.12532 0.49442 1.00000 607
-1.02414 0.47158 -1.06418 -1.08517 -1.01884 1.00000 877
2.84721 -1.12897 -1.14951 -0.93586 0.55836 1.00000 485
1.35001 -0.78752 0.25847 1.34646 0.89937 1.00000 236
-0.95997 2.13614 -0.31752 -0.89320 -0.97621 1.00000 814
-0.25414 0.00208 -0.38152 -0.21064 0.17471 1.00000 573
-0.42525 -0.57411 2.60510 0.45060 -0.76308 1.00000 358
-0.98136 1.81603 -0.04020 -0.87187 -1.04015 1.00000 818
-1.04552 2.02944 -0.91485 -1.04251 -1.04015 1.00000 367
-0.72469 1.26118 -0.38152 -0.72256 -0.74176 1.00000 219
2.91138 -1.10762 -0.91485 0.13064 3.13728 1.00000 900
-0.89580 1.53861 -0.01886 -0.80788 -0.95490 1.00000 314
-0.25414 0.38621 0.32247 -0.27463 -0.54994 1.00000 164
-1.00275 2.34955 -0.76552 -0.99985 -1.01884 1.00000 345
-0.76747 0.77035 -0.72285 -0.78655 -0.52863 1.00000 233
-0.40386 0.59962 0.40780 -0.40261 -0.67782 1.00000 207
0.66557 -0.63813 1.64511 1.00518 -0.33681 1.00000 269
0.83668 -1.12897 -0.53085 2.47696 3.30779 1.00000 137
2.33388 -1.08628 -0.68019 0.85587 2.73232 1.00000 449
0.66557 -0.46741 1.43178 0.83454 -0.27287 1.00000 674
-0.38248 0.15147 1.21845 -0.23197 -0.76308 1.00000 969
-0.70331 -0.57411 -1.02151 -0.89320 -0.31549 1.00000 787
0.70835 -0.65947 -0.18953 0.70656 1.13382 1.00000 647
-0.91719 2.00810 -0.36019 -0.85054 -0.95490 1.00000 43
-0.89580 0.81303 -0.87218 -0.93586 -0.74176 1.00000 980
-1.10969 2.90440 -0.59485 -1.04251 -1.10409 1.00000 899
1.20029 -0.89422 -0.59485 0.59991 2.11423 1.00000 744
-0.91719 -0.63813 -1.12818 -1.14917 -1.01884 1.00000 477
-0.91719 2.15748 -0.68019 -0.93586 -0.93358 1.00000 759
-0.93858 1.53861 -0.82952 -0.91453 -0.86964 1.00000 752
0.00252 0.17281 0.42913 -0.01867 -0.35812 1.00000 928
0.55863 -0.72349 -0.36019 0.51459 1.26170 1.00000 215
-1.04552 2.75502 -0.59485 -0.99985 -1.08278 1.00000 374
3.31776 -1.17165 -1.21351 -1.19183 -0.86964 1.00000 826
-0.46803 0.27951 1.00512 -0.33862 -0.78439 1.00000 270
-0.29692 0.08745 -0.36019 -0.27463 0.02552 1.00000 555
0.36613 -0.51009 1.68778 0.66390 -0.46469 1.00000 262
-0.68192 -0.36071 -0.93618 -0.78655 -0.14499 1.00000 294
-0.46803 -0.76618 -1.02151 -0.80788 0.11077 1.00000 347
-1.08830 2.92574 -0.78685 -1.06384 -1.08278 1.00000 381
-0.33970 -0.70215 -0.89352 -0.59458 0.60098 1.00000 743
0.06669 -0.29668 -0.25353 0.13064 0.51573 1.00000 568
-0.46803 -0.85154 -1.04285 -0.78655 0.30259 1.00000 429
-1.04552 1.15448 -0.97885 -1.04251 -0.97621 1.00000 434
-0.33970 0.38621 -0.23219 -0.35995 -0.27287 1.00000 554
-0.93858 1.73067 -0.06153 -0.82921 -0.99752 1.00000 778
-0.40386 -0.51009 -0.82952 -0.53059 0.43048 1.00000 704
0.92223 -0.89422 1.62378 2.26366 0.02552 1.00000 790
0.62279 -0.76618 1.98644 1.49578 -0.29418 1.00000 325
-0.72469 1.34654 -0.29619 -0.72256 -0.78439 1.00000 232
2.74027 -1.06494 -0.40286 1.73041 2.47656 1.00000 454
-0.01887 -0.23266 1.45312 0.17330 -0.61388 1.00000 849
3.01832 -1.06494 -0.46686 1.45311 2.32737 1.00000 424
-0.70331 1.11179 0.27980 -0.63724 -0.84833 1.00000 14
0.43029 -0.72349 -0.50952 0.34395 1.34695 1.00000 228
0.47307 -1.02226 1.58111 2.81825 0.08946 1.00000 385
1.79917 -0.87288 0.68513 1.96504 0.70755 1.00000 18
-0.78886 -0.55277 -1.04285 -0.97852 -0.48600 1.00000 435
0.70835 -0.87288 -0.68019 0.25863 1.85847 1.00000 860
-1.19524 3.69400 -1.02151 -1.12784 -1.12540 1.00000 886
-1.15247 -0.74484 3.69308 -0.18931 -1.01884 1.00000 412
-0.57497 -0.04060 1.64511 -0.21064 -0.84833 1.00000 62
1.00779 -1.19299 -1.23484 -1.23449 -1.12540 1.00000 494
-0.40386 0.64230 0.47180 -0.38128 -0.65651 1.00000 660
4.17331 -1.17165 -1.21351 -1.23449 -1.23197 1.00000 493
-0.25414 0.25817 -0.08286 -0.27463 -0.31549 1.00000 529
-0.59636 0.96241 -0.40286 -0.61591 -0.57126 1.00000 633
0.75112 -0.59545 1.66645 1.09050 -0.25155 1.00000 1
-1.13108 1.51727 -1.06418 -1.12784 -1.14672 1.00000 901
1.92750 -0.89422 0.25847 1.85839 1.11250 1.00000 289
-1.06691 1.58129 0.08780 -0.89320 -1.06146 1.00000 386
1.82056 -0.91556 0.77046 2.22100 0.62230 1.00000 318
-0.72469 -0.70215 -1.06418 -0.99985 -0.63520 1.00000 116
0.64418 -0.65947 -0.31752 0.59991 1.36827 1.00000 662
2.22694 -0.97958 0.04514 1.98637 1.49615 1.00000 324
-0.29692 0.10879 -0.33886 -0.29596 -0.01711 1.00000 549
-1.13108 1.64531 -1.08551 -1.14917 -1.16803 1.00000 406
-0.25414 -1.04360 -1.14951 -1.14917 -0.93358 1.00000 484
-0.10442 -0.27534 1.70911 0.17330 -0.67782 1.00000 280
-1.13108 2.84038 -0.44552 -1.04251 -1.12540 1.00000 482
-0.78886 0.51426 -0.82952 -0.82921 -0.52863 1.00000 965
1.47834 -0.89422 -0.27486 1.15449 1.70928 1.00000 278
-0.40386 -0.31802 -0.72285 -0.46660 0.38785 1.00000 955
2.61194 -1.04360 -0.18953 2.05036 2.02898 1.00000 363
-0.01887 -0.04060 0.15180 0.00266 -0.20893 1.00000 910
-1.08830 0.83437 -1.08551 -1.10651 -1.12540 1.00000 133
-0.14720 -0.12596 -0.29619 -0.10399 0.15340 1.00000 536
-0.04026 -1.06494 1.53845 3.41549 0.15340 1.00000 395
-0.53220 -1.04360 -1.17085 -1.19183 -1.21066 1.00000 143
-0.95997 2.41357 -0.55219 -0.93586 -0.99752 1.00000 775
-0.93858 1.64531 -0.76552 -0.93586 -0.86964 1.00000 298
1.28584 -0.74484 1.04779 1.45311 0.17471 1.00000 848
0.15224 -0.27534 0.00247 0.19464 0.17471 1.00000 516
-0.76747 1.32520 0.04514 -0.72256 -0.89096 1.00000 718
-0.46803 -0.72349 3.03176 0.85587 -0.69914 1.00000 113
-0.72469 1.34654 -0.21086 -0.70123 -0.80570 1.00000 238
-0.66053 -0.95824 -1.14951 -1.12784 -0.97621 1.00000 400
-0.29692 0.17281 -0.27486 -0.31729 -0.14499 1.00000 915
0.02391 -0.27534 -0.27486 0.06665 0.43048 1.00000 562
-0.25414 -0.01926 1.47445 -0.04000 -0.69914 1.00000 7
0.02391 0.13013 0.42913 0.00266 -0.29418 1.00000 571
-0.06165 -0.68081 -0.74418 -0.23197 1.04856 1.00000 251
-0.70331 0.66364 -0.70152 -0.72256 -0.46469 1.00000 671
0.81529 -0.57411 0.32247 0.74922 0.34522 1.00000 156
2.48360 -1.00092 0.00247 2.19967 1.70928 1.00000 84
-0.95997 2.05078 -0.76552 -0.95719 -0.93358 1.00000 768
-0.14720 -0.08328 -0.31752 -0.14665 0.11077 1.00000 916
-1.00275 2.24284 -0.74418 -0.97852 -0.99752 1.00000 333
0.85807 -0.53143 0.57846 0.91986 0.25997 1.00000 618
-1.19524 -0.10462 -0.68019 -0.40261 0.23865 1.00000 150
-0.40386 -0.59545 -0.87218 -0.59458 0.47310 1.00000 726
-0.04026 -0.16864 -0.29619 -0.01867 0.32391 1.00000 550
2.05583 -1.04360 -0.78685 0.36528 2.75364 1.00000 370
1.88472 -0.87288 0.47180 1.94371 0.85674 1.00000 728
-0.68192 1.34654 -0.08286 -0.65857 -0.80570 1.00000 686
-0.89580 2.11480 -0.50952 -0.87187 -0.93358 1.00000 746
-0.27553 0.25817 0.98379 -0.16798 -0.67782 1.00000 680
0.55863 -1.10762 -1.19218 -1.21316 -1.23197 1.00000 904
1.07195 -0.63813 0.59980 1.15449 0.40916 1.00000 205
-0.27553 -0.68081 -0.87218 -0.50926 0.70755 1.00000 858
-0.27553 -0.76618 -0.93618 -0.63724 0.55836 1.00000 770
2.20555 -0.95824 -0.27486 1.53844 2.05029 1.00000 765
1.45695 -0.83020 1.19712 1.92238 0.23865 1.00000 740
-0.91719 2.09346 -0.59485 -0.91453 -0.91227 1.00000 39
-0.55359 0.55694 0.66379 -0.46660 -0.82702 1.00000 263
-0.95997 1.81603 -0.80818 -0.95719 -0.91227 1.00000 315
-0.14720 -0.31802 -0.53085 -0.12532 0.57967 1.00000 616
2.41944 -1.04360 -0.48819 1.32513 2.39131 1.00000 437
-0.12581 0.15147 0.13047 -0.12532 -0.33681 1.00000 538
-0.66053 0.47158 -0.65885 -0.67990 -0.31549 1.00000 661
1.39278 -0.40339 0.81313 0.40794 -0.23024 1.00000 829
-0.78886 -0.04060 -0.93618 -0.87187 -0.46469 1.00000 863
