Focal_depth Latitude Longitude Y outlier number
-0.43249 -0.23551 0.59829 -0.40754 1.00000 406
0.92442 -0.73880 0.94570 2.76065 1.00000 1388
-0.49261 -0.20014 0.60148 -0.93557 1.00000 194
-0.57849 1.03240 0.17127 1.17655 1.00000 2132
-0.47543 0.63716 0.31086 -0.93557 1.00000 290
-0.55273 1.05958 0.12541 -0.93557 1.00000 2146
2.67638 -1.29384 1.05071 1.17655 1.00000 955
-0.40673 1.03273 0.52853 0.12049 1.00000 1233
-0.40673 1.25474 0.72458 -0.93557 1.00000 664
-0.17485 -0.26006 0.59820 -0.93557 1.00000 1458
-0.46685 1.28127 0.83178 -0.40754 1.00000 62
-0.35520 -0.54855 0.58953 1.70458 1.00000 798
-0.20920 -1.26535 -1.06114 1.17655 1.00000 2009
-0.54414 -0.25155 0.54233 0.12049 1.00000 504
0.44349 -0.26498 0.58087 -0.93557 1.00000 254
-0.38955 1.39522 -1.90272 1.70458 1.00000 218
4.78903 -0.01644 0.57935 0.12049 1.00000 795
-0.38955 1.59824 -1.60562 1.17655 1.00000 763
-0.63002 0.79958 0.19845 1.17655 1.00000 1026
0.23737 -0.98407 0.97591 0.12049 1.00000 1700
-0.44967 -1.02696 -1.93217 -0.93557 1.00000 207
0.46066 -0.76500 0.94772 0.12049 1.00000 1095
-0.32944 -0.24369 0.67174 -0.40754 1.00000 1182
0.30608 1.13031 0.73400 2.23262 1.00000 1657
-0.25214 -2.24608 -0.67468 -0.93557 1.00000 549
-0.38096 0.53467 0.73863 -0.93557 1.00000 1392
-0.35520 -2.01326 0.87645 -0.40754 1.00000 738
0.12573 -1.51389 1.02909 -0.93557 1.00000 1992
-0.26932 -1.47983 1.05088 -0.40754 1.00000 1740
-0.44108 0.99474 -0.27224 -0.93557 1.00000 511
-0.35520 -1.34067 -1.06678 -0.93557 1.00000 898
-0.13191 -0.46571 0.83893 -0.93557 1.00000 505
-0.43249 -1.10784 -1.93764 2.23262 1.00000 1321
-0.38096 -0.27545 -0.50320 0.12049 1.00000 676
0.48643 -0.92545 0.96506 0.64852 1.00000 1614
-0.26073 -1.26175 -1.96027 -0.40754 1.00000 1425
-0.32085 -0.50729 0.85475 -0.40754 1.00000 1422
3.97317 -0.44933 0.47435 -0.93557 1.00000 2017
-0.46685 -0.80626 -1.90937 -0.93557 1.00000 768
-0.36379 -0.24369 -0.71002 -0.40754 1.00000 901
0.20302 -0.74437 0.94410 1.70458 1.00000 1147
0.67536 -0.73651 -1.05778 -0.40754 1.00000 1823
-0.63861 2.14018 -0.00307 0.12049 1.00000 1717
-0.35520 -0.77744 -1.91778 -0.40754 1.00000 1322
-0.46685 -0.47127 0.82530 0.64852 1.00000 1225
-0.50120 1.20235 0.79475 -0.40754 1.00000 810
-0.35520 -1.21754 -1.94243 2.76065 1.00000 974
-0.55273 -1.56104 -1.09900 0.12049 1.00000 2105
0.06561 -1.10719 -1.95379 1.17655 1.00000 487
-0.54414 0.66500 0.63741 1.70458 1.00000 1245
-0.63861 2.14051 0.00013 3.28868 1.00000 1100
-0.41532 1.08381 0.74200 -0.93557 1.00000 346
1.06183 -0.13989 0.59088 -0.93557 1.00000 1169
-0.42391 -0.42903 0.82420 -0.93557 1.00000 654
-0.58708 -1.26699 0.52416 -0.40754 1.00000 1488
-0.35520 -1.98870 0.88563 0.12049 1.00000 206
-0.25214 0.37323 0.56497 -0.93557 1.00000 714
3.60388 -0.41233 0.84120 -0.93557 1.00000 1583
-0.09756 -0.48470 0.84558 1.17655 1.00000 1076
3.41495 -1.30170 -1.97247 -0.93557 1.00000 1052
-0.30367 -1.26339 -1.96035 1.17655 1.00000 1419
-0.11474 -0.04656 0.60493 -0.40754 1.00000 1101
-0.42391 -0.74895 -1.91627 -0.40754 1.00000 948
-0.20920 1.19842 0.79652 0.12049 1.00000 1342
-0.34661 -1.88391 0.91726 -0.93557 1.00000 293
0.38337 -0.64941 0.93931 2.76065 1.00000 689
-0.55273 -1.95955 0.89328 -0.93557 1.00000 2005
-0.31226 -0.48601 0.80031 1.70458 1.00000 817
-0.63861 -0.33440 0.72517 -0.93557 1.00000 971
0.26314 -0.10321 -1.10321 1.70458 1.00000 1551
-0.28650 -0.74928 0.93872 -0.93557 1.00000 924
-0.20920 -0.61273 0.93754 -0.40754 1.00000 259
-0.09756 0.63913 0.61974 0.12049 1.00000 799
-0.55273 1.01799 -0.09150 0.64852 1.00000 1237
-0.63861 1.30386 -0.05700 -0.40754 1.00000 1449
-0.63861 1.37230 0.20240 -0.40754 1.00000 1642
-0.35520 -1.27059 -1.96145 0.12049 1.00000 336
-0.36379 -0.62616 0.44431 1.70458 1.00000 1502
-0.24356 -0.31278 0.37893 -0.93557 1.00000 583
-0.46685 1.38703 1.03506 2.76065 1.00000 121
0.07420 -0.48994 0.84894 -0.40754 1.00000 811
-0.15768 0.87129 0.71903 -0.93557 1.00000 1506
0.74407 1.46137 -1.93486 0.12049 1.00000 496
0.00550 -0.52432 0.45331 -0.93557 1.00000 1588
-0.38096 1.72693 -1.68530 -0.93557 1.00000 552
-0.26932 0.36308 0.56547 0.12049 1.00000 1513
-0.44967 -0.47226 0.81310 0.64852 1.00000 667
-0.15768 1.18892 0.79080 -0.93557 1.00000 1366
-0.26932 -0.24271 0.60014 -0.40754 1.00000 1409
-0.34661 0.49406 0.56564 0.12049 1.00000 712
-0.18344 -0.46047 0.83741 -0.40754 1.00000 2016
-0.24356 1.18041 0.78138 -0.93557 1.00000 941
-0.37238 1.05630 0.70784 1.17655 1.00000 1893
-0.25214 -0.45490 0.83413 2.23262 1.00000 684
-0.55273 -2.25525 -0.90885 -0.93557 1.00000 1906
0.91583 -1.18578 -1.96204 0.64852 1.00000 723
-0.26932 -0.46669 0.75344 -0.40754 1.00000 770
-0.55273 -0.32064 0.67250 -0.40754 1.00000 2158
-0.36379 -0.50271 0.84987 -0.40754 1.00000 932
-0.25214 0.99605 -0.27476 1.70458 1.00000 122
-0.20920 -0.53447 0.55992 -0.40754 1.00000 1146
0.29749 -0.51384 0.61301 -0.93557 1.00000 1289
0.34043 -0.99062 0.98222 1.70458 1.00000 1694
-0.36379 0.11258 0.02192 -0.93557 1.00000 1872
-0.45826 0.75439 -0.81150 -0.40754 1.00000 177
4.32528 -1.15991 -0.99408 -0.93557 1.00000 88
4.85774 -0.96704 -1.97113 -0.93557 1.00000 371
-0.01168 -0.89664 -1.04541 0.12049 1.00000 1595
-0.62143 1.71220 -1.69649 -0.93557 1.00000 39
-0.63861 -0.22830 -0.70018 0.12049 1.00000 741
0.65819 -0.48634 0.62513 -0.40754 1.00000 378
0.02267 -0.15888 0.61545 -0.93557 1.00000 82
-0.43249 0.74162 0.40501 -0.93557 1.00000 494
-0.20062 -0.42936 0.66669 -0.40754 1.00000 931
-0.24356 0.26616 0.56396 -0.40754 1.00000 1584
-0.25214 -0.47717 0.42479 -0.40754 1.00000 2091
-0.56131 0.86572 -1.45854 1.17655 1.00000 605
-0.63861 1.37524 0.20324 0.12049 1.00000 1537
-0.63861 0.37945 -1.05290 -0.93557 1.00000 790
-0.55273 0.87129 0.70540 -0.93557 1.00000 957
-0.35520 1.61232 -1.74941 -0.93557 1.00000 22
-0.26932 -0.44147 0.83262 0.12049 1.00000 640
0.23737 -1.03122 -1.95362 3.28868 1.00000 1586
0.22879 -0.46996 0.63783 -0.93557 1.00000 1712
-0.35520 -0.72014 0.93653 0.12049 1.00000 2160
-0.01168 -1.49621 1.03279 -0.93557 1.00000 543
-0.32085 -0.30886 0.60232 -0.40754 1.00000 116
4.22222 1.10968 0.63909 -0.93557 1.00000 1508
-0.19203 -0.48306 -1.10792 0.64852 1.00000 727
-0.21779 0.93285 0.72475 -0.93557 1.00000 873
-0.32944 -0.48535 -1.13872 -0.93557 1.00000 355
0.04844 -0.45883 0.78785 -0.93557 1.00000 571
-0.32085 0.24029 -0.84726 -0.93557 1.00000 461
-0.45826 -0.38974 0.81722 -0.93557 1.00000 1152
4.99515 0.00681 0.57935 2.23262 1.00000 1990
-0.32085 -0.91661 0.95917 0.12049 1.00000 802
-0.25214 -0.39825 0.82395 -0.93557 1.00000 1412
0.42631 0.49537 0.33476 0.64852 1.00000 465
-0.63861 0.16432 0.59593 1.17655 1.00000 1143
-0.26932 0.98983 0.30337 -0.93557 1.00000 1250
0.17726 -0.59472 0.89396 -0.40754 1.00000 1327
-0.60425 -0.48306 0.81520 -0.40754 1.00000 668
-0.36379 1.04353 0.74250 -0.40754 1.00000 334
-0.63861 1.37361 0.20122 0.12049 1.00000 1935
-0.63861 1.17091 0.78154 -0.40754 1.00000 448
-0.14050 1.37590 0.85239 0.12049 1.00000 962
-0.35520 -0.58719 0.88916 -0.40754 1.00000 1277
-0.50979 1.06056 0.07106 2.23262 1.00000 1993
-0.44967 1.54683 0.90102 -0.93557 1.00000 118
-0.54414 1.45056 -1.88269 -0.93557 1.00000 1410
-0.22638 1.19351 0.79652 0.12049 1.00000 1368
-0.52696 0.94235 -0.00088 0.12049 1.00000 2152
-0.38096 1.46628 0.98559 -0.93557 1.00000 100
1.35382 -0.81968 0.95622 0.12049 1.00000 507
-0.35520 -1.04694 -1.94210 -0.93557 1.00000 1880
-0.57849 1.02749 0.14847 -0.40754 1.00000 1435
-0.10615 -0.47226 0.13332 0.64852 1.00000 160
4.56574 -0.93855 -1.96524 -0.40754 1.00000 1722
-0.63861 1.36968 0.19542 0.12049 1.00000 255
0.29749 -2.09512 -0.69748 -0.93557 1.00000 1490
-0.55273 0.00648 -0.78827 1.70458 1.00000 2046
-0.60425 1.64703 -1.73469 0.64852 1.00000 23
0.05702 -0.44671 0.81242 0.12049 1.00000 1688
-0.44967 1.59431 -1.74790 -0.93557 1.00000 33
-0.47543 -1.58527 0.84692 -0.93557 1.00000 1956
-0.63861 1.37262 0.20114 0.64852 1.00000 2062
-0.50120 1.45416 1.00477 -0.40754 1.00000 102
-0.31226 0.69807 0.63548 -0.93557 1.00000 1981
-0.20062 1.51572 -1.82943 -0.93557 1.00000 126
-0.29508 0.79499 0.65037 -0.40754 1.00000 326
-0.00309 0.15089 0.75159 -0.93557 1.00000 950
-0.19203 1.42174 -1.95850 -0.93557 1.00000 918
0.00550 -0.42969 0.63556 -0.93557 1.00000 2102
0.93300 -0.50533 0.61663 1.17655 1.00000 1955
-0.25214 -0.98832 0.97238 -0.40754 1.00000 1713
-0.44108 -0.57278 0.81865 0.12049 1.00000 1759
-0.46685 -0.24402 0.36160 -0.93557 1.00000 1017
-0.37238 0.71804 0.02360 0.12049 1.00000 1693
-0.46685 0.01532 0.60847 -0.93557 1.00000 609
1.25935 -0.89729 -1.94151 0.12049 1.00000 1640
-0.59567 -0.64122 -1.08849 -0.40754 1.00000 1165
-0.35520 -0.37238 0.71213 -0.40754 1.00000 596
-0.22638 0.83003 0.65121 1.17655 1.00000 361
-0.00309 -0.43754 0.81747 -0.40754 1.00000 646
0.95018 -0.88125 0.95900 -0.93557 1.00000 1997
4.88350 1.45383 0.81385 2.76065 1.00000 555
-0.32944 1.44630 0.99383 -0.93557 1.00000 643
-0.20062 -0.22699 0.77952 -0.93557 1.00000 1219
1.00171 -0.93560 -1.94563 -0.40754 1.00000 920
-0.63861 2.14018 0.00046 4.34474 1.00000 888
-0.29508 -1.95039 0.71389 -0.40754 1.00000 1162
-0.46685 0.32935 -1.04515 -0.40754 1.00000 2014
-0.16626 -0.43263 0.83119 -0.93557 1.00000 312
-0.27791 1.45514 -1.88858 0.12049 1.00000 247
-0.18344 -0.36452 0.53846 -0.93557 1.00000 415
-0.45826 0.55104 0.59795 -0.93557 1.00000 1183
-0.44967 1.05729 0.70758 1.70458 1.00000 1892
0.04844 -0.50729 0.61419 0.12049 1.00000 315
-0.63861 1.37197 0.20131 -0.93557 1.00000 1285
-0.38955 0.48195 0.57153 0.64852 1.00000 1043
0.89006 -0.02724 0.60300 -0.40754 1.00000 161
-0.60425 -1.27714 -1.03220 2.23262 1.00000 1328
-0.42391 -0.01578 -1.12071 1.17655 1.00000 1195
1.34523 0.93384 0.12819 -0.40754 1.00000 1510
-0.25214 -2.10331 -0.68983 0.64852 1.00000 382
-0.26932 -0.44868 0.81798 -0.40754 1.00000 658
-0.54414 -0.98374 -1.93116 -0.93557 1.00000 2141
-0.50120 -0.26530 0.64683 -0.40754 1.00000 1416
-0.30367 1.16240 0.77431 -0.93557 1.00000 572
-0.35520 1.60872 -1.75884 -0.93557 1.00000 881
-0.33802 -0.82230 -1.90566 0.12049 1.00000 407
-0.02027 -0.45948 0.78499 -0.93557 1.00000 1036
-0.04603 -0.67135 0.93864 0.12049 1.00000 1093
-0.29508 -1.23293 -1.95749 0.12049 1.00000 1849
-0.54414 0.31102 0.54595 0.12049 1.00000 1311
-0.44967 0.20328 0.34670 -0.40754 1.00000 66
-0.37238 -0.63402 0.09580 -0.40754 1.00000 1724
-0.55273 0.28089 -0.12280 -0.40754 1.00000 1338
-0.08038 -0.59243 0.56194 -0.40754 1.00000 1085
-0.10615 1.11623 0.73830 -0.40754 1.00000 1104
0.71830 -0.51057 0.60939 -0.40754 1.00000 1965
-0.21779 1.00686 0.73905 0.64852 1.00000 1654
-0.28650 1.07300 0.73989 0.64852 1.00000 120
-0.23497 1.00850 0.73459 -0.93557 1.00000 1791
-0.63861 1.37295 0.20249 0.64852 1.00000 1709
-0.18344 -0.83638 -1.92939 1.17655 1.00000 1299
-0.42391 -0.62190 0.91289 -0.93557 1.00000 576
-0.55273 -2.07547 0.88613 -0.40754 1.00000 1802
-0.41532 -0.38908 -1.14705 -0.40754 1.00000 1979
-0.63861 0.37782 -0.96690 -0.93557 1.00000 295
-0.37238 0.27303 0.56539 -0.40754 1.00000 356
-0.58708 0.99769 0.54317 -0.40754 1.00000 436
-0.26073 -0.02004 0.57641 -0.93557 1.00000 1211
-0.00309 -0.46440 0.84086 -0.93557 1.00000 1629
2.22121 -1.07870 -1.96717 0.64852 1.00000 1035
-0.29508 -0.03379 0.58163 -0.40754 1.00000 1223
-0.35520 -1.57447 -1.09042 -0.93557 1.00000 261
-0.12332 -0.70344 0.93964 0.12049 1.00000 561
-0.35520 -1.35737 -1.95396 0.12049 1.00000 956
-0.25214 1.24492 0.81242 1.17655 1.00000 1650
-0.30367 -0.35928 0.71272 -0.40754 1.00000 591
-0.59567 1.20431 0.79290 1.17655 1.00000 1133
0.64960 0.05265 -1.07317 -0.93557 1.00000 393
-0.63861 1.30681 -0.05768 0.12049 1.00000 1453
-0.49261 -1.29024 -1.02950 -0.40754 1.00000 1332
0.14291 1.50590 -1.86570 -0.93557 1.00000 743
-0.27791 -0.25352 0.36294 1.17655 1.00000 2050
-0.35520 -0.63664 0.53257 1.70458 1.00000 1326
-0.19203 1.35854 0.85542 -0.40754 1.00000 168
-0.59567 1.05499 0.07468 0.12049 1.00000 1154
-0.11474 0.51600 0.73426 -0.40754 1.00000 201
-0.35520 0.38011 -1.04751 -0.40754 1.00000 1637
-0.35520 -0.55019 0.85870 0.64852 1.00000 1234
0.15149 0.32510 -1.03935 -0.40754 1.00000 1541
-0.53555 -1.36817 -1.97188 -0.93557 1.00000 1718
-0.46685 -0.09830 -1.11937 2.23262 1.00000 843
0.43490 -0.20996 0.60922 -0.93557 1.00000 1896
-0.63861 1.50655 -1.83953 0.64852 1.00000 851
-0.32944 -0.83769 -1.90221 -0.40754 1.00000 1566
-0.26073 -1.61671 -1.09286 -0.40754 1.00000 1792
-0.41532 -0.45850 0.82446 1.70458 1.00000 771
-0.28650 -0.36583 0.71331 2.76065 1.00000 587
-0.17485 -2.10003 -0.69479 0.12049 1.00000 52
-0.27791 1.15552 0.77271 -0.93557 1.00000 915
-0.12332 -0.45326 0.83632 -0.40754 1.00000 657
-0.32944 -1.31480 -1.06552 -0.93557 1.00000 639
-0.02027 -0.48961 0.77809 -0.40754 1.00000 1860
-0.35520 -0.02561 0.57750 -0.93557 1.00000 1209
-0.56990 1.42043 0.99989 -0.93557 1.00000 502
-0.25214 -0.56460 -1.12719 -0.40754 1.00000 524
-0.27791 0.00092 0.60611 -0.40754 1.00000 627
-0.36379 -0.99094 0.97162 -0.40754 1.00000 1632
0.19443 -0.90351 0.96076 -0.93557 1.00000 1375
0.09138 -0.64482 0.93788 -0.40754 1.00000 521
-0.55273 -0.50336 -0.22747 -0.93557 1.00000 1905
-0.45826 -1.62686 0.98542 0.64852 1.00000 339
-0.53555 -1.26011 -1.95985 -0.93557 1.00000 377
-0.30367 0.31888 0.78028 1.17655 1.00000 556
-0.53555 -0.32916 0.70716 -0.40754 1.00000 703
-0.63861 1.37459 0.20249 0.12049 1.00000 476
-0.39814 -0.67298 0.93561 -0.40754 1.00000 1811
-0.34661 -0.63042 0.53165 -0.93557 1.00000 1319
-0.38955 0.27401 -1.26813 2.76065 1.00000 155
-0.51837 1.26326 0.72559 0.12049 1.00000 662
-0.53555 -0.56951 0.79114 -0.40754 1.00000 1380
1.14771 -1.25749 -1.97070 0.12049 1.00000 1848
-0.29508 -1.33084 -1.06476 -0.93557 1.00000 2088
-0.18344 1.32056 0.83674 -0.93557 1.00000 192
-0.63861 1.37197 0.20215 0.64852 1.00000 1504
-0.32085 1.03960 0.53392 0.64852 1.00000 1201
-0.63861 -2.03585 0.87393 0.12049 1.00000 1568
-0.45826 -1.10817 -1.94210 1.70458 1.00000 2035
-0.24356 -0.71654 0.94015 -0.40754 1.00000 547
-0.01168 -0.35830 0.71036 1.17655 1.00000 341
0.63242 0.32870 -1.00620 -0.93557 1.00000 539
-0.35520 1.48330 -1.82295 0.64852 1.00000 105
-0.57849 -1.31512 0.20207 0.12049 1.00000 190
1.31947 -0.43918 0.77523 -0.93557 1.00000 1843
-0.51837 -1.28893 -1.39468 -0.40754 1.00000 77
-0.05462 -0.07734 0.60064 0.12049 1.00000 1854
-0.10615 -0.75583 0.94444 1.17655 1.00000 1010
-0.26932 0.39059 0.55218 1.17655 1.00000 1780
-0.59567 1.37721 1.03801 1.17655 1.00000 167
-0.28650 -0.52825 0.50422 -0.40754 1.00000 1198
-0.21779 -0.74928 -1.91669 0.12049 1.00000 1116
-0.38096 -0.37238 0.40106 -0.93557 1.00000 1558
-0.20062 1.62869 0.91415 1.17655 1.00000 474
1.16488 0.93187 0.13332 1.70458 1.00000 982
-0.63861 -0.45326 0.81571 2.76065 1.00000 863
-0.60425 0.88373 -0.26811 -0.93557 1.00000 1316
-0.05462 -1.22180 -1.95379 0.12049 1.00000 1137
3.35483 -0.49256 0.53038 -0.93557 1.00000 1446
-0.55273 -1.76734 0.92761 -0.93557 1.00000 2074
0.26314 -0.26367 0.58087 -0.93557 1.00000 253
-0.25214 0.31331 -1.31011 -0.93557 1.00000 1455
1.55993 -0.78105 -1.93486 0.64852 1.00000 968
0.12573 -0.39170 -1.13014 -0.93557 1.00000 1950
-0.40673 -1.61966 -1.09598 0.12049 1.00000 1176
-0.36379 0.99147 -0.26635 -0.93557 1.00000 1667
-0.63861 1.37819 0.20316 -0.93557 1.00000 1500
-0.55273 -1.99263 -0.85735 -0.93557 1.00000 1774
-0.63861 0.85721 0.04211 -0.40754 1.00000 1555
4.47128 -0.49256 0.58364 -0.93557 1.00000 2151
-0.02027 -0.06425 0.59921 0.12049 1.00000 1564
-0.22638 0.93351 0.72635 -0.40754 1.00000 1978
-0.36379 0.22784 0.37136 -0.93557 1.00000 1879
-0.03744 1.16207 0.78306 0.12049 1.00000 451
-0.53555 1.47250 0.98054 -0.93557 1.00000 514
-0.19203 0.27794 0.56707 0.64852 1.00000 359
0.24596 -0.96638 -1.94622 0.64852 1.00000 2145
-0.63861 1.37230 0.20173 -0.40754 1.00000 1242
-0.37238 0.00779 0.03008 -0.40754 1.00000 479
0.99312 -0.31737 -1.10767 -0.40754 1.00000 1829
-0.16626 -0.47062 0.78028 -0.40754 1.00000 1777
-0.32944 -0.32490 -1.14352 -0.93557 1.00000 1682
0.46066 -0.49059 -1.10313 -0.93557 1.00000 890
-0.50979 0.95152 0.34342 -0.93557 1.00000 1254
-0.35520 -2.23527 -0.68924 -0.93557 1.00000 2123
-0.54414 0.37651 -1.76742 -0.40754 1.00000 1115
-0.54414 -0.26236 0.59021 0.12049 1.00000 220
-0.19203 0.83560 0.72475 -0.40754 1.00000 720
-0.30367 1.14472 0.76968 -0.93557 1.00000 861
-0.35520 -0.58032 0.89000 3.81671 1.00000 1279
-0.28650 1.16174 0.78171 2.76065 1.00000 445
0.03126 0.13812 0.72265 0.64852 1.00000 286
-0.38955 0.01041 0.56808 0.64852 1.00000 1398
-0.43249 1.41945 1.03489 -0.93557 1.00000 1314
-0.36379 -0.10616 0.61200 -0.93557 1.00000 418
-0.35520 -0.58621 0.88823 0.64852 1.00000 1278
-0.42391 -0.26956 0.66097 0.64852 1.00000 354
-0.60425 0.37782 -1.76994 1.70458 1.00000 1951
0.55513 -0.93855 0.96766 0.64852 1.00000 7
-0.44108 -0.58588 0.54427 -0.93557 1.00000 789
-0.63861 1.37262 0.20173 0.64852 1.00000 1729
-0.55273 0.16988 -1.19880 -0.40754 1.00000 1758
-0.44967 -0.45883 0.82218 -0.93557 1.00000 772
-0.36379 -0.35568 0.70817 -0.40754 1.00000 531
-0.02027 -0.34913 0.70758 -0.93557 1.00000 350
-0.35520 -0.40152 -1.32088 -0.40754 1.00000 958
-0.40673 -0.28626 0.56631 0.12049 1.00000 204
-0.14909 -0.35535 0.71070 -0.93557 1.00000 601
0.24596 -0.87142 -1.04583 0.12049 1.00000 1855
-0.24356 1.05630 0.74578 -0.40754 1.00000 1464
4.91785 -0.93560 -1.96936 -0.93557 1.00000 1060
-0.55273 0.97018 -0.60855 -0.40754 1.00000 1941
-0.08897 0.01827 0.60157 0.64852 1.00000 1230
-0.35520 -2.10953 -1.66199 -0.93557 1.00000 553
-0.37238 -0.58817 0.89067 2.23262 1.00000 1281
-0.55273 -1.96152 -1.08588 -0.40754 1.00000 532
-0.38096 -1.50603 -1.07444 1.17655 1.00000 1055
0.02267 -0.45785 0.83842 -0.40754 1.00000 695
-0.35520 -0.64515 0.92467 -0.40754 1.00000 1119
2.07521 0.28187 0.76202 -0.93557 1.00000 1692
-0.63002 0.25633 -0.96387 2.23262 1.00000 481
-0.44108 -0.34717 0.59845 -0.93557 1.00000 96
-0.37238 -2.43797 -1.15580 0.64852 1.00000 1258
1.55993 0.36144 0.76152 -0.40754 1.00000 1478
-0.25214 1.09396 0.74486 2.76065 1.00000 655
-0.42391 -0.72963 0.97919 -0.40754 1.00000 2056
-0.35520 -0.57246 0.53375 0.12049 1.00000 1771
-0.35520 -0.40382 -1.32063 0.12049 1.00000 893
-0.35520 -1.01026 -1.94142 -0.40754 1.00000 1702
-0.35520 -0.22241 0.59929 -0.93557 1.00000 366
-0.40673 -0.32163 0.54847 -0.40754 1.00000 343
-0.32944 -0.47291 0.83910 -0.93557 1.00000 1866
-0.16626 -1.03810 -1.05298 -0.93557 1.00000 1939
-0.19203 1.47217 0.88260 -0.40754 1.00000 1869
-0.21779 0.78517 0.19870 -0.93557 1.00000 1027
-0.41532 -0.39399 0.61410 -0.40754 1.00000 1862
-0.31226 -0.56918 0.87864 -0.93557 1.00000 1721
-0.40673 -1.35049 -1.97054 0.12049 1.00000 2027
-0.35520 -0.60717 0.89892 -0.93557 1.00000 1535
-0.15768 1.50655 -1.85223 -0.93557 1.00000 1514
-0.44108 0.70953 0.22024 0.64852 1.00000 1616
-0.28650 1.75706 -1.70221 -0.93557 1.00000 35
-0.08897 -1.24341 -1.95009 0.12049 1.00000 1130
-0.58708 -0.33931 0.59795 2.76065 1.00000 95
-0.38096 1.03404 0.74284 -0.93557 1.00000 352
-0.38955 2.06323 -0.51978 -0.40754 1.00000 611
0.09138 1.14472 0.76076 -0.40754 1.00000 291
-0.35520 1.06220 0.07358 -0.40754 1.00000 1394
-0.54414 -0.59440 0.47056 -0.93557 1.00000 1877
-0.18344 1.05892 0.73552 0.64852 1.00000 1726
-0.31226 -0.16183 0.60662 2.76065 1.00000 1470
-0.37238 -0.93069 -1.92518 -0.93557 1.00000 85
-0.63861 1.37262 0.20106 -0.40754 1.00000 1395
-0.24356 -0.49354 0.78584 0.64852 1.00000 239
-0.47543 1.15192 0.77389 -0.93557 1.00000 865
1.43970 -0.66120 0.94326 0.12049 1.00000 210
-0.10615 -0.45817 0.83842 0.64852 1.00000 1592
-0.24356 -1.22147 -1.03497 -0.40754 1.00000 176
-0.32085 0.29137 0.56774 0.12049 1.00000 1293
0.43490 1.13195 0.73064 -0.40754 1.00000 1004
-0.63861 1.22593 0.81108 0.12049 1.00000 1975
0.82995 -0.41986 0.81310 0.64852 1.00000 2008
