MYCT MMIN MMAX CACH CHMIN CHMAX Y outlier number
-0.16878 -0.22432 -0.32450 0.16763 -0.54391 -0.20312 0.02105 1.00000 181
2.29617 -0.67503 -0.32450 -0.62188 -0.54391 -0.55014 -0.55858 1.00000 61
-0.59245 -0.22432 1.72705 2.14141 6.95615 3.30564 1.25512 1.00000 197
-0.68874 -0.22432 0.01743 -0.42450 -0.54391 -0.55014 -0.35290 1.00000 119
-0.16878 -0.48275 -0.66642 -0.42450 -0.54391 -0.16456 -0.42146 1.00000 179
-0.56934 -0.22432 -0.49546 -0.62188 -0.54391 -0.39591 -0.52742 1.00000 161
-0.59245 -0.06409 -0.11251 0.11829 1.07375 0.22102 -0.26565 1.00000 34
-0.59245 -0.22432 -0.32450 -0.42450 -0.24979 -0.47303 -0.37784 1.00000 127
-0.66948 3.39377 1.72705 5.69421 1.66199 0.22102 2.52034 1.00000 157
2.29617 -0.67503 -0.32450 -0.62188 -0.54391 -0.55014 -0.58351 1.00000 58
-0.09175 -0.54271 0.01743 -0.47385 -0.54391 0.49092 -0.13476 1.00000 80
-0.59245 -0.22432 -0.66642 -0.62188 -0.24979 -0.47303 -0.49002 1.00000 126
1.52587 -0.54271 -0.83739 -0.62188 -0.54391 -0.66581 -0.55858 1.00000 105
-0.63867 0.29255 -0.32450 0.16763 1.66199 0.52948 0.06468 1.00000 167
-0.38062 -0.22432 -0.66642 -0.42450 -0.24979 0.02823 -0.45886 1.00000 70
0.75557 -0.60887 -0.70917 -0.52319 -0.54391 -0.47303 -0.40900 1.00000 12
-0.09175 -0.60887 -0.66642 -0.62188 -0.54391 -0.58870 -0.57105 1.00000 202
-0.60015 0.29255 1.04320 0.16763 0.48551 0.22102 0.67548 1.00000 155
0.37043 -0.54271 0.01743 -0.47385 0.19139 0.22102 -0.34667 1.00000 76
-0.56934 0.29255 0.35935 -0.62188 -0.54391 -0.39591 -0.37160 1.00000 165
-0.69644 7.52872 4.46245 2.53616 4.01495 1.76333 6.47184 1.00000 10
-0.07250 -0.22432 0.35935 -0.22713 -0.54391 -0.47303 -0.18462 1.00000 116
-0.59245 -0.22432 0.35935 -0.02975 -0.54391 -0.47303 -0.22202 1.00000 129
2.29617 -0.54271 -0.83739 -0.62188 -0.69097 -0.70437 -0.53365 1.00000 125
-0.59245 -0.22432 0.35935 -0.32582 -0.24979 -0.08745 -0.37784 1.00000 135
-0.34210 -0.60887 -0.49546 -0.22713 -0.54391 -0.47303 -0.37784 1.00000 102
2.29617 -0.67503 -0.32450 -0.62188 -0.54391 -0.55014 -0.53365 1.00000 60
-0.24581 -0.48275 0.35935 -0.22713 -0.54391 -0.58870 0.20180 1.00000 53
-0.59245 -0.48275 -0.66642 -0.42450 -0.24979 -0.51158 -0.49626 1.00000 40
3.45162 -0.60887 -0.88013 -0.62188 -0.54391 -0.66581 -0.61468 1.00000 103
-0.59245 -0.22432 0.35935 -0.02975 0.19139 -0.08745 -0.25318 1.00000 137
-0.68488 3.39377 1.72705 0.95714 0.48551 0.22102 2.23988 1.00000 97
-0.67333 1.32629 1.72705 0.16763 0.48551 0.52948 1.01828 1.00000 2
-0.39987 -0.48275 -0.32450 -0.02975 -0.24979 -0.47303 -0.45886 1.00000 134
0.44746 -0.60887 -0.32450 -0.52319 -0.54391 -0.51158 -0.40900 1.00000 49
0.44746 -0.60887 -0.83739 -0.52319 -0.54391 -0.58870 -0.22825 1.00000 26
1.06369 -0.71638 -0.96458 -0.62188 -0.54391 -0.66581 -0.62091 1.00000 100
0.75557 0.29255 -0.32450 -0.62188 -0.54391 -0.66581 -0.45886 1.00000 107
-0.09175 -0.60887 -0.66642 -0.62188 -0.54391 -0.58870 -0.52742 1.00000 204
-0.67333 1.32629 1.72705 0.16763 0.48551 0.52948 0.71288 1.00000 3
0.44746 -0.70811 -0.49546 -0.62188 -0.54391 -0.24168 -0.51495 1.00000 25
0.37043 -0.64195 0.01743 -0.47385 -0.54391 0.22102 -0.32797 1.00000 78
-0.09175 -0.22432 0.35935 -0.22713 -0.54391 -0.47303 -0.24695 1.00000 117
-0.59245 1.32629 0.35935 0.56239 -0.54391 -0.31879 0.18934 1.00000 131
-0.24581 -0.22432 1.72705 0.16763 -0.54391 1.37775 0.22050 1.00000 91
-0.30359 -0.67503 -0.49546 5.69421 1.66199 4.23103 0.57576 1.00000 1
-0.16878 -0.60887 -0.83739 -0.57254 -0.24979 -0.39591 -0.45886 1.00000 178
1.91102 -0.67503 -0.83739 -0.62188 -0.54391 -0.66581 -0.50872 1.00000 52
-0.68874 -0.40264 -0.78439 2.61018 1.07375 0.22102 1.04944 1.00000 31
-0.59245 -0.22432 0.35935 -0.42450 -0.24979 -0.51158 -0.40900 1.00000 42
-0.68488 1.32629 0.35935 -0.62188 0.48551 -0.08745 0.49473 1.00000 99
-0.23426 -0.35353 -0.46982 -0.62188 0.04433 0.52948 -0.47133 1.00000 21
0.44746 -0.67503 -0.49546 -0.62188 -0.54391 -0.47303 -0.45263 1.00000 27
-0.34210 -0.22432 -0.32450 -0.22713 -0.54391 -0.58870 -0.34667 1.00000 139
-0.01472 -0.60887 0.35935 -0.62188 -0.10273 0.52948 -0.44016 1.00000 16
-0.01472 -0.60887 -0.32450 -0.42450 -0.54391 -0.39591 -0.27188 1.00000 50
-0.46150 -0.48275 -0.83739 -0.62188 -0.54391 -0.47303 -0.58351 1.00000 159
-0.56934 0.61301 0.78419 0.11829 1.07375 0.22102 0.00236 1.00000 35
0.17785 -0.48275 0.35935 -0.59721 -0.54391 -0.39591 -0.34667 1.00000 176
-0.63867 0.29255 0.35935 2.53616 1.66199 0.52948 0.66302 1.00000 170
-0.68488 3.39377 1.72705 0.95714 1.66199 0.22102 2.23988 1.00000 96
-0.01472 -0.48275 -0.66642 -0.62188 -0.54391 -0.55014 -0.47133 1.00000 172
-0.49616 0.29255 0.35935 -0.22713 -0.54391 -0.47303 -0.24695 1.00000 144
0.13934 -0.60887 -0.92287 -0.42450 -0.54391 -0.58870 -0.62091 1.00000 182
2.33469 -0.48275 -0.58094 -0.62188 -0.54391 -0.66581 -0.53365 1.00000 48
0.75557 -0.22432 -0.66642 -0.62188 -0.54391 -0.66581 -0.45886 1.00000 106
-0.59245 -0.22432 0.35935 -0.02975 -0.54391 -0.47303 -0.15969 1.00000 130
-0.14182 -0.60577 -0.83739 -0.42450 -0.10273 -0.12600 -0.53988 1.00000 17
-0.63867 1.32629 1.04320 3.32567 -0.10273 -0.39591 0.21427 1.00000 169
-0.67333 1.32629 1.72705 0.16763 0.48551 0.52948 0.41371 1.00000 4
-0.55393 0.29255 0.35935 0.95714 0.04433 -0.39591 -0.07867 1.00000 147
-0.68874 -0.40264 -0.78439 2.61018 1.07375 0.22102 1.63531 1.00000 32
2.68132 -0.60887 -0.92287 -0.62188 -0.54391 -0.62726 -0.58975 1.00000 109
-0.24581 -0.22432 -0.66642 -0.62188 -0.10273 -0.39591 -0.40900 1.00000 87
0.44746 -0.67503 -0.75191 -0.52319 -0.54391 -0.58870 -0.49002 1.00000 28
0.48597 -0.48275 -0.66642 -0.62188 -0.24979 -0.47303 -0.52119 1.00000 85
-0.38062 -0.48275 -0.66642 -0.62188 -0.24979 0.22102 -0.45886 1.00000 69
0.37043 -0.48275 -0.66642 -0.42450 -0.24979 1.76333 -0.42146 1.00000 82
2.33469 -0.60887 -0.96458 -0.42450 -0.54391 -0.66581 -0.54612 1.00000 47
-0.51542 0.29255 0.01743 -0.42450 0.19139 -0.39591 -0.19086 1.00000 188
-0.68488 1.32629 1.04320 0.16763 0.48551 -0.08745 0.41994 1.00000 191
-0.55778 1.32629 0.35935 0.95714 1.07375 0.22102 0.51343 1.00000 190
-0.00317 -0.48275 -0.83739 -0.62188 -0.54391 -0.51158 -0.50872 1.00000 101
-0.56934 -0.22432 -0.32450 -0.62188 -0.54391 -0.39591 -0.50872 1.00000 162
0.37043 -0.54271 -0.75191 -0.47385 0.19139 0.22102 -0.38407 1.00000 75
-0.36136 0.05996 -0.47837 -0.62188 0.19139 1.76333 -0.18462 1.00000 24
-0.56934 0.29255 -0.32450 -0.62188 -0.54391 -0.39591 -0.44639 1.00000 163
-0.23426 -0.60887 -0.58094 -0.62188 0.33845 0.52948 -0.48379 1.00000 18
-0.65022 1.32629 1.72705 0.95714 0.48551 0.22102 1.64777 1.00000 153
-0.27277 -0.48275 -0.32450 -0.39983 -0.24979 -0.24168 -0.20955 1.00000 46
-0.56549 0.29255 0.35935 -0.59721 0.19139 -0.24168 0.16440 1.00000 94
-0.63867 0.29255 -0.32450 0.16763 1.66199 0.52948 -0.34044 1.00000 166
-0.59245 -0.22432 0.35935 -0.42450 -0.24979 -0.47303 -0.28435 1.00000 44
-0.38062 -0.22432 -0.32450 -0.22713 -0.10273 -0.16456 -0.29681 1.00000 186
-0.49616 0.03412 -0.32450 -0.42450 -0.24979 1.14640 -0.25942 1.00000 72
-0.27277 -0.48275 0.01743 -0.39983 -0.24979 -0.24168 -0.20955 1.00000 45
0.48597 -0.48275 -0.83739 -0.62188 -0.54391 -0.62726 -0.55858 1.00000 84
2.29617 -0.67503 -0.32450 -0.62188 -0.54391 -0.55014 -0.52119 1.00000 62
-0.33825 -0.22432 -0.32450 0.16763 0.04433 0.37525 -0.22202 1.00000 194
-0.66948 1.32629 4.46245 1.74665 1.07375 6.08181 5.04457 1.00000 199
-0.36136 -0.48275 -0.66642 -0.22713 -0.54391 -0.62726 -0.49626 1.00000 55
2.68132 -0.48275 -0.66642 -0.42450 -0.54391 -0.62726 -0.52119 1.00000 111
-0.40758 -0.48275 -0.32450 0.16763 -0.39685 -0.39591 -0.37160 1.00000 206
-0.38062 -0.67503 -0.83739 -0.62188 -0.24979 -0.31879 -0.49626 1.00000 68
-0.24581 -0.22432 1.72705 0.16763 -0.54391 0.06678 0.17687 1.00000 89
-0.53853 0.61301 0.78419 0.11829 1.07375 0.22102 0.63809 1.00000 36
2.68132 -0.22432 -0.66642 -0.62188 -0.24979 -0.47303 -0.42770 1.00000 112
-0.09175 -0.67348 -0.66642 -0.62188 -0.54391 -0.58870 -0.54612 1.00000 203
0.37043 -0.69157 -0.94270 -0.47385 0.19139 0.22102 -0.43393 1.00000 79
-0.34210 -0.22432 -0.66642 -0.57254 -0.54391 -0.51158 -0.40900 1.00000 140
3.45162 -0.54271 -0.83739 -0.62188 -0.54391 -0.66581 -0.57728 1.00000 104
-0.59245 -0.22432 1.72705 0.56239 3.13259 1.30064 0.63809 1.00000 196
-0.50772 -0.22432 -0.32450 -0.22713 0.19139 -0.39591 -0.00388 1.00000 150
-0.59245 -0.22432 0.35935 -0.02975 0.19139 -0.08745 -0.32174 1.00000 136
-0.59245 -0.22432 0.35935 -0.42450 -0.24979 -0.47303 -0.33421 1.00000 43
-0.20730 -0.60887 -0.66642 -0.62188 0.48551 4.23103 -0.47133 1.00000 138
0.06231 -0.48275 -0.32450 -0.22713 -0.54391 -0.62726 -0.21579 1.00000 57
0.08156 -0.22432 -0.66642 -0.42450 -0.24979 -0.47303 -0.40900 1.00000 113
-0.59245 0.29255 0.35935 0.95714 0.04433 -0.31879 0.03352 1.00000 148
-0.69644 3.39377 1.72705 0.95714 1.66199 0.52948 1.62908 1.00000 7
-0.69644 3.39377 1.72705 0.95714 1.66199 0.52948 2.38946 1.00000 8
-0.01472 -0.22432 -0.32450 0.95714 -0.54391 -0.51158 -0.40277 1.00000 173
-0.35366 -0.48275 -0.92287 -0.62188 -0.54391 -0.55014 -0.60844 1.00000 158
1.06369 -0.60887 -0.32450 0.16763 -0.69097 -0.70437 -0.24072 1.00000 208
-0.24581 -0.22432 -0.66642 -0.42450 -0.54391 0.06678 -0.44016 1.00000 88
-0.59245 -0.22432 -0.32450 -0.42450 -0.54391 -0.51158 -0.21579 1.00000 39
1.91102 -0.64195 -0.32450 -0.62188 -0.54391 -0.66581 -0.50872 1.00000 51
-0.30744 -0.48275 -0.32450 -0.62188 -0.54391 -0.39591 -0.39653 1.00000 205
-0.56549 0.29255 1.04320 0.95714 1.07375 -0.08745 0.81883 1.00000 95
-0.43839 -0.67503 -0.92287 -0.62188 -0.24979 -0.31879 -0.55235 1.00000 67
-0.30359 -0.22432 -0.32450 -0.62188 -0.39685 -0.16456 -0.33421 1.00000 207
-0.68874 -0.22432 0.01743 -0.22713 -0.24979 -0.51158 -0.24695 1.00000 120
-0.55393 -0.22432 0.35935 0.95714 0.04433 -0.39591 -0.19709 1.00000 146
0.08156 -0.22432 -0.66642 -0.42450 -0.24979 -0.47303 -0.44639 1.00000 114
-0.63867 1.32629 1.72705 0.95714 0.48551 0.22102 1.37354 1.00000 156
-0.11101 -0.67503 -0.83739 -0.62188 -0.24979 0.22102 -0.52119 1.00000 73
-0.49616 -0.22432 -0.32450 0.95714 -0.54391 0.76083 0.23920 1.00000 64
-0.09175 -0.22432 -0.32450 -0.42450 -0.54391 -0.47303 -0.34667 1.00000 115
0.75557 -0.48275 -0.75191 -0.62188 -0.54391 -0.62726 -0.42146 1.00000 11
-0.39987 -0.48275 -0.32450 -0.62188 -0.39685 -0.47303 -0.55858 1.00000 132
-0.59245 -0.61197 -0.83739 -0.42450 -0.54391 -0.55014 -0.53365 1.00000 37
-0.63096 1.32629 1.72705 0.95714 0.48551 0.22102 1.06814 1.00000 152
-0.66948 1.32629 4.46245 2.53616 1.07375 6.08181 6.50924 1.00000 200
-0.59245 0.29255 1.72705 2.14141 6.95615 3.30564 1.81606 1.00000 198
-0.30359 -0.60887 -0.92287 -0.62188 0.48551 0.06678 -0.43393 1.00000 63
-0.59245 -0.22432 -0.32450 -0.42450 -0.54391 -0.47303 -0.30928 1.00000 128
0.08156 -0.48275 -0.66642 -0.57254 -0.24979 -0.47303 -0.50872 1.00000 118
-0.23426 -0.14679 -0.47837 -0.62188 0.19139 1.76333 -0.27811 1.00000 23
-0.01472 -0.48275 -0.83739 -0.62188 -0.54391 -0.62726 -0.50249 1.00000 171
-0.67333 1.32629 0.35935 0.16763 0.48551 -0.08745 0.16440 1.00000 5
-0.58475 0.29255 0.35935 0.16763 -0.10273 -0.24168 0.15194 1.00000 187
-0.68488 1.32629 1.72705 0.95714 1.07375 -0.08745 0.88739 1.00000 192
0.37043 -0.48275 0.35935 -0.42450 -0.39685 3.61411 -0.42146 1.00000 83
0.13934 -0.60887 -0.83739 -0.42450 -0.54391 -0.51158 -0.58975 1.00000 183
-0.24581 -0.22432 -0.66642 -0.42450 -0.54391 0.06678 -0.52119 1.00000 93
-0.71955 0.29255 0.35935 0.16763 0.19139 -0.24168 0.17064 1.00000 122
-0.63096 1.32629 0.35935 0.16763 0.48551 -0.08745 0.67548 1.00000 151
-0.43069 -0.22432 -0.32450 0.16763 -0.54391 -0.47303 -0.28435 1.00000 142
2.68132 -0.48275 -0.92287 -0.62188 -0.54391 -0.62726 -0.58975 1.00000 108
-0.71955 0.29255 0.35935 -0.42450 0.19139 -0.24168 -0.03504 1.00000 121
-0.68488 1.32629 1.72705 2.53616 2.83847 0.52948 1.86592 1.00000 193
-0.59245 0.29255 0.35935 0.98181 -0.54391 -0.39591 0.20180 1.00000 14
