Hydroelectric Nuclear Coal Fuel Gas Special Y outlier number
1.67736 1.07934 -3.02441 -0.86141 -1.31464 -1.90685 -1.28299 1.00000 1
-1.20449 0.63093 0.90185 2.33514 1.25254 -0.24965 1.28174 1.00000 185
1.12758 0.80774 0.27416 -0.11052 -0.07769 -0.58398 -0.66336 1.00000 301
0.29464 -0.37502 -0.36304 -0.86695 -0.81939 -0.49355 -0.44206 1.00000 318
-1.58815 0.44529 0.26698 -0.57607 -0.05276 -0.44343 -0.56452 1.00000 168
1.84940 0.82124 -3.80474 -0.82362 -1.66549 -1.73994 -2.08868 1.00000 4
0.86426 1.09048 0.10595 -0.09753 0.12287 0.19734 -0.66522 1.00000 265
-0.90311 -1.28321 0.72837 0.14649 1.39583 1.34141 1.11915 1.00000 224
-0.95336 0.69839 0.73249 1.02138 1.13158 -0.10134 1.90991 1.00000 202
-0.20540 0.36658 0.69511 -0.15276 0.78209 0.01389 0.08777 1.00000 248
0.01163 -0.81332 -1.97963 -1.12867 -1.62309 0.15755 -1.04720 1.00000 87
2.26615 1.68658 -3.00380 -0.88072 -1.41846 -1.83657 -1.43768 1.00000 2
-0.03841 0.61569 0.58896 -0.46940 0.64674 1.12076 0.15795 1.00000 250
-0.66049 0.62671 0.39252 1.03001 0.94969 0.26555 0.64876 1.00000 141
1.32390 1.16210 -1.42663 -0.77138 -1.14713 -2.19002 -1.40394 1.00000 299
-1.57947 -0.32572 -0.64026 -0.75873 0.02634 1.26493 -0.59351 1.00000 223
0.67900 -0.34894 -0.14370 -1.12867 -1.09625 -0.29770 -0.51879 1.00000 91
-1.06200 0.60850 1.19067 1.92424 1.48878 -0.12666 1.37462 1.00000 171
0.70761 -0.17195 0.11472 -0.78148 -0.85342 -0.14061 -0.51478 1.00000 71
1.45500 1.11875 -0.15900 0.06996 0.45647 1.13574 -0.45525 1.00000 272
1.02650 -0.96477 -0.28602 -0.79369 0.12149 -1.31724 0.06781 1.00000 57
-0.79408 -0.44384 0.50253 0.45520 0.94558 1.35019 0.69731 1.00000 237
0.03141 1.11493 -1.80406 -0.75591 -1.39106 0.39473 -1.16086 1.00000 268
-1.09640 -2.11707 0.52919 -0.76459 0.40555 -0.64444 0.56162 1.00000 134
1.73328 -0.13412 -0.57148 -0.78816 -0.45110 -1.23249 -1.16617 1.00000 53
-0.86871 0.66494 1.15197 1.48869 0.90996 0.56578 1.72185 1.00000 175
-0.93111 -0.88129 1.18637 0.02456 1.52801 1.31816 1.03377 1.00000 349
1.81552 0.76350 -1.20709 -0.41843 -0.74119 -1.27228 -0.66578 1.00000 304
-0.62248 1.49807 -0.88196 -0.64170 -1.37434 0.33479 -0.76409 1.00000 244
-0.92535 -1.77204 0.11898 0.82112 1.05612 -0.19177 0.61223 1.00000 130
0.04390 -0.55290 0.23967 -0.76808 0.21092 -0.13700 0.17006 1.00000 68
0.76866 -0.24965 -1.16498 -1.12867 -0.75050 0.10019 -0.89661 1.00000 102
-0.25277 0.93087 0.90624 -0.18833 0.74669 0.76007 0.27422 1.00000 247
-0.49047 -0.06126 1.01757 -0.12078 0.75019 1.38843 0.22861 1.00000 351
1.71062 0.48582 -0.88781 -0.31166 -0.87229 -1.99883 -1.16304 1.00000 22
2.04622 0.96870 -0.52481 -0.06823 -0.12730 -1.53066 -0.82328 1.00000 6
-0.52491 -0.22340 -2.04375 -1.12867 -1.63603 0.15496 -1.28744 1.00000 86
-0.89993 -1.79380 0.75397 -1.06994 -0.04888 1.39308 0.15304 1.00000 229
-0.66698 0.66045 0.91554 2.15718 1.30512 -0.10909 1.31277 1.00000 153
1.49173 0.85755 0.26819 0.20752 1.03055 0.78229 0.33918 1.00000 276
-0.85083 -0.42270 0.79588 0.45815 0.88269 1.10732 1.02025 1.00000 238
0.42533 0.66410 0.65003 -0.34635 0.61128 1.14970 -0.56259 1.00000 260
-0.21854 0.14232 -2.65264 -1.12867 -1.55922 0.04490 -1.39496 1.00000 101
-0.89348 0.65426 0.65065 2.75327 1.28063 -0.16645 1.89429 1.00000 183
0.41234 1.39676 -1.06898 -0.49882 -0.59590 1.57498 -1.01469 1.00000 292
-0.16609 1.29141 0.43396 -0.28399 0.58335 0.60867 0.49595 1.00000 246
-1.39523 0.30643 0.57119 -0.35330 0.47167 0.27795 -0.35085 1.00000 194
0.24585 -0.55527 -0.21919 -0.36753 -0.15479 -0.01660 -0.19944 1.00000 114
1.58709 0.86509 -0.23808 0.11048 -0.38916 -1.37822 -0.19043 1.00000 29
0.50304 0.11196 -0.09759 -1.00071 -0.82817 -0.12046 -0.39839 1.00000 76
0.30304 -0.09460 -0.23734 -1.12867 -1.19557 -0.04140 -0.58829 1.00000 82
0.70034 0.80853 0.05256 -0.24216 0.20753 0.67429 -0.44463 1.00000 264
1.65982 1.06906 -1.60944 -0.84582 -1.66549 -1.31982 -1.38260 1.00000 9
-0.80434 -2.26251 1.07048 1.27585 1.60156 1.09544 0.65841 1.00000 212
1.61866 0.34814 -1.56274 -0.76220 -0.86272 -1.53531 -1.16307 1.00000 49
-0.57802 -2.23834 1.08896 1.77352 1.82253 1.37913 2.22531 1.00000 218
-1.18124 -0.40336 1.57840 -0.03046 1.52999 0.06247 1.27151 1.00000 207
-0.78676 -0.14210 0.44020 -0.14613 0.62806 1.46181 0.06165 1.00000 236
-0.84767 -0.41848 0.59500 1.01465 1.53651 -0.13286 -0.15313 1.00000 148
0.23224 -0.73843 0.18367 -0.37410 -0.11916 0.45571 0.27110 1.00000 116
-0.35571 -0.06317 -1.71577 -1.11657 -1.45361 -0.26980 -1.18103 1.00000 313
-0.95043 0.25813 0.49270 1.02471 0.71326 -0.10858 1.06712 1.00000 201
-0.50857 0.69575 0.28278 1.84082 1.36206 0.04128 2.02897 1.00000 165
-0.62517 -0.22362 0.89912 0.36251 0.80184 1.50057 0.42651 1.00000 350
-0.49766 0.81674 0.49673 1.82900 1.45816 -0.40467 1.10311 1.00000 326
1.64191 0.63531 -0.04976 -0.02485 -0.23907 -0.99893 -0.50398 1.00000 30
-0.86302 -0.22356 0.44400 -0.59489 -0.36768 1.36415 0.36011 1.00000 239
-0.42809 1.29815 -1.14420 -0.75318 -1.36553 0.70013 -0.61826 1.00000 356
1.07923 -0.90861 -0.31471 -0.79742 -0.47362 -1.17927 0.03468 1.00000 58
0.46701 -0.82878 0.01033 -0.77880 0.27230 -0.24603 0.31309 1.00000 310
1.01744 -0.47363 -1.06930 -0.61098 -1.58849 -0.77776 -1.22958 1.00000 300
0.61300 -0.23076 0.18187 -0.61840 -0.78670 0.08004 -0.85416 1.00000 73
0.93921 1.04859 -0.10338 -1.03909 -1.18814 -2.25617 -1.24846 1.00000 14
-0.89665 1.09132 1.21509 1.85101 0.95611 0.03146 1.64246 1.00000 159
0.83839 0.66629 -0.09835 -1.12867 -0.84567 -0.67441 -1.03965 1.00000 37
1.63645 -0.19686 0.62813 2.17232 -1.35205 -1.62057 -0.65274 1.00000 11
-1.27934 -0.67473 0.99664 -0.13676 1.45047 0.17150 -0.63486 1.00000 208
0.25774 -0.46486 0.41636 -0.79330 -0.17333 0.27226 -0.20158 1.00000 69
-0.74443 -0.55504 -2.11068 -0.91865 -0.64026 0.21491 -1.33762 1.00000 112
0.69345 0.39121 0.59279 0.98303 0.64874 -0.82168 0.97180 1.00000 40
-0.55532 -2.36208 1.00026 1.91353 1.71541 1.44372 2.09434 1.00000 343
0.22268 0.98118 0.27572 0.10539 0.14422 -1.12605 0.43874 1.00000 46
-1.24384 -1.12748 -0.30315 -0.88014 0.61759 -0.25843 -0.40974 1.00000 129
-1.20388 0.61935 1.09741 0.38305 0.55810 0.94558 1.24756 1.00000 173
-0.10054 -1.89382 0.53964 -0.00682 0.29422 0.42315 0.63171 1.00000 120
1.53183 -0.38076 -0.04856 0.50842 -0.45297 -0.99531 0.32324 1.00000 24
1.55203 0.71852 0.12357 -0.21711 0.18053 1.11352 -0.13687 1.00000 360
0.52955 0.70323 0.66109 -0.48358 0.77130 0.10794 -0.04243 1.00000 261
-1.38049 0.11078 -0.24252 -0.67746 0.11573 -0.69818 0.11783 1.00000 161
-0.84069 1.28860 0.18920 -0.64876 0.04998 0.98796 -0.07522 1.00000 251
0.36014 1.07940 0.46436 -0.61203 0.62454 0.47276 -0.22172 1.00000 262
0.66343 -0.26112 -0.47489 -1.01995 -0.85665 -0.57055 -0.39474 1.00000 75
-0.84793 -1.37895 1.21301 -0.31963 0.72913 0.95798 0.30174 1.00000 227
-1.49875 0.55278 0.45615 -0.55357 -0.76686 0.07383 -0.23342 1.00000 188
-0.26001 -0.98451 -2.48297 -1.12867 -1.56655 0.22059 -1.19217 1.00000 88
1.93862 0.72111 -0.28272 0.27129 -0.21931 -1.46658 -0.78269 1.00000 7
1.48434 0.94250 -0.29541 -0.20066 -0.59899 -0.42637 -0.79280 1.00000 33
0.63420 -1.05619 0.20524 -0.79110 -0.10641 -1.27177 0.23595 1.00000 60
-0.65922 0.94464 -1.33481 -0.77440 -0.69183 1.03705 -1.17981 1.00000 257
1.45195 0.89882 -0.25062 0.30648 -0.47787 -0.84494 -0.80225 1.00000 28
-0.83185 -1.79785 0.58573 1.90686 0.69090 0.29138 1.48571 1.00000 127
-0.64235 0.52642 0.92080 2.01278 0.99474 0.33686 1.05205 1.00000 330
0.45714 -0.61581 0.47972 -0.58149 -0.32690 -0.59483 -0.40967 1.00000 79
1.64601 0.65145 1.01957 1.45403 -1.22044 -1.87791 1.14989 1.00000 13
-0.93753 0.72409 0.80830 1.52196 1.00988 0.04748 1.61013 1.00000 166
1.34536 0.75023 0.35827 0.11544 0.80922 1.12541 0.00548 1.00000 271
-1.02403 -0.64044 0.60609 1.51094 1.19793 0.19372 1.21315 1.00000 190
1.31640 1.01851 0.03585 -0.19817 -0.30074 1.97752 -0.87732 1.00000 363
-0.53980 -2.25228 0.86957 1.58796 1.70230 1.30989 1.28432 1.00000 217
-0.38550 1.00811 0.75088 -0.51175 0.63127 1.30110 -0.27454 1.00000 354
-1.50363 -2.26695 0.88814 -0.76444 0.13579 1.21532 -0.07509 1.00000 344
-1.32777 -2.11521 1.24494 -0.87450 0.83023 1.37086 0.14861 1.00000 214
-0.70985 -1.45670 0.35321 1.94975 1.05409 0.14205 1.49965 1.00000 322
-1.05205 0.52608 1.15632 1.97453 1.48645 -0.02280 1.13402 1.00000 172
0.23237 -0.89680 0.34079 -0.78901 -0.30900 -0.13028 0.81585 1.00000 66
-1.15430 -1.24082 1.13261 1.06782 1.56058 1.37396 1.06471 1.00000 347
0.94618 0.83894 0.55965 -0.07897 -0.31622 -0.88886 1.19292 1.00000 38
0.54724 0.87785 1.17163 0.76804 0.60894 -0.96275 1.08788 1.00000 41
-0.87669 0.53226 1.09296 2.57323 1.26475 0.08417 1.84081 1.00000 178
-0.91628 0.03370 -1.32380 -1.02818 -1.23239 0.23919 -1.05872 1.00000 117
1.76430 -0.43642 -0.16633 -0.33823 -0.74606 -1.76009 -1.04643 1.00000 23
-1.22245 0.39374 0.91736 -0.03860 0.52358 0.65000 0.95701 1.00000 180
0.09844 -0.54723 -0.01127 -0.57117 -0.27180 0.42057 -0.38753 1.00000 113
-0.42207 -1.79166 1.06665 -0.31919 0.74530 1.09699 0.67564 1.00000 228
-1.34645 -0.45227 0.66486 -0.64826 0.22547 0.83913 -0.08158 1.00000 234
1.86949 1.26212 -1.18652 -0.83126 -0.94677 -1.49190 -1.13623 1.00000 295
-0.34295 -0.45531 -1.97036 -1.12867 -1.31599 -0.04812 -1.17683 1.00000 106
0.27912 0.02054 0.09135 -1.12867 -1.01409 0.00614 -0.59849 1.00000 83
0.81271 -0.38531 -1.09955 -1.03908 -1.22812 -0.33439 -0.86934 1.00000 96
-0.56033 -0.07098 0.89579 0.63202 0.96208 1.66024 1.06324 1.00000 352
0.27738 -0.28563 -0.11218 -0.78486 -1.43340 0.14101 -0.75675 1.00000 311
1.88788 0.19275 0.22157 0.70924 -1.14871 -1.38597 0.32670 1.00000 10
-1.34197 0.59107 1.18720 0.36477 1.42066 0.29138 0.65905 1.00000 198
1.54718 1.22124 -0.31524 -0.19000 -0.86526 -2.67731 -1.03696 1.00000 18
-0.00986 -0.72224 -0.05568 -0.75641 -0.32195 -0.05122 -0.55220 1.00000 110
-1.30234 0.68518 1.14944 0.75922 1.40515 0.38802 1.29189 1.00000 334
0.86376 -0.00717 -0.74808 -0.88271 -0.81746 0.19837 -0.76066 1.00000 103
-1.18287 0.58191 0.80636 -0.03382 0.65813 -0.23363 0.90316 1.00000 155
0.73496 -0.80556 -0.29997 -1.12867 -0.90313 -0.21503 -0.57075 1.00000 90
-0.02431 0.64482 -1.92686 -0.87696 -1.56762 1.89949 -1.21609 1.00000 290
-0.76006 0.30755 0.12101 0.37747 0.69919 0.00304 0.41319 1.00000 139
0.10447 -0.65691 -0.33693 -0.73074 -0.30213 -0.37573 -0.76410 1.00000 109
0.07592 -0.23751 0.56242 -0.14867 0.90693 0.34564 0.01334 1.00000 249
1.05976 1.22220 0.18729 0.27621 -0.80819 -2.39930 -0.86826 1.00000 298
-0.91832 0.55048 1.26701 1.28091 1.08022 -0.42586 1.09482 1.00000 331
-0.22652 -2.17751 0.31160 2.63338 1.20932 -0.28272 1.91498 1.00000 132
0.06908 -0.46655 -1.45821 -0.89383 -1.46402 -1.24645 -0.82966 1.00000 308
1.37380 -0.26135 -2.69663 -0.76866 -1.14106 -1.09762 -2.08269 1.00000 50
-0.05768 -1.02195 -2.10079 -1.12867 -1.63088 -0.19074 -1.33872 1.00000 94
0.06013 -0.21541 0.01945 -0.76748 -0.17129 -0.89454 -0.49386 1.00000 107
1.37970 0.96044 0.53028 0.15885 0.76047 0.65000 -0.07260 1.00000 277
-0.87731 -2.10341 1.01842 0.78915 1.23407 0.87117 1.03734 1.00000 211
-0.80661 1.47204 -1.12898 -0.78576 -1.35018 0.72183 -0.78352 1.00000 245
-0.21051 -0.84789 0.35500 0.28011 -0.15015 0.56888 0.92813 1.00000 122
-0.36512 0.52934 -0.87628 -1.12867 -1.47980 0.18959 -0.90860 1.00000 85
0.17352 -1.02060 0.05492 -0.79298 -0.53600 -1.46296 -0.77292 1.00000 61
0.59949 -0.18078 -1.51957 -1.12867 -1.12303 -0.52662 -1.04127 1.00000 95
-1.43376 0.34111 0.47510 -0.34102 -0.13028 0.34564 0.13692 1.00000 181
1.70690 0.25442 -0.55662 -0.65090 -0.47341 -1.86189 -1.19479 1.00000 52
1.49499 1.30833 -0.72069 -0.20463 -0.89811 -2.01795 -1.92881 1.00000 21
-1.21471 0.39520 0.89120 0.63499 0.93025 0.70478 0.73633 1.00000 196
-0.89148 -2.28506 0.98169 0.03900 1.04537 1.32384 0.90089 1.00000 219
-0.92683 0.35989 0.60056 0.95451 0.94402 -0.12976 1.63770 1.00000 336
0.15593 0.89517 -2.48977 -0.79728 -1.52522 0.04541 -0.93799 1.00000 364
-0.21489 -0.70914 0.58646 0.36486 0.48607 1.83387 1.26704 1.00000 241
0.26037 0.59045 -0.05550 -1.12867 -1.20724 -0.35558 -0.69581 1.00000 84
-0.70905 0.80712 0.98537 0.31498 0.90592 1.37603 1.01185 1.00000 353
-0.87519 -0.67322 0.01377 -0.91128 -0.68136 0.30172 -0.67856 1.00000 320
0.05193 -0.11360 -0.84867 -1.12611 -1.40368 0.04748 -0.95100 1.00000 105
0.26563 1.05376 -0.56530 -0.76588 -1.13657 0.59730 -0.70902 1.00000 267
0.13383 -0.43771 -0.23823 -0.57195 -0.61049 0.46656 -0.33618 1.00000 319
0.93890 0.78503 -0.50247 -0.80981 -1.43650 2.18422 -0.92464 1.00000 283
-0.55680 -1.84704 0.41710 1.00177 0.30590 0.48516 1.04122 1.00000 125
-0.85930 0.53682 0.73843 2.08404 0.71448 -0.17110 2.16631 1.00000 182
1.17567 1.00007 -0.65933 -0.63879 -0.48645 1.64009 -1.00377 1.00000 286
1.32892 0.71397 0.04679 0.03098 -0.26728 -0.39072 -0.42588 1.00000 34
-0.42433 0.49617 0.75032 1.59341 1.01207 0.26090 1.69503 1.00000 163
-1.64023 0.02633 0.20556 -0.75676 -0.38525 0.02009 -0.81460 1.00000 200
1.33420 0.96072 0.32625 0.23034 0.71459 1.09647 -0.32392 1.00000 280
-1.41561 0.71093 0.65686 -0.46257 -0.38129 0.98537 0.67624 1.00000 174
-1.20919 0.13062 0.68031 -0.30418 0.49673 -0.65632 0.46902 1.00000 332
-0.03861 -0.19461 -0.16392 -0.75335 0.13422 -0.79430 -0.45438 1.00000 108
-1.15958 0.62581 0.87907 2.15121 1.34820 -0.21192 1.52660 1.00000 170
1.53122 0.28872 -0.45141 -0.65288 -0.54752 -1.34256 -1.23197 1.00000 51
-0.74646 -2.28517 0.90441 1.84797 1.67747 1.45561 1.16430 1.00000 342
-0.68406 -2.14316 0.83611 1.81588 1.86692 1.39877 1.50097 1.00000 213
-1.13204 -0.73253 1.13778 -0.19966 1.39684 0.25004 1.19172 1.00000 209
0.87498 -0.25387 -0.16474 -1.01344 -1.09613 0.04128 -0.77337 1.00000 317
1.13769 1.42830 -4.34554 -0.84524 -1.66549 -3.14342 -2.28487 1.00000 293
0.58449 1.15322 -1.65467 -0.78436 -1.41093 0.67688 -1.59947 1.00000 287
-0.20346 1.02993 0.62507 -0.34456 0.89365 1.08407 -0.13240 1.00000 255
-0.39873 -0.63313 0.19052 -0.12845 0.17797 0.10846 0.17654 1.00000 119
0.64311 -0.30053 -0.30747 -0.89228 -0.64587 -0.60000 -0.62727 1.00000 74
-0.63813 -1.70986 0.56071 1.95619 0.74659 0.11207 1.53857 1.00000 321
-0.99611 -2.15108 1.06206 1.74939 1.74590 1.23599 1.22616 1.00000 220
-0.73600 0.23261 -1.35576 -1.12810 -1.58913 -0.19642 -1.29587 1.00000 314
-0.60257 -1.86841 0.60603 -0.10481 0.90679 0.16375 0.94513 1.00000 231
-0.57104 -0.41747 -0.74652 -0.93793 -1.00174 -0.38607 -0.82719 1.00000 111
-0.03225 -1.45715 0.35942 0.09061 0.24900 0.61177 0.56321 1.00000 121
1.03768 -0.69475 -1.82569 -0.83557 -1.23790 -1.32499 -0.86675 1.00000 55
0.38292 0.43849 -1.87471 -0.83088 -1.37540 1.34606 -1.13883 1.00000 289
1.06801 -0.51681 -1.28937 -1.12867 -1.20912 -0.48942 -1.19595 1.00000 97
-0.85888 -0.12360 0.88982 1.57014 0.65489 0.36114 1.67073 1.00000 337
0.42131 -0.95066 -0.05727 -0.79168 0.13836 -0.49355 -0.13908 1.00000 63
-1.11889 -0.43776 1.41362 0.00933 1.16772 0.06298 1.11821 1.00000 206
-1.07292 -1.15958 0.37802 -0.17909 0.46132 -0.17214 0.79331 1.00000 128
-0.67711 -0.42006 0.54014 0.15024 0.50804 -0.34111 0.42674 1.00000 327
0.47788 -0.82625 -0.48408 -0.84515 -1.37532 -1.24180 -0.61641 1.00000 59
-0.81929 -0.00571 0.74900 1.36791 1.11397 -0.55556 1.30100 1.00000 147
-0.13957 0.45518 0.30135 2.33023 1.14576 -0.25378 0.84551 1.00000 144
-0.81847 -2.25964 0.84229 1.32685 1.44501 1.31454 1.85345 1.00000 345
1.54161 1.70519 -0.85653 -0.14959 -0.93828 -2.24841 0.06542 1.00000 20
-0.45351 -0.77312 -0.82451 -0.78689 -1.57625 -0.44859 -0.72603 1.00000 65
-1.44129 0.69581 0.32816 -0.18413 0.28287 -0.22588 0.80705 1.00000 186
-0.99998 0.00756 0.77928 0.58794 1.65021 -0.46100 0.88138 1.00000 328
0.47975 -0.76733 0.40124 -0.59649 -0.42150 -0.43102 -0.75307 1.00000 78
-0.56328 0.30002 0.75435 0.74956 1.06205 -0.18712 1.58199 1.00000 162
1.40917 0.65409 -0.31742 0.19913 -0.51236 -0.77259 -1.09234 1.00000 27
-0.78716 0.46300 0.93093 2.24511 1.21091 0.32239 1.60270 1.00000 177
-1.41778 0.11196 0.49323 -0.72612 0.21123 0.79883 -0.06324 1.00000 335
1.95163 1.17739 -3.66893 -0.77706 -1.66549 -1.75131 -1.40288 1.00000 294
-0.34619 -0.34854 0.89450 1.33075 0.92755 -0.59380 0.99670 1.00000 136
-1.36402 -2.18347 0.50212 -0.98373 -0.04187 1.32746 -0.93485 1.00000 215
1.23807 1.05674 -2.29461 -0.91505 -1.61588 -1.63659 -1.82021 1.00000 19
-0.67347 -1.97500 0.32166 -0.14704 -0.26715 -0.27703 0.43386 1.00000 123
1.54098 -0.94785 -0.39529 -0.73154 -0.74381 -1.56838 -0.72804 1.00000 306
-0.15557 0.03898 -1.05191 -0.77150 -1.66549 0.13894 -1.12452 1.00000 70
0.14201 1.14130 -0.28684 -0.46869 0.42773 0.98537 -0.64994 1.00000 258
1.38018 0.80493 -1.40953 -0.78077 -1.48735 1.06908 -0.93517 1.00000 273
1.22038 -1.02516 -0.37825 -0.80758 -0.46122 -1.22423 -0.82494 1.00000 307
-0.85552 0.58944 1.36239 1.83840 1.06760 0.34306 2.08986 1.00000 176
-0.04288 -0.98097 -0.21233 -0.79525 -1.35803 -0.44653 -0.58719 1.00000 64
1.46114 1.23001 0.11198 -0.16397 0.65051 0.60970 -0.52676 1.00000 361
-0.17727 0.90613 0.46551 -0.77822 -0.70501 -0.78293 -0.90662 1.00000 43
1.16304 0.89882 0.11828 -0.11154 -0.18737 -0.60517 -0.96940 1.00000 35
0.65975 0.75180 0.45353 -0.03367 0.24373 0.53632 -0.88493 1.00000 357
-1.41104 0.68428 0.79953 -0.15378 0.62293 -0.23053 0.62397 1.00000 167
-1.27700 0.94689 0.99826 0.52018 1.16858 0.34151 0.89383 1.00000 192
0.09328 1.40188 0.58955 -0.12160 0.03919 -1.31621 0.87417 1.00000 45
0.84159 0.88679 0.18920 -0.18250 -0.43504 0.75232 -0.26023 1.00000 266
-0.82486 -0.40268 0.63614 1.02772 0.76981 0.28415 1.55582 1.00000 189
-0.56401 1.14214 -0.22057 -0.67029 -0.04823 1.34451 -0.36317 1.00000 256
0.24230 0.77986 0.33481 -0.38828 0.76860 1.02723 -0.26171 1.00000 259
1.03093 1.02818 -1.25756 -0.81320 -1.18970 -0.51629 -1.07850 1.00000 32
-1.58021 0.19764 0.46157 -0.70788 -0.48068 0.38440 -0.67610 1.00000 195
1.40636 1.05629 0.36922 -0.04933 -0.03766 1.81681 -0.51838 1.00000 282
-1.28138 0.42083 0.03287 -0.59185 0.18473 -0.03416 -0.74481 1.00000 140
-1.43376 -1.71543 0.32978 -1.12867 -0.12971 0.18700 -0.32784 1.00000 230
1.40345 0.70908 -1.57030 -0.77083 -1.53281 1.31299 -1.04344 1.00000 275
0.29510 -0.82389 -0.23199 -0.25523 -0.14341 0.32549 0.29488 1.00000 115
-1.19369 -1.76845 0.29706 -0.89530 -0.25403 -0.04863 -0.36190 1.00000 124
1.26430 0.55318 0.25177 0.06207 0.63910 0.93525 -0.22382 1.00000 359
1.48131 1.10149 0.58758 1.01271 -1.19597 -2.07375 0.53696 1.00000 296
-0.81834 0.69266 0.74252 0.10536 1.16779 -0.54626 0.51299 1.00000 149
-0.76316 0.66843 1.12431 1.93941 0.88534 0.20871 1.21804 1.00000 158
0.29398 -0.73534 0.34397 -0.78595 0.01066 -1.20149 0.27487 1.00000 62
0.02474 0.99513 0.58561 -0.60636 0.75928 1.42615 0.10325 1.00000 355
-1.08270 -1.44923 0.46624 -0.81023 0.33065 0.65517 -0.89307 1.00000 339
-0.77893 -2.29877 0.93896 1.41480 1.95500 1.19155 0.96888 1.00000 340
-0.53252 0.00879 0.09197 -0.67257 -0.31053 0.14670 0.53225 1.00000 118
0.20660 -0.21058 -1.19682 -1.12867 -1.38435 -0.61809 -0.81406 1.00000 312
-1.40342 -0.56297 0.16557 -0.37798 1.06635 1.21791 0.20027 1.00000 222
1.45695 1.50887 -0.09865 0.22082 -0.82353 -2.51867 -0.98974 1.00000 17
-1.58254 -0.54829 0.84888 -0.73357 0.11888 0.39370 0.03534 1.00000 205
