Input1 Input2 Input3 Input4 Input5 Y outlier number
-0.87745 -0.85757 -1.19229 1.31796 -1.57815 -0.26690 1.00000 899
1.47473 0.01176 -0.94399 1.45093 -1.20402 1.12252 1.00000 106
-1.41195 1.50794 1.24363 -1.17815 0.80472 -0.87396 1.00000 972
-0.81172 -1.46099 -0.92965 0.91822 -0.19149 -0.67185 1.00000 33
0.56409 -0.35222 -1.25388 0.03363 0.55389 0.79821 1.00000 140
0.78235 -1.48091 0.92973 -0.57334 0.64531 -1.02079 1.00000 324
1.56587 1.49778 0.12602 0.93003 -0.41821 -0.09445 1.00000 514
-0.43099 1.66612 -1.00194 1.41219 -1.61785 1.50064 1.00000 84
-0.00070 0.12556 0.18794 -1.47095 0.21329 -0.68294 1.00000 879
-0.03542 -0.62144 -0.29302 0.20456 0.72842 -0.07489 1.00000 605
0.15472 0.48025 1.28632 0.74587 -0.27438 1.45608 1.00000 27
-1.72565 0.19607 1.66465 -1.70749 -0.27816 -1.45175 1.00000 1101
-1.42316 1.45344 0.40662 1.01618 1.18863 0.15693 1.00000 1117
1.63238 1.67074 0.09868 1.49974 -0.46747 -0.44080 1.00000 75
0.76407 1.12823 -0.52713 1.51328 -1.18262 1.11594 1.00000 147
0.32466 -0.94258 1.34912 0.18992 1.19313 0.58211 1.00000 176
1.42182 -0.61462 -1.47024 -0.30065 0.85946 0.92488 1.00000 432
1.31320 1.50890 0.43855 0.69555 1.75276 0.44663 1.00000 1026
0.39511 0.13855 -1.62481 -0.72443 -1.76185 0.28961 1.00000 16
0.31877 -0.34601 -1.60078 0.73466 -1.23051 0.77270 1.00000 530
1.14891 0.00513 -1.31918 0.22104 0.65539 1.44966 1.00000 1067
-0.25728 -0.41961 0.72268 0.86014 -0.56060 0.04604 1.00000 360
-1.32360 -0.37211 0.87017 0.78062 -0.32060 -0.37699 1.00000 408
0.07824 -1.41148 -1.47083 0.81682 -0.21895 0.32866 1.00000 78
-0.12639 -0.43451 0.73296 -1.67044 1.14673 -0.58362 1.00000 429
1.04664 -0.80963 -0.15631 1.20517 -0.76233 0.11860 1.00000 4
0.58642 -0.99646 -0.25923 1.00429 0.50259 0.35866 1.00000 466
-1.66008 1.43888 0.34709 -0.82627 1.01109 -1.44433 1.00000 382
0.21810 0.81978 -0.16627 -0.04355 -0.91012 0.06899 1.00000 217
-0.67053 0.11651 -0.19118 0.18737 0.78305 0.01278 1.00000 180
-0.79013 0.92387 0.91620 1.11471 1.12974 0.90747 1.00000 758
1.68709 -0.64194 -0.81705 -0.37904 1.60163 0.94303 1.00000 572
-0.69249 0.90406 0.31771 0.33530 0.27785 0.25492 1.00000 446
-0.12511 -1.62140 -0.21466 0.68172 -0.34661 -0.83391 1.00000 848
0.28938 -0.23585 1.27450 -1.55298 0.50624 -0.25814 1.00000 2
-0.89979 -0.28862 0.42757 -0.25530 -0.76528 -1.24554 1.00000 160
-1.68306 -0.85143 1.26152 -1.43607 1.46147 -1.43129 1.00000 682
0.30921 -1.39107 1.54343 1.15311 1.76853 0.72111 1.00000 815
1.60283 0.17926 -0.04913 -1.64276 -1.48522 -0.71019 1.00000 329
0.24511 1.44258 -0.76696 -1.67820 -1.19480 -0.61024 1.00000 49
-0.80321 -0.32401 0.06934 -0.48368 1.52557 -0.34796 1.00000 192
-1.48794 1.03749 0.22422 -0.34598 -0.99115 -1.43574 1.00000 742
1.03508 -0.92469 -0.03037 -0.17495 0.16440 -0.46331 1.00000 630
-1.48496 -0.56588 0.70647 0.33930 0.92203 -0.28498 1.00000 638
1.45964 -0.41879 -1.51607 1.45580 0.87168 2.27339 1.00000 557
0.50105 -0.77712 -0.86959 0.91974 0.58838 0.59518 1.00000 1098
-1.33941 -0.97227 -0.96425 -0.90633 -0.50160 -1.43838 1.00000 663
-0.17657 1.66396 1.65088 1.03629 1.66249 2.31678 1.00000 567
1.43922 -1.61240 -0.38670 1.10508 1.60483 -0.03597 1.00000 1031
1.68597 -1.32045 0.71068 0.33427 0.71079 -0.05813 1.00000 946
0.94156 -1.68548 0.19881 -1.58300 1.22666 -1.87949 1.00000 564
-1.21506 0.17078 -1.59249 -0.63992 1.35224 -0.14851 1.00000 1154
1.04636 -0.10471 -0.97823 -0.28193 1.67003 0.98113 1.00000 911
-0.98499 1.57473 0.19186 -0.92678 -0.83224 -0.51803 1.00000 320
-1.73035 -1.23030 1.03385 1.04926 -1.24793 -0.23503 1.00000 901
-0.22555 -1.60450 -1.12291 -0.22277 -1.50134 -1.18749 1.00000 425
0.53296 -0.20396 1.29897 0.79780 -0.53002 0.99126 1.00000 83
-0.03095 -1.34519 -0.64262 -1.53922 -1.62445 -2.38090 1.00000 344
1.45975 0.65880 -1.68354 -1.57869 1.32411 1.06799 1.00000 545
-1.52063 -0.36257 -0.85362 -0.92530 -0.28218 -1.77181 1.00000 735
-0.01859 -0.34665 -1.04771 0.25787 -0.06305 0.55239 1.00000 178
-1.65413 1.46885 -1.44677 -0.83332 -1.36460 -1.14418 1.00000 628
-0.28209 -0.09596 -0.13938 -1.57357 -1.16369 -1.44760 1.00000 14
1.64323 1.65972 0.82199 0.09369 -0.78633 -1.19327 1.00000 371
-1.64583 0.47176 -0.43033 0.20011 -0.78243 -1.27407 1.00000 817
0.43873 -1.06528 1.33656 1.01726 1.17458 0.84029 1.00000 253
0.89572 -1.66328 0.31603 1.17410 0.20916 -0.61112 1.00000 184
0.82211 0.63314 1.62912 1.17275 1.08256 2.70600 1.00000 79
-0.88643 0.34751 1.38924 1.01880 -1.33006 0.26355 1.00000 30
0.93999 -0.00695 -0.86568 1.43696 -1.20619 0.96642 1.00000 237
-0.85975 1.14773 0.36729 1.00544 1.22155 0.39004 1.00000 924
0.03809 -0.46182 1.42717 1.04092 1.32164 1.29275 1.00000 951
0.55513 0.95503 0.54099 -0.41703 1.55461 0.65822 1.00000 779
0.59608 0.98909 1.40908 -0.76748 1.34258 1.15661 1.00000 823
-0.06329 0.64234 0.03109 -0.12287 1.42869 0.04767 1.00000 46
-1.38334 0.65796 0.29016 -1.20193 -0.43842 -1.62317 1.00000 95
0.42550 -0.40114 1.66393 1.66266 -1.49480 1.23720 1.00000 6
-0.16379 0.07662 -0.43438 -1.65648 1.01426 -0.67260 1.00000 708
-1.58926 -0.66774 1.14935 0.65749 0.96481 -0.50123 1.00000 633
1.35732 -1.62088 1.51613 -1.43397 1.03879 -1.15356 1.00000 1049
1.58336 1.38124 -0.65420 -1.45370 0.76205 -0.93525 1.00000 1137
-0.61949 -0.45940 1.41067 1.03676 -0.80890 0.13637 1.00000 882
0.04499 -1.40344 -0.77287 -1.12296 0.95186 -1.01968 1.00000 111
-0.66599 0.01265 1.06864 1.28032 -1.75866 0.06648 1.00000 980
-0.13192 0.21246 -0.76894 -0.47939 1.41296 0.45882 1.00000 152
0.83724 1.36422 -1.01170 -1.31877 -0.73808 -0.54907 1.00000 950
1.66049 -0.66850 0.45107 -0.49880 0.82042 0.48695 1.00000 247
0.57685 1.20949 1.00288 0.46495 -0.29470 1.03558 1.00000 904
0.46794 0.54828 -1.26070 -1.40444 -1.08129 -0.09505 1.00000 846
-1.27549 1.27207 -0.52969 0.44533 0.60450 -0.17573 1.00000 703
0.96383 0.44524 1.27830 1.38446 0.50787 1.67741 1.00000 1041
0.78026 -1.41419 -0.82417 -1.36661 0.94974 -0.94041 1.00000 453
-1.04171 1.36431 -0.11527 0.67895 0.60747 0.18424 1.00000 11
1.02525 -1.24924 -1.24596 -1.52926 1.25097 -0.69068 1.00000 380
0.82027 -0.26895 -0.45318 0.03792 0.47885 0.58822 1.00000 293
-0.13372 -0.18600 0.65991 -1.69165 0.42035 -1.05757 1.00000 763
0.01957 -0.18198 -0.75653 0.73087 0.26268 0.56431 1.00000 485
-0.92326 -0.49014 -1.02134 0.57180 0.46316 0.18475 1.00000 1125
-0.99887 -0.68839 -0.84973 -0.59787 -1.01407 -1.12865 1.00000 674
0.81263 0.30217 -1.38782 -1.35250 -1.26030 0.04642 1.00000 554
-0.59263 -1.29288 -0.88344 -0.57659 0.42391 -1.22934 1.00000 325
-1.06777 -0.25901 -1.56327 0.03436 0.70161 0.31681 1.00000 802
0.60795 0.77608 -0.49035 0.58747 -0.53571 0.74312 1.00000 37
-1.25791 -1.34945 -1.67179 0.01955 -0.44409 -0.29226 1.00000 250
0.96196 -0.70830 1.06735 -1.04278 0.16196 0.07471 1.00000 540
-0.91836 -0.52460 1.05839 0.69168 -1.15165 -0.48951 1.00000 201
0.68983 0.68453 -0.90346 -0.64110 0.30525 0.49383 1.00000 744
-1.13998 -1.42128 1.05534 -1.76798 0.33651 -2.11918 1.00000 778
0.49483 -0.03565 -0.16067 -0.26834 1.44892 0.30011 1.00000 240
1.59689 0.28386 -0.82018 -0.11441 -0.04035 0.69223 1.00000 332
1.18794 -1.66260 0.23159 -0.45278 -1.22936 -1.73585 1.00000 260
0.00919 0.98076 1.35958 -0.63682 0.09619 0.72345 1.00000 101
0.55055 0.67702 0.30062 1.56711 -0.30250 1.51180 1.00000 433
0.02985 1.10740 -0.84935 -0.37350 -0.34258 0.43910 1.00000 1032
-1.73561 -1.32347 1.65007 0.02529 -0.43066 -0.61178 1.00000 590
1.27882 0.69884 0.08216 1.33059 -0.70351 0.94234 1.00000 264
-0.53614 0.15139 -1.45206 -1.04680 -0.62455 0.05483 1.00000 1082
-0.99691 1.39467 -1.50848 0.13872 1.65485 1.36497 1.00000 499
0.60155 -0.25025 -0.66458 0.10715 1.24329 0.80969 1.00000 768
-0.74889 0.34596 -0.25120 0.43629 -0.25426 -0.40903 1.00000 443
-0.16829 0.47493 0.13113 -0.63111 -0.13297 -0.76525 1.00000 161
0.34701 -1.36135 0.63473 -0.64230 -0.93393 -1.33058 1.00000 1001
-0.39240 -0.75213 -0.49633 0.48283 -0.65108 -0.17350 1.00000 256
-0.44495 -1.33816 0.34269 0.85256 -1.11128 -0.62577 1.00000 1128
0.20885 -0.63364 -1.03663 -1.31503 0.83501 -0.44300 1.00000 149
0.05417 -0.63463 -0.52555 -0.25090 0.23633 -0.49064 1.00000 1123
-1.57230 0.84018 -0.69095 -0.13023 -0.58205 -1.02698 1.00000 464
-1.68250 1.23034 1.52343 1.39881 0.72155 0.51216 1.00000 986
-1.72279 0.79504 -1.51792 0.58539 0.18058 -0.16515 1.00000 1030
1.24453 0.70887 -0.08646 0.79827 0.63251 0.82119 1.00000 210
0.52608 0.93919 1.55709 0.84524 0.89080 2.02816 1.00000 654
1.12762 0.56659 1.61841 -0.51563 0.89413 1.39026 1.00000 307
1.13020 -1.57823 1.63922 0.30679 1.79217 0.33356 1.00000 675
-0.41031 -1.39985 0.42928 -0.70276 -0.01231 -1.69800 1.00000 840
0.81205 1.49273 1.57986 0.20787 1.60215 1.41375 1.00000 908
-0.06190 0.53348 -0.15861 -0.74004 -0.22139 -0.11857 1.00000 753
0.78679 0.82328 0.20390 0.10538 1.39725 1.23253 1.00000 34
1.67081 0.97914 -0.96099 0.03692 1.24609 0.25607 1.00000 678
-0.70010 -1.57635 -0.32459 0.55231 -1.02642 -1.24327 1.00000 330
-1.50838 -0.30398 -0.69030 -0.68832 1.00081 -0.89247 1.00000 652
1.50910 0.77684 0.26159 1.06277 1.27204 1.06830 1.00000 801
-0.42680 1.62382 -1.16854 0.01964 0.42457 0.67832 1.00000 291
-0.58091 0.38079 1.50750 0.10257 -1.60194 -0.11792 1.00000 442
-1.19601 1.68776 0.45504 0.56472 1.24950 0.25710 1.00000 651
-0.97906 1.44222 -0.90647 0.89225 1.66245 1.08873 1.00000 316
0.01842 -1.14264 0.71568 1.13756 0.34590 -0.07255 1.00000 359
0.70351 0.95976 -0.67485 -0.75975 -0.25128 0.20031 1.00000 1075
1.57968 -0.35902 0.06359 -1.77102 -1.33648 -1.07256 1.00000 449
-0.12968 1.64373 0.39348 -0.53393 0.65481 0.53665 1.00000 285
0.25757 0.09045 -0.81500 -0.99471 0.66231 -0.03004 1.00000 99
-1.67429 -0.60793 -0.43784 -1.15358 -0.72067 -1.66097 1.00000 596
0.08386 -1.15222 -1.58274 -1.45549 0.80328 -0.53633 1.00000 855
-1.00170 -0.95756 0.57373 0.44383 -0.09175 -0.67128 1.00000 976
-0.77804 -0.65397 0.20490 -0.38931 -0.72192 -1.56377 1.00000 473
1.32536 0.63585 1.04560 -0.78067 -1.58147 -0.00015 1.00000 1033
1.20899 -1.14112 -1.47052 0.48455 -1.33475 -0.08701 1.00000 870
-0.12716 -1.13689 -0.73435 1.25417 -1.68858 -0.56930 1.00000 284
1.48011 1.29939 -1.14139 1.18114 -0.99421 0.48796 1.00000 788
-0.32805 -1.23538 -1.28939 -0.36939 1.33957 0.05413 1.00000 243
0.44626 0.69912 -0.62087 -1.73013 -1.00201 -0.35174 1.00000 791
0.22898 1.09226 0.27809 1.03478 0.83904 1.41110 1.00000 337
0.55124 0.62945 -0.55395 0.15445 1.22532 1.33256 1.00000 304
1.29932 -0.74778 1.42229 1.42248 0.87880 1.68685 1.00000 607
-1.12602 1.64645 -0.15782 0.17162 0.96199 0.19172 1.00000 967
-0.36241 1.53460 0.93329 -0.10998 1.32366 1.05011 1.00000 342
0.62202 1.44315 1.43303 -0.04510 1.59993 1.38548 1.00000 451
-1.65515 -1.69885 1.66721 -0.69266 0.67437 -0.48343 1.00000 807
0.16326 -1.59552 -1.42120 -1.56959 -0.80007 -2.06207 1.00000 696
-0.39645 0.63622 1.21698 -0.84292 -0.63369 -0.05533 1.00000 323
0.22100 -1.57511 1.66293 -1.33201 -0.59029 -0.81188 1.00000 39
0.87289 0.97442 0.36447 0.87541 1.62641 1.38143 1.00000 379
1.05283 1.49535 0.05457 -0.62716 -0.03316 -0.48964 1.00000 1152
0.41197 0.75589 -1.27494 0.19175 1.62200 1.80904 1.00000 989
-0.75833 0.50381 1.22279 1.14249 -0.59858 1.02963 1.00000 334
-0.05482 1.33998 -0.81920 -0.82148 -1.20012 -0.15199 1.00000 206
0.92365 1.04113 -1.53486 -0.28469 -0.84054 0.81331 1.00000 23
0.68978 0.20034 -0.70308 1.40146 -1.43626 0.76044 1.00000 576
0.37165 0.03237 0.71917 0.90365 0.95237 1.17059 1.00000 312
1.15326 1.45988 -1.09477 0.21409 -0.73319 0.41481 1.00000 777
-1.57682 1.14654 -1.07172 -0.99518 -0.40093 -1.36266 1.00000 363
-0.37637 -1.41311 -0.44171 -1.18874 -1.09043 -2.16950 1.00000 750
-0.34280 -1.68655 -0.14232 0.61353 -1.52516 -1.59767 1.00000 760
-1.32347 0.92963 -0.41854 -1.25159 0.95909 -1.16203 1.00000 1108
-0.41866 -0.90177 0.47689 1.29830 -1.11658 -0.42541 1.00000 845
1.15235 -0.57967 1.41810 1.57557 -1.71033 0.98844 1.00000 1029
-0.23917 -1.32104 1.69742 -0.59649 -1.52115 -0.72161 1.00000 1130
-1.17902 0.10674 -0.81198 1.16001 -0.90254 -0.07041 1.00000 999
-0.43501 0.00079 0.31091 -0.93323 -0.80080 -0.91854 1.00000 702
1.22454 0.36390 -1.09949 -1.26329 -1.32466 -0.29959 1.00000 200
1.29982 0.75453 -1.03799 -0.89267 -0.10029 0.17289 1.00000 1060
-1.52254 1.54384 -0.28780 -0.24486 -0.28224 -1.06989 1.00000 1178
0.50878 -0.48716 1.06384 -1.04963 -0.25822 -0.05435 1.00000 56
0.98435 -0.82702 -0.72599 0.59960 -1.05522 0.14939 1.00000 469
0.13812 -1.01170 -0.07205 0.93475 0.25157 0.39169 1.00000 681
-1.48559 0.11122 -1.07652 0.14703 -1.25230 -0.81592 1.00000 1142
0.03775 -0.30635 -0.09311 1.07049 -0.30977 0.27754 1.00000 657
-0.20585 -0.63534 -0.65524 -1.28256 -0.59152 -1.15404 1.00000 1099
0.60831 0.83207 1.39815 -1.19393 0.74841 0.88886 1.00000 532
-0.74522 -1.32103 -1.66810 -1.70422 0.14848 -1.06947 1.00000 1164
1.16421 -1.01689 -0.03012 -1.22957 -1.00167 -1.07087 1.00000 827
1.68329 -0.10077 0.30527 -1.07495 0.88711 0.03018 1.00000 1081
0.38082 0.67452 -0.52769 -0.63515 -1.09426 0.29858 1.00000 495
1.40571 -0.71257 -0.06870 -0.64942 -0.53477 -0.24742 1.00000 489
-0.04054 0.61628 -0.56857 1.48377 1.11536 1.71031 1.00000 665
0.74441 0.55445 1.55847 0.57061 -0.66812 1.45910 1.00000 262
1.63044 -0.18238 -1.24016 0.23777 -0.41992 1.03261 1.00000 212
-0.59895 -1.49415 0.20776 0.03268 1.77376 -0.79393 1.00000 866
-1.44344 1.56930 1.34934 -1.19946 -0.87268 -1.13050 1.00000 479
0.18771 1.34844 0.59864 0.20581 -1.11352 0.40763 1.00000 1057
1.69624 -0.17088 -0.71306 -0.02588 0.26607 0.89415 1.00000 207
-0.83929 -0.71305 -1.34513 0.58065 -0.65017 -0.17328 1.00000 434
1.57325 -1.63162 1.51173 0.30253 -1.37703 -0.85206 1.00000 762
0.10142 -0.52838 1.34077 0.89939 1.40138 1.05435 1.00000 393
0.84327 -1.27871 -1.29719 -1.11858 1.74073 -0.71485 1.00000 580
-1.62319 -0.54637 1.66051 -0.94235 1.21175 -0.57203 1.00000 346
-0.22793 -0.91747 -0.55583 -1.05107 -0.31817 -1.23651 1.00000 519
-1.47900 -0.46432 0.69241 0.21660 -0.74729 -1.46531 1.00000 1173
-0.22862 -0.76779 -1.14161 -1.06463 0.16785 -1.17584 1.00000 933
-0.70087 1.12275 0.10538 -1.72343 1.51732 -0.31186 1.00000 1065
-1.34006 -0.44502 -0.37642 -1.54557 -0.61707 -2.34618 1.00000 724
-1.55926 -1.66878 0.81925 0.88283 0.55508 -0.54166 1.00000 80
-0.75305 0.72401 -1.22905 -1.00615 0.96540 0.03837 1.00000 928
-1.58875 0.89312 -1.62418 -1.43632 -1.03926 -1.51782 1.00000 1119
-1.41975 0.56889 0.35943 -0.29515 -1.53604 -1.37484 1.00000 412
0.04444 0.00952 0.93534 -0.72417 0.85809 -0.11188 1.00000 245
-0.72768 -0.94015 1.40759 -1.61830 -0.56253 -1.43493 1.00000 786
-0.26366 -1.25478 -1.18674 0.67383 -0.41645 -0.32276 1.00000 832
1.52716 -0.58500 0.11400 0.17587 0.48065 0.06879 1.00000 282
-1.31524 -0.74408 0.23841 1.01028 -0.48770 -0.51702 1.00000 963
-1.28096 -0.82674 -1.43880 1.57831 0.54416 0.85616 1.00000 541
0.58631 1.31378 0.60869 -1.19943 -0.55822 -0.16402 1.00000 465
0.92343 -1.03929 1.30116 1.68798 0.79815 1.50701 1.00000 490
1.64677 -1.30705 -0.48022 -0.01578 0.95400 -0.12889 1.00000 533
-0.43811 0.53946 0.72298 0.42321 1.56073 0.57147 1.00000 582
0.04785 -0.82615 1.04271 -1.63230 -0.80154 -1.41463 1.00000 419
-1.60380 0.79765 0.32589 1.36319 -0.73274 -0.55419 1.00000 116
1.67042 0.62291 -0.18342 0.48229 1.09389 0.60135 1.00000 611
0.24224 0.75546 1.29515 1.26461 -1.19962 1.13804 1.00000 475
0.98863 -0.05147 1.12792 0.58910 1.45853 1.20291 1.00000 709
-0.82760 0.65067 0.18815 0.65483 -0.57992 -0.17112 1.00000 43
0.87119 1.46999 -0.46749 0.89690 1.52841 1.18854 1.00000 1095
1.08862 -1.00326 1.09077 1.36366 0.33200 0.93369 1.00000 234
-0.22856 -0.20610 0.62602 0.02500 0.29905 0.40993 1.00000 629
-0.17230 -1.07828 -0.40839 -1.61926 0.52772 -1.51138 1.00000 783
-1.35577 -0.10152 -0.28869 1.37878 1.08595 0.24252 1.00000 308
0.45253 0.41240 -1.28961 0.94456 1.54936 2.25719 1.00000 1107
0.54555 -0.28319 -0.72721 -1.06207 0.68940 -0.02874 1.00000 761
-0.19469 -0.98731 1.16949 -1.63468 0.41508 -1.23584 1.00000 623
-1.72428 -0.03967 1.23565 -0.20489 1.75479 -0.54267 1.00000 1141
0.99318 0.03503 -0.46022 -0.13140 -1.46910 0.01617 1.00000 182
-1.06431 -0.60095 0.02856 -0.85221 -0.35046 -1.71651 1.00000 484
0.64619 1.67548 -0.93342 -1.71862 -0.56043 -0.52207 1.00000 947
-0.93874 -1.23456 -0.00188 0.21167 0.16190 -0.92179 1.00000 67
-0.46543 0.25979 1.14719 0.18671 1.36945 0.89908 1.00000 515
0.82496 1.07177 -0.09610 -0.76684 0.50821 0.04505 1.00000 174
1.53236 -1.06403 -0.04803 -1.22502 1.54606 -0.38378 1.00000 271
-1.45669 -1.38537 -0.34230 -0.96955 1.45839 -1.30334 1.00000 575
-0.61533 -0.83710 -1.05449 -0.83988 1.11314 -0.58046 1.00000 153
1.58672 0.07219 0.25895 -0.71253 -1.03487 0.15031 1.00000 1042
-0.17233 -1.31873 0.55161 0.43199 -0.21460 -0.39939 1.00000 12
1.58987 -0.00156 1.06185 0.15281 -0.84550 0.45604 1.00000 1012
1.10411 -0.06340 -0.32452 1.29496 1.32397 1.96244 1.00000 1136
