lread lwrite scall sread swrite fork exec rchar wchar pgout ppgout pgfree pgscan atch pgin ppgin pflt vflt runqsz freemem freeswap Y outlier number
-0.29165 -0.43848 -0.31057 0.51526 -0.21847 -0.43744 0.11665 2.95275 -0.48296 -0.35527 -0.36659 -0.35597 -0.30261 -0.16249 -0.39483 -0.31367 -0.56107 -0.52839 -0.11954 -0.64645 -0.51605 0.38211 1.00000 1758
-0.29165 -0.37157 -1.17374 -0.86687 -0.84165 0.04656 -0.15195 -0.48515 -0.55704 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.43808 -0.38593 0.63146 -0.10182 -0.14658 3.93986 1.30573 0.32776 1.00000 795
-0.32914 -0.43848 -1.08252 -0.75630 -0.79802 0.20790 -0.07521 -0.06602 -0.49394 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.52457 -0.51116 0.75688 0.03913 -0.14658 0.33262 1.11285 -0.16134 1.00000 6168
0.43936 0.39792 2.43933 0.90226 0.85962 1.09523 0.53874 0.25457 0.68612 -0.27989 -0.03794 -0.33125 -0.30261 0.04774 -0.49574 -0.46627 0.99645 1.01411 -0.10046 0.23189 -0.00045 -0.54176 1.00000 1293
-0.34788 -0.43848 0.26182 -0.28889 -0.28079 -0.35677 -0.34381 -0.60755 -0.31977 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.52457 -0.50218 -0.45374 -0.58886 -0.12432 -0.40672 -0.63504 0.43646 1.00000 7465
0.10197 -0.40503 1.29272 0.45495 0.01833 1.57923 2.34223 0.49500 -0.29910 0.39849 1.68419 2.52399 3.74873 0.36309 2.34408 2.80124 1.00694 1.25811 -0.12909 -0.66095 -0.54024 -0.92218 1.00000 8115
0.58932 1.86999 -0.76052 -0.34418 -0.19978 -0.59877 -0.49730 -0.80064 -0.50661 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.56782 -0.53809 -0.68816 -0.69431 -0.13386 -0.00462 -0.84995 0.49080 1.00000 76
0.27067 1.20087 -0.50340 -0.62563 -0.25586 -0.67944 -0.49730 -0.61038 0.82397 0.09510 -0.18321 -0.26976 -0.30261 0.01270 -0.52457 -0.49320 -0.84627 -0.84908 -0.13068 -0.64443 0.45627 0.43646 1.00000 541
0.13946 0.09682 1.01663 2.91263 0.33615 0.28453 -0.03876 7.06694 3.43195 13.18607 10.33892 6.07079 2.44434 -0.19753 0.35260 0.18768 0.70820 0.88473 1.20388 -0.68311 -3.14719 -4.56333 1.00000 1190
-0.19793 -0.40503 -0.31057 -0.41956 -0.39296 -0.03410 0.26822 -0.38746 -0.41425 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.55340 -0.52014 0.09060 -0.10705 -0.12432 -0.38496 0.47724 0.43646 1.00000 8182
-0.36663 -0.43848 -0.57380 0.17350 -0.25586 -0.67944 -0.49730 -0.70650 2.08303 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.82328 -0.86872 -0.13863 1.59130 1.15977 0.49080 1.00000 2536
-0.27291 -0.30466 -0.47586 -0.17832 -0.30572 -0.67944 -0.49730 -0.00795 -0.20091 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.20743 -0.31367 -0.82328 -0.80065 -0.14817 0.11988 -0.60629 0.43646 1.00000 7595
-0.25416 -0.33811 1.17457 0.00764 0.33615 -0.03410 0.30851 -0.02991 0.80532 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.52457 -0.51116 -0.15552 -0.32628 -0.11795 -0.25885 0.66442 -0.05265 1.00000 1172
-0.36663 -0.43848 -1.18659 -0.85180 -0.72324 -0.67944 -0.49730 -0.81662 -0.58857 -0.27989 -0.34030 -0.34361 -0.30261 -0.19753 -0.49574 -0.49320 -0.82328 -0.87919 -0.13227 -0.58037 0.90923 0.70818 1.00000 6698
0.06448 -0.27120 1.85041 1.19879 0.79730 1.33319 0.19148 2.80764 -0.47884 0.77349 0.36827 -0.02286 -0.30261 -0.02234 -0.17932 -0.17094 1.63808 1.45848 -0.13386 -0.63356 -0.59166 -0.70480 1.00000 3883
-0.32914 -0.40503 -1.28332 -0.93221 -0.73571 -0.67944 -0.49730 -0.77272 -0.51881 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.56782 -0.52014 -0.82328 -0.88233 -0.14658 1.77503 1.25031 0.76253 1.00000 6853
-0.36663 -0.43848 -1.28760 -0.91713 -0.78556 -0.67944 -0.49730 -0.82010 -0.64764 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.58223 -0.53809 -0.82302 -0.88008 -0.14817 -0.18230 0.99775 0.76253 1.00000 633
-0.12295 -0.40503 1.68084 2.34470 2.68551 1.32916 -0.26899 0.07157 0.10945 -0.16871 -0.28837 -0.22062 -0.20744 -0.02234 -0.56782 -0.53809 1.16453 1.14286 -0.14420 -0.63315 -0.57978 -0.27004 1.00000 1711
-0.29165 -0.40503 -0.56034 0.43987 0.27383 0.53056 -0.34381 0.40254 0.72685 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 0.46854 0.23082 -0.13704 1.36809 1.20541 0.27342 1.00000 6345
-0.34788 -0.43848 -1.11742 -0.55024 -0.33688 -0.67944 -0.49730 -0.14477 0.25076 -0.31758 -0.31401 -0.33743 -0.30261 2.46540 -0.58223 -0.54707 -0.77084 -0.78494 -0.12591 -0.54814 0.90917 0.43646 1.00000 4035
-0.08547 -0.00355 1.28476 -0.09791 0.12427 0.04656 0.80735 -0.28648 -0.45201 0.43618 0.09352 0.41037 0.47898 0.43316 1.66656 1.05976 -0.07336 0.29470 -0.12670 -0.63517 -0.77427 0.05604 1.00000 1176
-0.14170 -0.07047 -0.67298 -0.84677 -0.71701 -0.67944 -0.49730 -0.80396 -0.54723 0.06118 -0.02414 -0.05252 -0.11382 -0.09242 -0.58223 -0.50218 -0.82127 -0.65447 -0.14817 -0.64363 -0.57925 0.70818 1.00000 3787
-0.36663 -0.43848 -1.33168 -1.02770 -0.87280 -0.67944 -0.49730 -0.82097 -0.63386 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.58223 -0.54707 -0.82355 -0.88249 -0.14817 0.06025 1.07414 0.81687 1.00000 1833
0.12072 -0.30466 1.79593 0.47003 0.92816 0.68786 0.38334 1.36192 3.60426 0.35892 0.09286 0.35939 0.32308 -0.12745 3.90670 4.48795 1.11637 1.28083 -0.11636 -0.40067 -0.83126 -1.13956 1.00000 6229
-0.36663 -0.43848 -0.57686 -0.71107 -0.54875 -0.67944 -0.49730 -0.81449 -0.56618 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.58223 -0.53809 -0.82154 -0.87919 -0.14340 -0.43250 0.96324 0.65384 1.00000 2317
-0.34788 -0.43848 0.03960 -0.21853 -0.20601 -0.67944 -0.49730 -0.79516 -0.45147 -0.16683 -0.28772 -0.31889 -0.30261 -0.19753 -0.52457 -0.51116 -0.81830 -0.83757 -0.13624 -0.65048 -0.64605 0.43646 1.00000 6546
-0.29165 -0.37157 0.02735 0.08805 0.06819 0.20790 0.23177 -0.63467 -0.08162 -0.12914 -0.28772 -0.27563 -0.27168 -0.09242 -0.55340 -0.52911 1.00344 0.23501 -0.14817 -0.62348 -0.62393 0.16473 1.00000 820
1.97637 4.07809 1.76042 1.13345 0.94686 -0.67944 -0.49730 1.07348 0.61556 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 2.97114 2.09567 -0.82355 -0.40283 -0.11477 -0.16376 0.00802 0.11038 1.00000 4546
-0.12295 -0.37157 -0.47953 -0.62563 -0.25586 -0.43744 -0.34381 -0.60573 -0.62165 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.56782 -0.53809 -0.39151 -0.57970 -0.12432 0.14285 0.04663 0.59949 1.00000 8034
-0.34788 -0.43848 0.77543 -0.52511 -0.22470 -0.59877 -0.42056 -0.50642 0.20860 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.51016 -0.49320 -0.64087 -0.51174 -0.14181 -0.53001 -0.73329 0.43646 1.00000 1679
-0.32914 -0.43848 0.53607 -0.26879 -0.48644 -0.67944 -0.49730 -0.33038 -0.47733 0.09699 -0.15626 -0.25709 -0.30261 0.39812 1.26293 0.62888 -0.81280 -0.51582 -0.14817 -0.59770 -0.70694 0.32776 1.00000 6045
0.04574 0.16373 -0.75868 -0.62563 -0.47397 0.04656 -0.11358 -0.41430 -0.35870 0.84886 0.44649 0.02627 -0.30261 0.36133 0.36702 0.10689 0.15860 1.10736 -0.14181 -0.48609 -0.73671 0.00169 1.00000 2009
-0.32914 -0.43848 0.48526 -0.15319 -0.21224 -0.67944 -0.49730 1.37758 -0.43245 1.00150 0.14610 -0.04078 -0.18734 -0.16249 -0.23626 -0.33162 -0.81979 -0.39749 -0.13863 -0.63074 -0.58647 0.38211 1.00000 6609
-0.10421 -0.00355 0.66830 1.51039 -0.29325 0.12723 -0.11358 -0.29825 -0.47327 0.96381 1.96026 1.80709 1.61200 -0.19753 -0.56782 -0.53809 1.41074 1.14292 -0.14817 -0.65491 -0.58510 0.00169 1.00000 2834
-0.31039 -0.43848 -0.58299 -0.29392 -0.31195 0.04656 0.38717 0.86279 -0.49619 -0.27989 -0.34030 -0.34361 -0.30261 -0.16249 1.15121 1.08983 0.58872 0.82185 -0.14181 -0.55257 -0.61758 0.00169 1.00000 5192
-0.31039 -0.37157 -1.13639 -0.93724 -0.70455 -0.19544 -0.26707 -0.71622 0.38716 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.53899 -0.52014 -0.00344 -0.41424 -0.14658 1.52765 1.22146 0.43646 1.00000 5973
-0.29165 -0.33811 -0.82786 -0.35423 0.04326 -0.35677 -0.30544 -0.79296 -0.52571 -0.12914 -0.27457 -0.03460 -0.01865 0.01270 -0.42366 -0.44832 -0.25342 -0.47812 -0.13227 -0.64846 -0.65077 0.49080 1.00000 6359
-0.06672 -0.17083 0.83175 0.41474 0.75368 1.82526 0.38717 -0.02775 0.55701 -0.43065 -0.39289 -0.36833 -0.30261 -0.16249 0.29854 0.03777 2.62757 1.99181 -0.14817 -0.41840 -0.80426 -0.48742 1.00000 7028
-0.14170 -0.43848 1.22967 1.08319 1.38308 1.41789 -0.22870 -0.14359 -0.59827 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 1.29537 1.02563 -0.13386 1.29315 0.92561 -0.10700 1.00000 3869
-0.27291 -0.43848 -0.17895 -0.19842 -0.34311 0.85323 0.15502 -0.28877 -0.62230 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.55340 -0.52014 0.95450 0.77221 -0.13863 -0.10131 0.99314 0.11038 1.00000 2425
-0.29165 -0.43848 -1.08252 -0.62563 -0.58615 0.04656 -0.15195 -0.54927 -0.40650 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.58223 -0.54707 -0.29012 -0.27811 -0.14181 0.04655 1.05094 0.21907 1.00000 3993
-0.10421 -0.23775 0.05368 -0.03759 -0.01283 0.28856 -0.15195 -0.29016 0.00288 -0.43065 -0.39289 -0.36833 -0.30261 -0.09242 -0.00562 -0.17902 0.23954 0.59105 -0.11954 0.45470 0.54996 0.21907 1.00000 5594
-0.34788 -0.43848 -0.41158 -0.19340 -0.46774 -0.67944 -0.49730 -0.30958 -0.57592 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.58223 -0.53809 -0.79182 -0.83102 -0.13704 1.73796 0.91792 0.65384 1.00000 4205
-0.29165 -0.40503 0.04327 -0.10293 -0.44905 -0.59877 -0.15195 -0.65149 -0.42422 -0.05377 -0.24828 -0.30035 -0.30261 -0.19753 -0.42366 -0.43934 -0.66421 -0.72211 -0.14022 -0.57070 0.47152 0.59949 1.00000 7982
-0.14170 -0.07047 -1.15843 -0.21853 -0.58615 -0.51810 -0.03684 0.35297 1.31830 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.46143 -0.68965 -0.13545 1.51959 1.18653 0.65384 1.00000 952
-0.32914 -0.40503 -1.27168 -0.99755 -0.82295 -0.67944 -0.49730 -0.77934 -0.34159 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.82328 -0.88233 -0.14658 2.24563 1.26573 0.65384 1.00000 1308
-0.34788 -0.43848 -0.42872 -0.31402 -0.16862 -0.51810 -0.34381 -0.39687 -0.11459 0.66231 0.61936 0.57724 1.08907 -0.16249 0.93138 0.76353 -0.47367 -0.46765 -0.14022 -0.63476 -0.54132 0.27342 1.00000 1644
0.17695 0.49829 -0.72379 -0.45475 -0.36180 -0.59877 -0.22870 -0.42571 -0.57724 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.27951 -0.35855 -0.68169 -0.74829 -0.12432 1.22828 0.81469 0.00169 1.00000 1241
-0.32914 -0.43848 -0.95213 -0.59045 -0.40543 0.04656 -0.22870 -0.66078 -0.64479 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.01760 -0.21784 -0.14658 2.24402 1.26179 0.59949 1.00000 5504
-0.27291 -0.37157 1.58963 0.61578 0.72875 -0.59877 -0.19032 -0.75727 -0.23316 -0.43065 -0.39289 -0.36833 -0.30261 -0.09242 0.49675 0.20563 -0.73807 -0.63064 -0.13863 0.50829 0.73982 0.32776 1.00000 8166
0.28941 1.10050 -0.96621 -0.36428 -0.41166 -0.67944 -0.49730 -0.34564 -0.54156 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.49574 -0.43037 -0.81804 -0.83835 -0.14579 -0.31929 -0.75388 0.59949 1.00000 4810
-0.23542 -0.33811 0.08980 0.68614 2.08103 0.04656 -0.26707 -0.21867 0.13275 -0.43065 -0.39289 -0.36833 -0.30261 -0.12745 -0.53899 -0.50218 0.27974 -0.03516 -0.14579 -0.29793 -0.74163 0.16473 1.00000 1911
0.17695 0.66557 -0.78439 -0.44469 -0.21224 1.09523 0.07828 -0.56130 -0.50622 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.52457 -0.49320 0.63285 0.46225 -0.14340 2.19325 1.29375 0.32776 1.00000 7014
-0.02923 -0.30466 1.01357 2.02806 2.55464 -0.59877 -0.38218 2.10044 2.16361 0.13468 0.59307 0.76264 0.92038 0.08278 0.31152 0.67376 -0.62925 -0.55980 -0.13068 -0.65249 0.16295 0.16473 1.00000 8049
0.21444 0.39792 -0.22303 -0.14314 -0.16239 -0.35677 -0.34381 0.61875 0.05466 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 1.30617 0.90716 -0.48241 0.55754 -0.13068 3.19125 0.10792 0.21907 1.00000 2375
0.49560 1.63580 0.99949 0.11821 -0.13123 0.28856 0.42363 0.42175 0.65970 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.55340 -0.52911 0.25877 0.13972 -0.11954 0.16984 0.74264 0.21907 1.00000 6163
-0.25416 -0.37157 -0.66257 -0.40951 -0.36180 -0.67944 -0.49730 -0.21832 -0.10430 -0.43065 -0.39289 -0.36833 -0.30261 -0.16249 -0.59665 -0.55604 -0.77783 -0.70536 -0.13386 -0.07432 0.49735 0.54515 1.00000 7154
-0.32914 -0.40503 -0.68644 -0.70604 -0.54252 -0.59877 -0.19032 -0.72567 -0.45006 -0.43065 -0.39289 -0.36833 -0.30261 -0.05738 -0.56782 -0.52911 -0.66945 -0.74096 -0.14022 -0.55862 0.48594 0.59949 1.00000 8130
-0.31039 -0.43848 1.05703 -0.15822 -0.20601 -0.67944 -0.49730 2.44791 0.07202 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.55340 -0.52911 -0.79357 -0.85406 -0.12750 0.33342 0.72866 0.54515 1.00000 7168
0.40188 1.53543 0.07143 -0.37936 -0.41789 -0.67944 -0.49730 -0.18154 -0.45568 -0.05377 -0.18255 -0.26945 -0.30261 -0.09242 0.13853 -0.09823 -0.73413 -0.62263 -0.14340 -0.61663 -0.81965 0.27342 1.00000 920
-0.21667 -0.30466 1.78675 -0.07780 -0.00659 -0.43744 -0.30544 -0.28861 0.32335 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 1.67665 0.86856 -0.17633 -0.16035 -0.12591 0.53488 0.03873 0.00169 1.00000 7295
-0.34788 -0.43848 -1.10946 -0.40951 -0.15616 -0.67944 -0.49730 -0.81212 -0.57612 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.82328 -0.87081 -0.14022 0.55261 0.90017 0.70818 1.00000 3721
-0.34788 -0.43848 0.14428 -0.36428 -0.32441 -0.67944 -0.49730 -0.78583 -0.55386 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.46691 -0.44832 0.74473 -0.45927 4.75899 -0.67304 -3.14725 -4.56333 1.00000 699
-0.25416 -0.30466 -0.31669 -0.61558 -0.54252 -0.59877 -0.19032 0.33313 1.17437 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.39483 -0.32265 -0.62226 -0.73154 -0.12113 0.39185 0.56176 0.49080 1.00000 7703
-0.36663 -0.43848 0.04878 -0.32407 0.04949 -0.67944 -0.49730 -0.74965 -0.47140 -0.20452 -0.31401 -0.33125 -0.30261 -0.09242 -0.51016 -0.50218 -0.82328 -0.87186 -0.13704 -0.61502 0.90170 0.54515 1.00000 2137
-0.23542 -0.30466 0.29855 -0.21350 -0.25586 -0.67944 -0.49730 0.86989 0.63787 -0.43065 -0.39289 -0.36833 -0.30261 -0.16249 -0.45249 -0.40344 -0.78308 -0.67604 -0.11795 -0.54411 0.63498 0.59949 1.00000 528
-0.34788 -0.43848 -0.21446 -0.69599 -0.46774 -0.67944 -0.49730 -0.38526 -0.54392 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.56782 -0.53809 -0.82005 -0.87731 -0.14817 -0.20124 -0.64346 0.70818 1.00000 987
0.34564 0.76594 -0.58421 -0.16827 0.08065 -0.35677 -0.26707 0.15729 -0.22384 1.41607 1.47386 1.13963 0.88383 0.60836 0.44126 0.34163 -0.18874 -0.13883 -0.14420 -0.65048 -0.73829 0.38211 1.00000 6530
-0.17919 -0.43848 -1.22944 -0.79148 -0.70455 -0.59877 -0.45893 -0.24588 -0.58983 0.32123 0.30254 0.49504 0.54758 -0.05738 -0.32348 0.60868 -0.73107 -0.49477 -0.14499 -0.59568 0.94198 0.65384 1.00000 1506
3.25096 6.68767 1.39495 0.87713 1.12135 -0.51810 -0.42056 1.52141 2.83184 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 2.02190 2.61542 -0.57585 -0.01820 -0.14022 -0.29108 -0.73273 -0.65045 1.00000 6101
0.66429 1.83653 1.12805 1.26412 0.72875 0.61123 -0.22870 1.39479 2.05411 -0.35527 -0.34030 -0.34361 -0.30261 -0.16249 2.84861 1.97538 0.72725 0.99736 3.04904 -0.68110 -3.14720 -4.56333 1.00000 494
-0.02923 -0.27120 -0.09692 0.45997 0.19905 0.45393 0.34880 4.35063 6.10154 1.23140 0.45044 0.85164 0.90028 -0.12745 -0.46691 -0.39401 0.39433 0.48822 0.91756 -0.67546 -3.14723 -4.56333 1.00000 1797
-0.34788 -0.43848 -0.50585 -0.49998 2.39885 -0.19544 -0.26707 -0.35314 0.16766 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.27951 -0.27776 0.10144 -0.37445 -0.14499 0.22262 1.11008 -0.21569 1.00000 6033
-0.29165 -0.40503 -0.87499 -0.74625 -0.61730 -0.51810 -0.15195 -0.74954 -0.43025 -0.43065 -0.39289 -0.36833 -0.30261 -0.16249 -0.58223 -0.54707 -0.52611 -0.66347 -0.14022 0.02278 0.50138 0.59949 1.00000 3921
-0.16044 -0.20429 -0.06080 -0.31905 -0.24340 -0.59877 -0.42056 -0.59983 -0.03122 1.37838 1.98655 2.38185 2.50324 -0.02234 -0.39483 -0.42139 -0.40025 -0.22051 -0.14817 -0.58198 -0.63369 0.27342 1.00000 42
-0.21667 -0.23775 -0.61053 -0.37433 -0.23717 -0.67944 -0.49730 -0.77648 -0.56990 -0.24221 -0.32716 -0.33743 -0.30261 -0.05738 -0.19302 -0.29572 -0.80755 -0.18491 -0.14817 -0.58239 -0.86912 0.54515 1.00000 3773
-0.25416 -0.30466 -1.18659 -0.18335 -0.57368 -0.67944 -0.49730 0.41905 1.36258 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.80755 -0.88024 -0.13863 1.48453 1.18467 0.70818 1.00000 7773
-0.31039 -0.43848 -0.88907 -0.59547 0.31122 -0.03410 -0.19032 0.04590 0.18797 0.36080 -0.11682 -0.23855 -0.30261 -0.16249 -0.29393 -0.23288 0.43183 -0.16082 -0.14658 -0.56385 1.14960 -0.16134 1.00000 2042
0.42062 -0.43848 0.81767 -0.11801 -0.19355 3.58783 5.70553 0.19977 -0.43420 0.20817 -0.11748 -0.23885 -0.30261 0.08278 0.39585 0.06200 2.15096 2.56839 -0.14658 -0.59609 -0.55764 -1.19391 1.00000 5278
-0.06672 -0.30466 -0.19793 0.09811 -0.19355 -0.59877 -0.45893 1.38040 -0.12939 3.33816 3.84015 3.96397 2.78158 0.11782 0.47009 2.17287 -0.45095 0.67273 -0.14817 -0.65249 -0.78441 -0.05265 1.00000 1010
-0.25416 -0.37157 -0.55911 -0.44469 -0.23717 -0.59877 -0.45893 -0.07803 -0.39215 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.22185 -0.30469 -0.62400 -0.55771 -0.11000 -0.53283 -0.64793 0.38211 1.00000 4902
0.64555 1.60234 -0.25302 -0.15319 -0.02529 -0.35677 -0.26707 -0.49416 -0.29621 3.96944 3.54305 2.67850 2.10204 -0.12745 0.97174 0.85060 -0.29144 0.29847 -0.14499 -0.63920 -0.85467 0.05604 1.00000 7770
-0.25416 -0.37157 1.33068 1.09827 1.14004 0.69190 0.19340 0.19971 0.71197 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 0.85930 1.09567 0.71152 0.86227 -0.12591 -0.50543 -0.74282 -0.43307 1.00000 7234
-0.34788 -0.43848 -1.17557 -0.67086 -0.56122 -0.67944 -0.49730 -0.80212 -0.60679 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.07770 -0.23288 -0.82328 -0.82369 -0.14022 1.82056 0.93487 0.70818 1.00000 8059
0.27067 1.26778 -0.31608 0.02774 0.25514 -0.67944 -0.49730 -0.71664 -0.52567 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.53899 -0.52014 -0.82328 -0.86872 -0.14022 -0.49496 -0.67002 0.38211 1.00000 5060
-0.19793 -0.30466 -1.02069 -0.81661 -0.65469 -0.27610 -0.22870 -0.03372 -0.57388 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.02003 0.14414 -0.46843 0.38895 -0.14022 1.72426 1.24904 0.54515 1.00000 4135
0.30816 1.00013 -0.16181 -0.30899 -0.21224 2.06323 3.33990 -0.14989 -0.54115 0.24774 0.52734 0.60196 0.76294 -0.12745 -0.16419 -0.25083 1.20097 1.44346 -0.12432 -0.64524 -0.57118 -0.48742 1.00000 3186
-0.23542 -0.40503 0.57954 0.27401 -0.07514 0.04656 -0.19032 0.09984 0.17498 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.49574 -0.48423 -0.12056 -0.11161 -0.11795 -0.08117 0.01399 0.32776 1.00000 6752
-0.27291 -0.43848 0.07939 -0.11801 0.05572 -0.35677 -0.30544 0.25280 1.13171 3.37585 1.47386 0.71320 -0.05801 1.13393 0.67190 0.76353 -0.56107 -0.27392 -0.14817 -0.61462 -0.65302 -0.05265 1.00000 460
-0.36663 -0.43848 -1.25638 -0.84677 -0.79802 -0.67944 -0.49730 0.24351 -0.59423 -0.43065 -0.39289 -0.36833 -0.30261 -0.19753 -0.59665 -0.55604 -0.81804 -0.88129 -0.14658 2.23435 1.29183 0.76253 1.00000 7221
