ClimbRate Sgz P Q CurRoll AbsRoll DiffClb DiffRollRate DiffDiffClb SaTime1 SaTime2 SaTime3 SaTime4 DiffSaTime1 DiffSaTime2 DiffSaTime3 DiffSaTime4 Sa Y outlier number
1.84014 -0.99065 -0.16081 -1.59232 -0.67975 0.67997 1.56789 0.40115 -0.06954 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.39080 1.00000 3356
1.94101 0.22795 0.96659 0.91065 -0.78482 -0.53878 -0.89232 1.27510 0.35178 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 0.05583 1.00000 11755
0.24784 -0.83341 0.74111 0.65172 0.37104 -0.05128 -0.98694 -2.37961 -0.17487 -1.36534 -1.33967 -1.33947 -0.83701 0.10707 -0.01041 -5.10830 -0.01294 -0.83672 -0.09305 1.00000 10856
1.29256 -1.22651 -0.41851 -1.85125 -0.88990 -0.78253 2.13563 1.75180 -0.28020 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.53968 1.00000 6079
-0.98782 0.22795 -1.80360 -1.41970 1.00151 -0.53878 0.62165 -0.79060 3.51172 -0.37150 -0.60338 -0.60327 -0.59331 2.42421 -0.01041 0.05862 -0.01294 -0.59308 -0.39080 1.00000 9439
-1.26161 0.46381 -1.12716 0.13387 -0.99498 -0.78253 0.24316 0.56005 -0.06954 -0.12304 -0.35795 -0.35787 -0.34961 1.26564 -0.01041 0.05862 -0.01294 -0.34944 0.05583 1.00000 9059
0.07131 -0.87272 -1.12716 -0.12506 -0.88990 -0.29503 0.24316 -1.26731 0.14112 -0.37150 -0.60338 -0.60327 -0.83701 1.26564 -0.01041 1.78093 -0.01294 -0.83672 -0.24192 1.00000 14583
-0.92297 0.26726 0.06467 0.22017 0.58119 1.41122 -0.79769 -0.63170 -0.38554 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.53968 1.00000 1457
-0.63117 0.58173 0.22573 -1.59232 0.47612 -0.05128 -0.98694 -0.07555 5.93433 -0.86842 -0.84881 -0.84867 -0.83701 0.10707 -0.01041 0.05862 -0.01294 -0.83672 1.99126 1.00000 10078
2.24722 0.93552 0.61226 -0.03875 -1.94068 -2.24503 1.28402 2.38740 -0.28020 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 0.35359 1.00000 2609
0.30908 -0.00791 -0.03197 -2.28279 -0.67975 0.92372 2.32487 0.87785 0.03579 1.36772 1.36006 1.35995 1.35628 0.10707 -0.01041 0.05862 -0.01294 1.35604 -0.53968 1.00000 6658
-1.14633 -1.10858 1.35313 -0.72923 0.05580 0.67997 0.52703 0.56005 -0.06954 0.62234 0.86920 0.86915 0.86888 -2.21007 -0.01041 0.05862 -0.01294 0.86876 -0.39080 1.00000 12020
-0.63478 -0.59755 -0.70841 -0.29768 -0.88990 -0.29503 0.33779 1.35455 0.03579 0.87080 0.62377 0.62374 0.62518 1.26564 -0.01041 0.05862 -0.01294 0.62512 -0.53968 1.00000 6733
-0.73925 -0.55824 0.06467 0.22017 -0.04928 1.16747 -0.60845 0.40115 -0.28020 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.53968 1.00000 1279
0.19020 -0.59755 -1.51370 -0.81554 0.16088 -0.53878 1.09477 -0.79060 -0.17487 0.12542 -0.35795 -0.35787 -0.83701 2.42421 -0.01041 1.78093 -0.01294 -0.83672 -0.24192 1.00000 8602
-0.28894 1.60379 -1.73918 2.20529 1.73705 -0.78253 -2.02779 -1.42621 -1.96550 -1.36534 -1.33967 -1.33947 -1.32441 0.10707 -0.01041 0.05862 -0.01294 -1.32400 0.20471 1.00000 16434
-0.36459 -2.09132 1.06323 -0.72923 0.58119 -1.02628 1.28402 0.71895 -0.06954 -0.61996 -0.60338 -0.60327 -0.59331 0.10707 -0.01041 0.05862 -0.01294 -0.59308 0.65135 1.00000 8278
1.31778 -0.75479 -0.64399 -1.07446 -0.88990 0.43622 1.18939 0.56005 -1.33352 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.98632 1.00000 7318
-0.62757 0.54243 0.86996 0.73803 0.79135 -0.05128 -0.79769 -0.47280 -0.49087 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.09305 1.00000 9109
-0.42583 0.69966 -1.12716 0.04756 0.37104 0.19247 -0.13533 -1.26731 0.45711 0.12542 -0.35795 -0.35787 -0.34961 2.42421 -0.01041 1.78093 -0.01294 -0.34944 -0.09305 1.00000 13580
-1.64708 0.38519 -0.48293 0.13387 -0.78482 -1.51378 1.00015 0.56005 -0.49087 -1.86226 -1.83053 -1.83028 -1.81181 0.10707 -0.01041 0.05862 -0.01294 -1.81127 1.84238 1.00000 16420
2.14995 2.78308 -1.12716 0.39279 0.26596 1.16747 -0.79769 0.08335 -0.17487 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.09305 1.00000 5540
0.92871 -1.54099 -0.38629 -1.33339 -1.62545 -0.29503 1.56789 2.22850 0.14112 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.24192 1.00000 14142
-0.91937 -1.14789 1.57861 0.73803 0.89643 -0.78253 -0.60845 -0.47280 -0.06954 -0.86842 -0.60338 -0.60327 -0.34961 -2.21007 -0.01041 -3.38599 -0.01294 -0.34944 -0.09305 1.00000 1801
0.57927 -0.20446 -0.67620 2.03267 0.79135 -2.00128 -0.41920 -1.34676 -0.38554 -4.34687 -4.53026 -4.52970 -4.97990 1.26564 -0.01041 1.78093 -0.01294 -4.97859 3.77780 1.00000 8273
1.21331 -0.79410 0.70890 -0.29768 -0.57467 0.67997 0.24316 0.95730 -0.28020 0.87080 1.11463 1.11455 1.11258 -1.05150 -0.01041 0.05862 -0.01294 1.11240 -0.39080 1.00000 8590
-1.74434 0.42450 -1.96466 2.03267 -0.99498 -2.73253 -0.60845 -0.31390 -0.17487 -1.86226 -2.07596 -2.07568 -2.05551 1.26564 -0.01041 0.05862 -0.01294 -2.05491 0.35359 1.00000 5496
-1.49577 0.69966 -0.35408 -1.07446 0.58119 1.41122 0.43241 -0.39335 2.24774 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.24192 1.00000 13062
-1.27962 0.97483 -0.74062 -0.64292 0.26596 1.16747 0.81090 -0.39335 -0.80686 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.68856 1.00000 14569
-1.71913 0.97483 -0.61178 1.16958 0.16088 -1.27003 -0.79769 -0.47280 0.56244 -0.86842 -0.84881 -0.84867 -0.83701 0.10707 -0.01041 0.05862 -0.01294 -0.83672 -0.24192 1.00000 3268
0.74858 0.62104 1.67525 2.98207 0.68627 -0.53878 -4.01488 -3.25356 -0.59620 -1.86226 -1.83053 -1.83028 -1.81181 0.10707 -0.01041 0.05862 -0.01294 -1.81127 0.50247 1.00000 16101
-1.12111 -0.40101 -0.45072 -0.12506 0.16088 -0.05128 0.05392 -1.10841 0.24645 -0.37150 -0.35795 -0.35787 -0.34961 0.10707 -0.01041 0.05862 -0.01294 -0.34944 -0.68856 1.00000 8486
-1.18956 -0.12584 0.12909 -0.29768 0.26596 -0.05128 0.33779 -0.31390 0.14112 -0.12304 -0.11252 -0.11246 0.13779 0.10707 -0.01041 -3.38599 -0.01294 0.13784 -0.39080 1.00000 8989
0.97554 1.01414 -0.16081 0.04756 1.00151 0.19247 -0.22995 -1.02896 0.14112 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.24192 1.00000 5652
-0.26732 -0.63686 1.51419 1.42850 -0.36451 -0.53878 -1.55468 0.08335 -0.17487 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 0.05583 1.00000 5593
0.73417 -0.04722 0.96659 1.08327 -0.67975 -1.02628 -0.41920 0.71895 -0.17487 -1.61380 -1.58510 -1.58488 -1.56811 0.10707 -0.01041 0.05862 -0.01294 -1.56764 3.48005 1.00000 16220
0.93231 1.44655 1.51419 1.42850 -0.57467 -0.53878 -0.32458 0.95730 -3.86146 0.12542 0.37834 0.37834 0.38149 -3.36864 -0.01041 0.05862 -0.01294 0.38148 -0.09305 1.00000 5925
1.44387 0.14933 1.35313 0.22017 1.63198 1.41122 -0.51382 -0.31390 -0.59620 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.24192 1.00000 12245
0.29467 -1.69822 -0.96610 -1.41970 0.79135 -1.02628 2.04100 -1.02896 -0.38554 -0.86842 -0.84881 -0.84867 -0.83701 0.10707 -0.01041 0.05862 -0.01294 -0.83672 -0.83744 1.00000 5315
-0.75006 -0.55824 0.74111 0.73803 1.21166 -0.78253 -0.89232 -2.30016 1.51042 -1.86226 -1.33967 -1.33947 -1.32441 -3.36864 -0.01041 0.05862 -0.01294 -1.32400 -0.53968 1.00000 4001
-0.83291 0.18864 0.86996 1.77374 0.68627 -1.75753 -0.98694 -0.31390 -0.17487 -1.36534 -1.33967 -1.33947 -1.32441 0.10707 -0.01041 0.05862 -0.01294 -1.32400 0.35359 1.00000 5918
-0.73565 -1.06927 -0.03197 -0.81554 -1.73053 -0.05128 0.90552 0.79840 -0.06954 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.98632 1.00000 548
-0.59875 -1.50168 -0.64399 -0.72923 -0.57467 0.92372 0.52703 -0.55225 0.03579 0.62234 0.37834 0.37834 0.38149 1.26564 -0.01041 0.05862 -0.01294 0.38148 -0.83744 1.00000 9647
-0.55192 0.11002 0.96659 0.82434 0.89643 1.41122 -1.74392 -1.26731 0.56244 0.37388 0.37834 0.37834 0.38149 0.10707 -0.01041 0.05862 -0.01294 0.38148 -0.53968 1.00000 10797
0.75939 -1.97339 -1.15937 -0.03875 0.05580 -0.29503 0.24316 -1.58511 -0.06954 -1.36534 -1.33967 -1.33947 -1.32441 0.10707 -0.01041 0.05862 -0.01294 -1.32400 0.20471 1.00000 13531
0.02088 0.18864 0.67669 1.25588 1.10658 -0.29503 -1.64930 -0.15500 0.98377 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.53968 1.00000 15511
0.46399 0.50312 0.93438 -3.23219 -0.78482 -0.05128 3.93347 1.91070 -0.06954 1.11926 1.11463 1.11455 1.11258 -1.05150 -0.01041 0.05862 -0.01294 1.11240 0.05583 1.00000 4340
0.72697 0.11002 -1.48149 0.22017 0.37104 -2.00128 0.81090 -1.42621 0.03579 -1.86226 -2.07596 -2.07568 -2.05551 1.26564 -0.01041 0.05862 -0.01294 -2.05491 0.05583 1.00000 7587
-0.72484 0.22795 -0.41851 -0.12506 -0.57467 1.16747 -0.22995 0.24225 0.03579 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.83744 1.00000 8014
-0.48347 0.38519 -0.90168 -0.29768 0.68627 -0.29503 0.52703 -1.26731 -0.17487 -0.61996 -0.60338 -0.60327 -0.59331 0.10707 -0.01041 0.05862 -0.01294 -0.59308 -0.24192 1.00000 12046
-1.78037 -1.38375 1.51419 -0.21137 1.63198 -0.05128 0.43241 -1.82346 -0.38554 -0.86842 -0.84881 -0.84867 -0.83701 0.10707 -0.01041 0.05862 -0.01294 -0.83672 -0.53968 1.00000 6716
1.15927 -0.67617 0.64448 -0.55661 -1.41529 -0.29503 0.62165 1.99015 -0.59620 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.53968 1.00000 8955
-0.85092 0.18864 0.90217 -0.55661 0.58119 1.41122 -0.32458 -0.07555 1.61576 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.09305 1.00000 6972
-1.32285 0.07071 1.28871 2.11898 -0.36451 -2.00128 -1.27081 -1.10841 -0.49087 -1.36534 -1.33967 -1.33947 -1.32441 0.10707 -0.01041 0.05862 -0.01294 -1.32400 -0.53968 1.00000 15244
0.81703 -1.65891 0.22573 -1.33339 0.47612 -0.05128 1.47326 0.08335 -0.17487 -0.37150 -0.35795 -0.35787 -0.34961 0.10707 -0.01041 0.05862 -0.01294 -0.34944 0.65135 1.00000 9903
0.42076 1.25000 -0.28966 -0.72923 -0.78482 0.43622 0.52703 0.24225 -0.06954 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.53968 1.00000 14415
1.50151 -1.54099 1.61082 -0.81554 -0.25943 -0.05128 1.00015 0.87785 -0.28020 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.24192 1.00000 14211
-1.25801 1.09276 -1.19158 0.39279 0.47612 1.41122 -0.98694 -0.63170 0.03579 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.39080 1.00000 9056
0.12895 0.77828 1.64303 1.34219 -0.25943 0.19247 -1.83855 -1.10841 0.14112 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.24192 1.00000 14404
-0.50869 0.14933 0.58005 -1.07446 -0.46959 0.92372 0.52703 0.56005 1.51042 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.39080 1.00000 850
0.06051 2.38998 -0.48293 1.08327 -0.57467 -0.53878 -0.32458 0.16280 -0.59620 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 0.05583 1.00000 3563
0.44958 0.34588 -0.61178 -0.03875 -0.99498 -0.05128 -0.13533 0.79840 0.03579 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.24192 1.00000 1522
1.10883 2.50791 1.15986 0.30648 0.47612 -0.05128 -0.51382 -0.55225 0.35178 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.09305 1.00000 3486
1.66722 1.13207 1.86852 3.41361 0.37104 -1.75753 -1.36543 -1.42621 -3.12414 -1.61380 -1.33967 -1.33947 -1.32441 -2.21007 -0.01041 0.05862 -0.01294 -1.32400 0.20471 1.00000 6810
1.13765 -1.10858 -0.45072 -1.76494 1.31674 1.16747 1.56789 0.24225 -0.06954 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.53968 1.00000 3106
-1.29403 -2.09132 -2.31899 -1.59232 -1.41529 0.43622 1.56789 0.63950 0.77311 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.83744 1.00000 14771
0.87467 0.14933 -0.03197 -1.93756 0.58119 1.16747 1.85176 -0.55225 0.24645 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.39080 1.00000 3031
-0.58074 -0.55824 -1.28822 0.13387 0.58119 0.19247 -0.22995 -1.34676 -0.59620 -0.37150 -0.35795 -0.35787 -0.59331 -1.05150 -0.01041 1.78093 -0.01294 -0.59308 -0.24192 1.00000 1082
1.26374 -1.46237 1.38534 -1.07446 -0.67975 -1.51378 1.85176 1.75180 -0.17487 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 0.20471 1.00000 12284
0.69094 -1.06927 1.64303 -0.12506 0.68627 -0.05128 0.14854 0.16280 -0.06954 -0.12304 0.13291 0.13294 0.13779 -2.21007 -0.01041 0.05862 -0.01294 0.13784 0.20471 1.00000 8981
-0.13043 -0.63686 1.67525 0.04756 0.26596 -0.05128 -0.13533 -0.23445 -0.17487 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 0.20471 1.00000 10510
-0.53391 2.11481 1.09544 1.51481 0.68627 -0.05128 -1.83855 -0.15500 -0.06954 -0.12304 -0.11252 -0.11246 0.13779 -2.21007 -0.01041 -3.38599 -0.01294 0.13784 -0.09305 1.00000 12632
-1.33366 1.44655 1.77188 0.56541 -0.15435 -0.05128 -0.60845 0.71895 -0.17487 -0.12304 -0.11252 -0.11246 0.38149 0.10707 -0.01041 -5.10830 -0.01294 0.38148 0.50247 1.00000 2004
0.53604 -0.24377 -0.86947 -0.81554 -0.78482 -1.02628 1.56789 0.40115 -0.80686 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.53968 1.00000 5108
0.07131 0.46381 0.54784 -0.72923 0.05580 -0.53878 1.00015 0.63950 0.03579 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.53968 1.00000 7663
-0.22049 -0.99065 0.16130 -0.81554 0.47612 -1.02628 0.52703 -0.39335 0.66778 -0.37150 -0.60338 -0.60327 -0.59331 1.26564 -0.01041 0.05862 -0.01294 -0.59308 -0.83744 1.00000 15873
-0.04036 -0.36170 -0.86947 0.39279 -0.36451 0.92372 -0.79769 0.32170 -0.06954 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.68856 1.00000 12491
0.66212 -0.24377 -0.96610 -1.59232 -0.57467 0.92372 1.37864 1.11620 0.56244 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.98632 1.00000 3346
-0.69602 0.73897 -0.54735 0.13387 -0.78482 -0.05128 -0.22995 0.24225 0.03579 0.62234 0.13291 0.13294 -0.10591 2.42421 -0.01041 1.78093 -0.01294 -0.10580 -0.39080 1.00000 4868
-0.36099 0.18864 0.51563 -0.29768 0.58119 1.41122 0.43241 -0.15500 -0.38554 0.37388 0.62377 0.62374 0.62518 -1.05150 -0.01041 -1.66368 -0.01294 0.62512 0.65135 1.00000 9360
0.35231 0.03140 -1.25601 0.22017 0.26596 0.92372 -0.51382 -0.31390 0.14112 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 1.24686 1.00000 4251
-0.22769 0.07071 -0.51514 -0.21137 -0.57467 -0.53878 0.43241 1.91070 -0.06954 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.24192 1.00000 14508
-1.65788 -1.10858 0.35457 1.16958 -0.57467 -1.02628 -0.98694 0.63950 0.45711 -0.37150 -0.11252 -0.11246 -0.10591 -2.21007 -0.01041 0.05862 -0.01294 -0.10580 -0.68856 1.00000 5049
-0.49068 -1.14789 0.00024 -0.12506 1.84213 0.92372 -0.22995 -0.94951 0.03579 0.12542 0.13291 0.13294 0.13779 0.10707 -0.01041 0.05862 -0.01294 0.13784 -0.83744 1.00000 2524
-0.01875 2.46860 0.90217 -0.47030 0.89643 0.19247 0.52703 -1.34676 -0.28020 -0.37150 -0.35795 -0.35787 -0.34961 0.10707 -0.01041 0.05862 -0.01294 -0.34944 -0.68856 1.00000 13151
0.48560 -0.95134 -0.64399 -1.33339 -1.20514 0.92372 1.18939 0.79840 0.24645 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.68856 1.00000 7146
-0.23130 0.22795 1.03101 0.39279 1.42182 0.67997 -0.79769 -0.79060 0.14112 0.37388 0.37834 0.37834 0.38149 0.10707 -0.01041 0.05862 -0.01294 0.38148 -0.53968 1.00000 1514
-1.62186 2.31136 0.90217 1.68743 1.31674 1.41122 -2.40629 -0.55225 0.14112 0.37388 0.62377 0.62374 0.62518 -2.21007 -0.01041 0.05862 -0.01294 0.62512 0.35359 1.00000 10344
-0.85813 -1.22651 0.96659 0.04756 0.05580 1.16747 -0.70307 -0.31390 0.03579 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.68856 1.00000 12347
-0.56993 -0.04722 -0.96610 -1.93756 -0.99498 0.92372 1.66251 1.19565 0.66778 1.36772 1.36006 1.35995 1.35628 0.10707 -0.01041 0.05862 -0.01294 1.35604 -0.98632 1.00000 7777
-1.26521 0.26726 0.96659 2.80945 -0.78482 0.92372 -3.82563 0.71895 0.14112 1.36772 1.36006 1.35995 1.35628 0.10707 -0.01041 0.05862 -0.01294 1.35604 -1.13520 1.00000 2009
-1.14993 0.66035 0.77332 -0.21137 -0.78482 0.92372 -0.22995 -0.31390 0.03579 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.53968 1.00000 13467
-0.60235 0.89621 -1.09495 0.82434 -1.31021 -2.73253 1.18939 1.35455 -0.49087 -1.36534 -1.33967 -1.33947 -1.32441 0.10707 -0.01041 0.05862 -0.01294 -1.32400 0.94911 1.00000 14439
-0.14844 -0.91203 0.58005 0.13387 -0.04928 -1.02628 0.24316 -0.71115 0.24645 -0.86842 -0.84881 -0.84867 -0.83701 0.10707 -0.01041 0.05862 -0.01294 -0.83672 -0.53968 1.00000 4466
-0.24210 -1.77684 -1.22379 0.73803 1.31674 1.41122 -1.27081 0.24225 -0.06954 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.09305 1.00000 438
1.52672 -0.04722 0.29015 -1.76494 -0.04928 1.16747 1.66251 0.08335 -0.06954 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 -0.39080 1.00000 4396
0.21541 1.05345 0.99880 -0.29768 -0.88990 -0.78253 0.52703 1.43400 0.14112 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.39080 1.00000 13660
0.41355 0.77828 -0.96610 0.73803 0.16088 -0.29503 -0.98694 -0.23445 0.03579 -0.12304 -0.11252 -0.11246 -0.10591 0.10707 -0.01041 0.05862 -0.01294 -0.10580 -0.09305 1.00000 2837
-1.78397 -0.24377 1.54640 1.16958 0.58119 -2.24503 -0.32458 -0.94951 2.14241 -2.11072 -2.07596 -2.07568 -2.05551 0.10707 -0.01041 0.05862 -0.01294 -2.05491 0.50247 1.00000 7691
0.65132 0.03140 -0.32187 -1.33339 0.68627 1.16747 1.18939 -0.55225 -0.06954 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.24192 1.00000 15359
-0.82571 -0.67617 -0.38629 -0.29768 -0.78482 0.92372 -0.13533 0.56005 -0.06954 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.68856 1.00000 12480
0.78461 0.07071 -0.54735 -1.24708 0.37104 1.16747 0.90552 0.32170 -0.06954 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 1.09798 1.00000 3259
-0.33577 0.81759 -0.99831 -1.16077 1.31674 1.16747 1.09477 -0.63170 -1.22818 0.37388 0.37834 0.37834 0.38149 0.10707 -0.01041 0.05862 -0.01294 0.38148 0.20471 1.00000 11901
1.93380 -1.65891 2.38390 0.47910 0.68627 -0.05128 0.33779 -0.23445 -1.75484 -0.61996 -0.35795 -0.35787 -0.34961 -2.21007 -0.01041 0.05862 -0.01294 -0.34944 1.39574 1.00000 15632
-0.83291 -0.40101 0.99880 0.56541 0.05580 -0.29503 -0.51382 0.24225 -0.17487 -0.86842 -0.84881 -0.84867 -0.59331 0.10707 -0.01041 -3.38599 -0.01294 -0.59308 1.54462 1.00000 1537
0.96834 -0.44032 1.61082 1.42850 0.68627 -0.05128 -1.93317 -0.23445 -1.12285 0.12542 0.13291 0.13294 0.13779 -2.21007 -0.01041 0.05862 -0.01294 0.13784 0.05583 1.00000 10683
-0.43664 -1.54099 0.83775 -0.72923 0.79135 1.41122 0.62165 0.08335 -0.49087 1.11926 1.11463 1.11455 1.11258 0.10707 -0.01041 0.05862 -0.01294 1.11240 -0.53968 1.00000 6952
0.21541 0.26726 1.32092 -0.29768 -0.57467 -0.29503 0.43241 1.03675 -0.59620 0.62234 0.62377 0.62374 0.62518 0.10707 -0.01041 0.05862 -0.01294 0.62512 -0.39080 1.00000 1864
-0.52670 -0.20446 -1.25601 -0.38399 0.16088 0.92372 -0.04071 -1.10841 0.24645 0.62234 0.62377 0.62374 0.13779 0.10707 -0.01041 3.50324 -0.01294 0.13784 -0.83744 1.00000 7581
0.11094 0.14933 0.25794 0.56541 0.05580 0.19247 -0.89232 0.00390 -0.06954 0.37388 0.37834 0.37834 0.38149 0.10707 -0.01041 0.05862 -0.01294 0.38148 -0.09305 1.00000 10629
1.02237 0.50312 0.70890 0.30648 -0.88990 -0.05128 -0.51382 1.03675 -1.33352 0.87080 0.86920 0.86915 0.86888 0.10707 -0.01041 0.05862 -0.01294 0.86876 0.05583 1.00000 1924
-0.98422 0.03140 -0.83726 0.56541 1.73705 0.19247 -0.70307 -1.10841 -0.06954 -1.11688 -1.09424 -1.09407 -1.08071 0.10707 -0.01041 0.05862 -0.01294 -1.08036 0.94911 1.00000 10866
