Cylinders Displacement Horse_power Weight Acceleration Model_year Origin Y outlier number
-0.86401 -0.70244 0.19590 -0.05256 -0.37793 -1.08169 0.52638 -0.69864 1.00000 234
0.30997 -0.30056 0.74217 0.50973 0.09388 0.54917 0.52638 -0.92955 1.00000 73
-0.86401 -0.83639 -0.84463 -0.81053 0.52940 1.09279 1.76941 1.14869 1.00000 367
-0.86401 -0.41538 -0.53247 -0.40384 0.31164 1.36460 -0.71664 0.40463 1.00000 391
1.48395 1.49830 1.26244 1.38676 -0.74086 -1.35350 -0.71664 -1.21178 1.00000 174
-0.86401 -0.93208 -0.76659 -0.95080 0.16647 -0.26626 1.76941 0.71251 1.00000 237
1.48395 1.18254 0.79420 1.00483 -0.12388 0.82098 -0.71664 -0.67298 1.00000 245
1.48395 1.48873 1.57459 1.45160 -1.28526 -1.35350 -0.71664 -1.21178 1.00000 226
-0.86401 -0.98949 -0.89666 -1.20542 1.79966 -1.35350 -0.71664 0.32765 1.00000 95
-0.86401 -0.75028 -0.76659 -0.96613 -0.01500 -0.80988 0.52638 0.07108 1.00000 85
-0.86401 -0.93208 -1.36490 -0.99913 3.28768 1.63641 0.52638 2.63681 1.00000 320
1.48395 1.49830 1.15838 1.60013 -0.37793 0.27736 -0.71664 -0.95521 1.00000 388
0.30997 0.53189 -0.42842 0.38242 -0.01500 -1.35350 -0.71664 -0.57035 1.00000 370
1.48395 1.96715 1.62662 2.27322 -1.10379 -0.80988 -0.71664 -1.46836 1.00000 243
-0.86401 -1.20956 -1.44294 -1.30916 1.43673 -0.80988 0.52638 0.71251 1.00000 157
1.48395 1.48873 1.18440 2.02921 -0.37793 -0.53807 -0.71664 -1.34007 1.00000 289
1.48395 1.02945 0.92426 1.95730 0.16647 -0.53807 -0.71664 -1.21178 1.00000 373
-0.86401 -0.57805 -0.22032 -0.32486 -0.74086 -0.26626 1.76941 0.07108 1.00000 32
1.48395 1.02945 0.66413 1.55297 -0.23276 0.27736 -0.71664 -1.08350 1.00000 385
-0.86401 -0.99906 -1.46895 -1.05218 2.23517 1.09279 0.52638 2.67530 1.00000 55
-0.86401 -1.03733 -1.05274 -1.29973 0.31164 1.36460 -0.71664 1.99538 1.00000 42
-0.86401 -0.52064 -0.40241 -0.26238 0.09388 0.27736 -0.71664 0.26351 1.00000 253
-0.86401 -0.82683 -0.29836 -0.69147 -0.01500 -0.53807 1.76941 0.32765 1.00000 25
0.30997 0.35966 -0.37639 0.27515 0.52940 -0.26626 -0.71664 -0.57035 1.00000 122
0.30997 0.29268 0.01380 0.54392 -0.01500 -1.35350 -0.71664 -0.95521 1.00000 223
0.30997 -0.37711 0.06583 -0.59598 -0.55940 -0.80988 -0.71664 -0.31378 1.00000 2
0.30997 0.05347 -0.50646 0.01464 0.96492 0.82098 -0.71664 -0.46772 1.00000 369
1.48395 1.02945 0.89825 0.26808 -1.57560 0.54917 -0.71664 -0.68581 1.00000 72
-0.86401 -0.98949 -1.15679 -1.38814 0.31164 0.54917 1.76941 1.62335 1.00000 199
-0.86401 -1.10431 -0.97470 -1.15238 0.16647 -0.53807 0.52638 0.96909 1.00000 44
1.48395 1.96715 1.83473 1.75219 -1.46672 -1.35350 -0.71664 -1.21178 1.00000 56
-0.86401 -0.85553 -0.76659 -0.88125 -0.37793 0.54917 -0.71664 0.95626 1.00000 382
1.48395 1.48873 1.96479 0.80915 -1.64819 -0.80988 -0.71664 -1.59664 1.00000 218
0.30997 0.60844 -0.24633 0.25393 0.81974 0.00555 -0.71664 -0.76278 1.00000 5
-1.45100 -1.19043 -0.19430 -0.76337 -0.74086 -1.08169 1.76941 -0.57035 1.00000 312
0.30997 0.53189 -0.11626 0.42250 0.52940 -0.53807 -0.71664 -1.08350 1.00000 300
-0.86401 -1.03733 -1.02672 -1.02271 0.85604 1.09279 1.76941 2.97036 1.00000 390
-0.86401 -0.41538 -0.37639 -0.28596 0.89233 1.63641 -0.71664 0.45594 1.00000 337
1.48395 1.49830 0.97629 1.26888 -0.45052 0.82098 -0.71664 -1.01935 1.00000 267
-0.86401 -0.94165 -0.92267 -0.92959 0.89233 -1.08169 0.52638 0.32765 1.00000 284
1.48395 1.48873 0.53407 1.08735 0.67457 0.82098 -0.71664 -0.05721 1.00000 275
1.48395 1.04858 1.18440 1.50818 -0.01500 -0.53807 -0.71664 -1.21178 1.00000 307
-0.86401 -0.52064 -0.42842 -0.12682 0.92862 1.09279 -0.71664 0.37897 1.00000 30
0.30997 0.05347 -0.50646 0.10894 0.42052 0.54917 -0.71664 -0.33944 1.00000 91
-0.86401 -0.79812 -0.63653 -0.96966 -0.26905 0.27736 -0.71664 0.84080 1.00000 321
1.48395 2.34989 2.87525 2.07165 -1.64819 -0.80988 -0.71664 -1.34007 1.00000 202
1.48395 2.49342 3.13539 2.32627 -1.64819 -0.80988 -0.71664 -1.46836 1.00000 80
-0.86401 -0.93208 -0.68855 -1.22311 -0.37793 0.27736 0.52638 0.71251 1.00000 313
-0.86401 -0.80769 -0.45443 -0.36022 0.71086 -1.62532 0.52638 0.19937 1.00000 350
1.48395 1.02945 0.63812 0.88106 -0.77715 0.82098 -0.71664 -0.74995 1.00000 104
-0.86401 -0.93208 -1.31287 -0.85296 2.88845 -1.08169 0.52638 -0.05721 1.00000 263
-0.86401 -1.13302 -1.36490 -1.56614 0.34793 -0.53807 1.76941 0.96909 1.00000 193
0.30997 -0.30056 0.53407 0.19146 -0.70457 0.54917 0.52638 -0.82693 1.00000 107
-0.86401 -0.41538 -0.37639 -0.03252 0.63828 1.63641 -0.71664 0.45594 1.00000 248
-0.86401 -0.82683 -0.27234 -0.70561 0.34793 -0.80988 1.76941 -0.18549 1.00000 189
-0.86401 -0.85553 -0.79261 -0.92841 -0.48681 1.36460 0.52638 1.22566 1.00000 327
1.48395 1.48873 1.31446 1.62960 -0.23276 0.82098 -0.71664 -0.83975 1.00000 188
1.48395 1.49830 1.39250 1.63313 -0.92233 -0.80988 -0.71664 -1.34007 1.00000 103
0.30997 0.35009 0.27393 0.31523 -0.05129 0.82098 -0.71664 -0.24964 1.00000 134
-0.86401 -0.52064 -0.84463 -0.67143 1.25526 -1.35350 -0.71664 -0.18549 1.00000 379
-0.86401 -1.04690 -0.89666 -1.06986 1.11009 0.54917 1.76941 2.04670 1.00000 221
0.30997 -0.25272 0.71616 -0.07967 -1.50302 1.09279 1.76941 1.18717 1.00000 88
-0.86401 -0.93208 -0.97470 -1.17006 0.31164 0.27736 1.76941 0.84080 1.00000 124
-0.86401 -0.71201 -0.19430 -0.57594 -0.19646 -0.53807 1.76941 0.07108 1.00000 360
1.48395 1.48873 1.57459 0.84333 -1.46672 -1.62532 -0.71664 -1.08350 1.00000 57
0.30997 0.29268 -0.50646 0.57457 0.38423 1.36460 -0.71664 -0.74995 1.00000 149
1.48395 1.02945 0.63812 0.22564 -1.28526 -0.26626 -0.71664 -1.34007 1.00000 168
-0.86401 -0.99906 -1.46895 -1.17006 2.16259 0.54917 0.52638 2.52136 1.00000 239
-1.45100 -1.19043 -0.11626 -0.65728 -1.10379 1.09279 1.76941 0.03260 1.00000 364
0.30997 -0.22402 -0.19430 0.00756 -0.37793 -0.26626 -0.71664 -0.69864 1.00000 279
0.30997 0.53189 -0.11626 0.94707 0.52940 -0.53807 -0.71664 -0.95521 1.00000 143
0.30997 0.35009 0.14387 0.51563 0.09388 1.36460 -0.71664 -0.13418 1.00000 371
1.48395 1.49830 1.13237 1.97970 -0.74086 -0.26626 -0.71664 -1.21178 1.00000 228
-0.86401 -0.69287 -0.50646 -0.78695 1.07380 -0.80988 -0.71664 -0.57035 1.00000 296
0.30997 0.53189 -0.42842 0.05118 0.34793 -0.80988 -0.71664 -0.69864 1.00000 184
1.48395 1.02945 0.92426 1.55179 0.16647 -1.08169 -0.71664 -1.34007 1.00000 127
-0.86401 -0.72157 -0.32437 -0.64078 -0.19646 1.09279 1.76941 1.73881 1.00000 181
0.30997 0.35009 0.01380 0.65708 1.32785 0.54917 -0.71664 -0.54469 1.00000 37
-0.86401 -0.78855 -0.42842 -0.39795 1.11009 1.63641 -0.71664 0.45594 1.00000 224
1.48395 1.04858 1.18440 1.07792 -1.10379 -1.08169 -0.71664 -1.08350 1.00000 283
-0.86401 -0.78855 -0.50646 -0.47457 0.23905 1.63641 -0.71664 0.96909 1.00000 148
-0.86401 -1.04690 -0.89666 -1.16417 0.52940 0.00555 1.76941 1.09737 1.00000 332
1.48395 1.48873 1.05433 1.27006 -1.28526 0.00555 -0.71664 -1.34007 1.00000 97
-0.86401 -0.75028 -0.76659 -0.86239 -0.55940 -0.53807 0.52638 0.32765 1.00000 205
-0.86401 -0.52064 -0.32437 -0.13271 0.31164 1.63641 -0.71664 0.07108 1.00000 100
-0.86401 -0.70244 -0.63653 -0.36258 -0.19646 0.82098 -0.71664 0.50726 1.00000 132
0.30997 0.35966 -0.11626 -0.22230 -0.19646 -0.80988 -0.71664 -0.69864 1.00000 79
-0.86401 -0.93208 -1.15679 -1.34806 1.25526 -1.35350 0.52638 0.45594 1.00000 112
1.48395 1.58442 1.18440 1.13450 -0.92233 0.82098 -0.71664 -0.63450 1.00000 64
0.30997 0.29268 0.01380 0.74903 0.34793 -0.53807 -0.71664 -0.69864 1.00000 18
-0.86401 -1.04690 -1.02672 -1.18185 1.40043 1.36460 1.76941 1.73881 1.00000 257
-0.86401 -0.82683 -0.76659 -0.84000 -0.12388 1.09279 1.76941 1.12303 1.00000 348
1.48395 1.18254 1.18440 1.42920 -0.92233 0.00555 -0.71664 -0.95521 1.00000 220
1.48395 1.87147 2.22492 1.02841 -2.55552 -1.62532 -0.71664 -1.08350 1.00000 106
1.48395 1.05815 1.05433 0.52741 -0.84974 0.54917 -0.71664 -0.54469 1.00000 209
1.48395 1.18254 1.18440 0.94235 -1.10379 -0.80988 -0.71664 -1.08350 1.00000 96
1.48395 1.18254 1.18440 1.13450 -0.84974 0.00555 -0.71664 -1.34007 1.00000 266
0.30997 0.03433 -0.24633 -0.17044 -0.01500 -1.62532 -0.71664 -0.18549 1.00000 229
-0.86401 -1.11388 -1.36490 -1.17006 1.40043 0.54917 1.76941 1.20000 1.00000 196
0.30997 0.29268 -0.11626 0.76907 0.78345 0.27736 -0.71664 -0.57035 1.00000 94
-0.86401 -0.52064 -0.37639 -0.67143 1.43673 -1.08169 -0.71664 -0.44207 1.00000 299
0.30997 0.29268 0.14387 0.45079 0.38423 0.82098 -0.71664 -0.36509 1.00000 87
-0.86401 -0.92251 -1.02672 -0.70443 1.87224 1.36460 -0.71664 0.82797 1.00000 137
-0.86401 -0.93208 -0.42842 -0.99913 -0.37793 -1.62532 1.76941 0.45594 1.00000 165
-0.86401 -0.92729 -0.63653 -1.00385 0.52940 -1.08169 -0.71664 0.19937 1.00000 51
-0.86401 -0.99906 -0.89666 -1.22664 -0.48681 0.00555 0.52638 0.71251 1.00000 160
0.30997 0.53189 -0.16829 0.64530 1.25526 0.27736 -0.71664 -0.63450 1.00000 208
1.48395 1.04858 1.18440 0.53685 -1.28526 -1.62532 -0.71664 -0.95521 1.00000 102
0.30997 0.35966 -0.11626 -0.40502 -0.92233 -1.35350 -0.71664 -0.57035 1.00000 77
0.30997 0.29268 0.14387 0.75728 1.14638 0.54917 -0.71664 -0.62167 1.00000 177
-0.86401 -0.70244 0.14387 -0.37437 -0.55940 -0.80988 0.52638 0.07108 1.00000 43
-0.86401 -0.70244 -0.74058 -0.55001 0.89233 -1.08169 0.52638 -0.18549 1.00000 240
1.48395 1.18254 1.18440 0.54038 -1.64819 -1.62532 -0.71664 -0.69864 1.00000 154
-0.86401 -0.92251 -0.94869 -0.96966 0.34793 0.54917 -0.71664 0.84080 1.00000 191
-0.86401 -0.93208 -1.52098 -1.21132 1.98112 -0.80988 0.52638 0.32765 1.00000 291
0.30997 0.05347 -0.61051 0.04057 0.74716 0.00555 -0.71664 0.07108 1.00000 109
1.48395 2.49342 3.13539 1.70622 -2.01112 -1.62532 -0.71664 -1.21178 1.00000 315
1.48395 1.18254 1.18440 1.48460 -0.37793 -0.80988 -0.71664 -1.21178 1.00000 81
-0.86401 -0.56848 -0.53247 -0.71622 -0.92233 1.63641 -0.71664 1.61052 1.00000 4
-0.86401 -0.93208 -0.87065 -1.35867 -1.21267 0.00555 0.52638 0.77666 1.00000 330
0.30997 -0.20488 0.14387 -0.29775 -1.06750 1.36460 -0.71664 0.00694 1.00000 238
0.30997 0.29268 -0.11626 0.79382 0.78345 0.00555 -0.71664 -0.44207 1.00000 14
1.48395 1.58442 1.83473 0.99422 -1.64819 -0.80988 -0.71664 -1.34007 1.00000 331
-0.86401 -0.92251 -1.15679 -0.95906 2.38035 0.00555 -0.71664 0.13522 1.00000 59
1.48395 1.48873 1.05433 1.30189 -0.92233 -0.80988 -0.71664 -1.08350 1.00000 298
-0.86401 -0.70244 -0.16829 -0.03841 -0.37793 -0.26626 0.52638 -0.18549 1.00000 384
0.30997 0.53189 -0.11626 0.35885 -0.19646 -1.35350 -0.71664 -0.57035 1.00000 366
-0.86401 -0.98949 -1.33888 -1.39403 0.71086 -0.26626 1.76941 1.22566 1.00000 247
1.48395 1.96715 1.70466 2.08461 -1.28526 -1.35350 -0.71664 -1.34007 1.00000 338
1.48395 0.62757 0.14387 1.27595 1.25526 0.27736 -0.71664 -0.82693 1.00000 128
-0.86401 -0.41538 -0.37639 -0.49696 -0.84974 0.82098 -0.71664 1.28980 1.00000 361
-0.86401 -0.98949 -0.97470 -1.19364 0.05759 1.63641 1.76941 1.09737 1.00000 347
-0.86401 -0.69287 -0.48045 -0.88597 0.34793 -1.08169 -0.71664 -0.31378 1.00000 282
1.48395 1.18254 1.18440 1.74394 -0.74086 -0.53807 -0.71664 -1.21178 1.00000 75
-0.86401 -0.41538 -0.37639 -0.35315 0.34793 1.09279 -0.71664 0.58423 1.00000 76
-0.86401 -0.52064 -0.32437 -0.47810 -0.23276 0.00555 -0.71664 0.19937 1.00000 377
1.48395 1.18254 1.18440 1.79227 -0.37793 -0.26626 -0.71664 -0.95521 1.00000 375
-0.86401 -0.98949 -1.33888 -1.39403 0.67457 0.00555 1.76941 1.22566 1.00000 222
-0.86401 -0.85553 -1.07875 -0.89894 -0.23276 1.36460 -0.71664 1.44375 1.00000 362
0.30997 0.29268 0.01380 0.16906 0.34793 -0.80988 -0.71664 -0.69864 1.00000 187
-0.86401 -0.93208 -0.42842 -0.82349 1.25526 -0.80988 1.76941 -0.44207 1.00000 19
-0.86401 -0.92251 -0.89666 -1.01092 -0.01500 1.09279 -0.71664 1.11020 1.00000 38
-0.86401 -0.57805 -0.24633 -0.49225 -0.48681 0.54917 1.76941 0.52008 1.00000 17
1.48395 1.18254 1.18440 0.91642 -0.55940 0.00555 -0.71664 -1.34007 1.00000 53
-0.86401 -0.52064 -0.42842 -0.10324 0.63828 0.82098 -0.71664 -0.14701 1.00000 264
-0.86401 -0.72157 -0.11626 -0.42742 -0.26905 1.36460 1.76941 1.21283 1.00000 252
0.30997 0.05347 -0.42842 0.09715 0.56569 1.36460 -0.71664 -0.41641 1.00000 21
0.30997 0.53189 -0.84463 0.21267 1.43673 -0.26626 -0.71664 -1.08350 1.00000 322
-0.86401 -0.93208 -0.32437 -0.81288 0.52940 -1.08169 1.76941 0.58423 1.00000 93
1.48395 1.18254 1.18440 1.29599 -0.55940 -1.08169 -0.71664 -1.21178 1.00000 16
-0.86401 -0.93208 -0.68855 -0.79874 -0.37793 -0.53807 0.52638 0.32765 1.00000 152
0.30997 0.53189 -0.42842 0.19028 -0.37793 -1.35350 -0.71664 -0.69864 1.00000 13
0.30997 0.29268 -0.11626 0.30108 -0.05129 0.00555 -0.71664 -0.18549 1.00000 125
0.30997 0.35966 -0.37639 0.12662 0.74716 0.00555 -0.71664 -0.12135 1.00000 26
1.48395 2.24464 2.43303 2.32745 -1.46672 -0.80988 -0.71664 -1.46836 1.00000 344
0.30997 0.53189 -0.84463 0.53567 1.98112 -0.26626 -0.71664 -1.08350 1.00000 171
-0.86401 -0.92251 -0.89666 -1.00503 0.63828 1.63641 -0.71664 1.61052 1.00000 65
0.30997 0.60844 0.14387 0.77143 0.89233 -0.53807 -0.71664 -0.95521 1.00000 261
0.30997 0.35966 -0.37639 0.27397 0.60198 0.54917 -0.71664 -0.51904 1.00000 215
-0.86401 -0.92251 -0.55849 -1.06397 0.13017 0.27736 -0.71664 1.28980 1.00000 172
1.48395 1.96715 1.18440 2.38049 -0.55940 -0.80988 -0.71664 -1.59664 1.00000 273
-0.86401 -0.86510 -0.24633 -0.71033 0.71086 -1.62532 0.52638 0.19937 1.00000 192
1.48395 1.48873 1.70466 1.39973 -1.50302 0.27736 -0.71664 -1.01935 1.00000 290
-0.27702 -0.70244 -0.97470 -0.03252 1.58190 1.09279 0.52638 1.66184 1.00000 167
-1.45100 -1.19043 -0.37639 -1.00621 -0.74086 -0.80988 1.76941 -0.69864 1.00000 175
0.30997 -0.20488 0.27393 -0.32722 -0.95862 0.82098 -0.71664 0.43028 1.00000 126
-0.86401 -1.04690 -0.89666 -1.21721 0.45681 0.27736 1.76941 1.28980 1.00000 113
0.30997 -0.20488 0.27393 -0.45099 -1.53931 0.82098 -0.71664 0.68686 1.00000 11
1.48395 1.02945 0.84623 1.25474 -0.37793 -0.80988 -0.71664 -1.21178 1.00000 68
0.30997 0.35966 -0.37639 0.33881 0.96492 0.82098 -0.71664 -0.41641 1.00000 346
1.48395 0.62757 -0.37639 0.52152 2.41664 0.82098 -0.71664 0.05825 1.00000 386
-0.86401 -0.51107 -0.63653 0.29755 1.76336 1.36460 0.52638 0.59706 1.00000 235
0.30997 0.53189 0.14387 0.78675 0.23905 0.00555 -0.71664 -0.63450 1.00000 198
-1.45100 -1.09474 0.14387 -0.30364 -0.74086 0.27736 1.76941 -0.24964 1.00000 207
0.30997 0.53189 0.14387 0.63940 0.31164 0.27736 -0.71664 -0.76278 1.00000 293
0.30997 0.04390 -0.19430 -0.23999 -0.01500 -1.62532 -0.71664 -0.69864 1.00000 155
-0.86401 -0.98949 -0.97470 -1.15827 0.23905 1.63641 1.76941 1.86709 1.00000 213
1.48395 1.07729 0.66413 0.62054 -1.28526 -1.62532 -0.71664 -0.69864 1.00000 20
0.30997 0.35966 -0.11626 0.36592 -0.01500 -1.35350 -0.71664 -0.69864 1.00000 176
1.48395 1.48873 1.44453 1.74276 -0.74086 -1.08169 -0.71664 -1.46836 1.00000 227
-0.86401 -0.36754 -0.32437 -0.46278 -0.37793 1.63641 -0.71664 0.32765 1.00000 178
0.30997 0.05347 -0.24633 0.20914 0.96492 0.54917 -0.71664 -0.37792 1.00000 216
0.30997 0.35966 -0.11626 -0.07495 0.16647 -0.26626 -0.71664 -0.44207 1.00000 29
1.48395 2.24464 2.69316 1.95141 -1.64819 -1.08169 -0.71664 -1.59664 1.00000 147
0.30997 0.53189 0.01380 0.44254 -0.37793 0.00555 -0.71664 -0.18549 1.00000 236
0.30997 0.29268 -0.24633 0.33763 0.16647 -0.26626 -0.71664 -0.57035 1.00000 329
0.30997 0.53189 -0.68855 0.70306 1.98112 0.00555 -0.71664 -0.69864 1.00000 39
-0.86401 -0.98949 -0.94869 -1.18774 0.74716 1.63641 1.76941 0.96909 1.00000 305
1.48395 1.18254 1.18440 1.31839 -0.92233 -1.35350 -0.71664 -1.21178 1.00000 211
1.48395 1.96715 3.26545 1.53293 -2.19259 -0.80988 -0.71664 -0.95521 1.00000 274
0.30997 0.60844 0.40400 0.50973 -0.16017 0.54917 -0.71664 -0.68581 1.00000 156
-0.86401 -0.98949 -0.97470 -1.32920 -0.63198 1.09279 1.76941 2.71379 1.00000 359
0.30997 0.29268 -0.37639 0.47555 1.14638 1.09279 -0.71664 -0.55752 1.00000 292
-0.86401 -0.71201 -0.42842 -0.02426 0.52940 -0.26626 0.52638 -0.05721 1.00000 231
1.48395 1.18254 0.92426 1.29953 -0.66827 0.54917 -0.71664 -0.76278 1.00000 131
0.30997 -0.25272 0.40400 0.99304 0.42052 0.00555 0.52638 -0.89107 1.00000 304
1.48395 1.02945 0.66413 1.05198 -0.19646 0.00555 -0.71664 -1.34007 1.00000 194
-0.86401 -0.76942 -0.35038 -0.46632 -0.55940 -0.80988 0.52638 -0.44207 1.00000 179
-0.86401 -1.03733 -1.02672 -1.18185 -0.12388 0.82098 1.76941 1.36678 1.00000 206
-0.86401 -0.70244 0.27393 -0.36140 -0.74086 -0.26626 0.52638 0.19937 1.00000 169
-0.86401 -0.41538 -0.50646 -0.14450 0.74716 0.54917 -0.71664 0.04542 1.00000 311
0.30997 0.05347 -0.50646 -0.46042 0.16647 -1.62532 -0.71664 -0.31378 1.00000 190
-0.86401 -1.04690 -1.02672 -1.12880 1.32785 0.82098 1.76941 1.07172 1.00000 63
-0.86401 -0.75028 -0.37639 -1.00739 -0.55940 -1.35350 0.52638 0.58423 1.00000 28
1.48395 1.80449 1.96479 2.33098 -1.46672 -1.35350 -0.71664 -1.46836 1.00000 217
-0.86401 -0.98949 -0.92267 -0.99913 -0.30534 0.82098 0.52638 1.77729 1.00000 328
-0.86401 -0.93208 -0.68855 -0.93076 0.09388 1.09279 0.52638 1.39243 1.00000 250
-0.86401 -1.00863 -1.10476 -1.09344 0.63828 1.36460 1.76941 1.82861 1.00000 61
0.30997 0.60844 0.14387 0.88695 1.25526 -0.26626 -0.71664 -1.08350 1.00000 145
