Longitude Latitude HousingMedianAge TotalRooms TotalBedrooms Population Households MedianIncome Y outlier number
0.71361 -0.82956 0.58485 -0.42757 -0.50541 -0.51259 -0.50099 0.60003 0.03418 1.00000 1357
0.57884 -0.81083 0.82323 -0.14887 -0.31787 -0.33686 -0.31267 2.41993 2.29862 1.00000 17883
0.83340 -0.72656 0.26702 1.30468 1.69287 1.76657 1.61503 -0.30339 -0.02128 1.00000 11021
1.25267 -1.33520 0.18756 -0.06911 -0.24190 -0.42694 -0.13481 0.48918 0.12084 1.00000 5556
0.71860 -0.87638 1.85618 -0.19241 -0.02825 -0.42870 0.07967 0.35595 1.50914 1.00000 18574
-0.37949 -0.35669 -0.36864 -0.02098 -0.31787 -0.29359 -0.42252 0.03518 1.16423 1.00000 11914
-0.12493 0.47200 0.10810 -0.43169 -0.53627 -0.36865 -0.46699 -0.85488 -0.96068 1.00000 9271
0.57884 -0.62824 0.26702 -0.47891 -0.51728 0.34662 -0.50622 0.22436 -0.52911 1.00000 2920
-1.70717 1.58628 -1.16323 -0.48303 -0.56239 -0.50729 -0.59254 -0.22143 -0.37052 1.00000 19898
0.30931 -0.11792 0.50539 -0.19058 -0.35585 -0.45873 -0.33098 -0.14574 -0.96761 1.00000 17909
-0.59411 0.92614 0.10810 -0.83416 -0.89949 -0.78987 -0.92211 -0.32123 -1.03088 1.00000 1245
-1.25796 0.94487 0.50539 -0.66547 -0.80216 -0.75367 -0.79917 0.44407 -0.11314 1.00000 13596
1.23770 -1.27902 -1.00431 -0.29647 -0.58850 -0.53997 -0.54546 1.26374 0.41809 1.00000 5216
0.77850 -0.87170 0.26702 -0.39640 -0.57426 -0.38013 -0.59515 1.03461 0.09224 1.00000 9944
-1.44763 1.01041 1.85618 -0.11586 -0.14457 -0.38455 -0.09296 0.05165 2.39568 1.00000 7787
0.83340 -0.70315 0.66431 -0.38264 -0.27514 0.12232 -0.19497 -0.37424 -0.64004 1.00000 2323
0.58883 -0.83893 -1.00431 -0.07507 0.08096 -0.40663 0.07706 0.66657 1.22836 1.00000 10909
-1.51251 1.10873 -0.60702 -0.20066 -0.18018 -0.28741 -0.13219 0.12587 0.34443 1.00000 16504
0.69864 -0.74997 1.06160 -0.80390 -0.58375 -0.15672 -0.57161 -0.58411 -0.75270 1.00000 15079
-1.27293 2.11065 0.42594 -0.31434 -0.31075 -0.35011 -0.32313 -0.71112 -1.07941 1.00000 10012
0.77850 -0.87638 0.50539 -0.25842 -0.44844 -0.15584 -0.47745 0.06044 -0.12961 1.00000 482
-1.02836 1.92806 0.66431 -0.61413 -0.57426 -0.75631 -0.63439 -1.05753 -1.18167 1.00000 19047
0.54390 -0.75465 -0.52756 -0.63567 -0.13033 -0.28211 -0.04849 -0.70775 1.45715 1.00000 11617
-1.56243 1.27728 -1.40160 1.45824 0.80739 0.98242 0.98467 0.18441 0.17544 1.00000 9567
0.58384 -0.63292 -1.00431 1.80478 2.23651 4.18172 2.54619 -0.28439 -0.45025 1.00000 8614
0.61877 -0.74061 1.22052 -0.48670 -0.35110 -0.09049 -0.24989 -0.70654 0.16850 1.00000 7634
-0.10496 0.54691 0.42594 -0.19975 -0.10659 -0.16114 -0.17927 -1.06290 -1.21633 1.00000 5188
0.55389 -0.76870 0.66431 -0.37027 -0.18493 -0.30949 -0.12173 0.24547 1.33235 1.00000 13745
-1.31785 2.12938 0.10810 -0.86716 -0.90661 -0.89672 -0.87502 -0.88477 -1.24493 1.00000 17057
1.26265 -0.34733 0.66431 -0.34460 -0.40808 -0.32980 -0.38329 -0.36619 -1.21373 1.00000 3945
0.80844 -0.80147 -1.24268 -0.14841 0.12844 0.54089 0.15552 -0.38577 -0.60537 1.00000 14468
-1.22302 0.78100 0.26702 -0.23000 -0.49829 -0.46137 -0.46437 1.30980 1.17030 1.00000 16768
0.73357 -0.83893 0.58485 -0.02923 -0.27751 -0.09491 -0.17143 0.69110 0.11131 1.00000 11603
0.80844 -0.90447 -0.92485 1.44174 0.91659 1.02392 1.08668 0.77500 0.21703 1.00000 12654
1.25267 -1.34457 -0.36864 -0.46149 0.11657 -0.36512 -0.03018 -1.11880 -0.43379 1.00000 3836
-0.42441 -0.31456 0.18756 0.40441 0.16642 -0.03486 0.18953 -0.13132 -0.48058 1.00000 16280
0.59382 -0.80615 0.58485 0.12296 -0.05436 0.03314 0.09013 1.03524 0.71707 1.00000 18825
-0.26469 1.73142 -1.56052 0.04686 -0.06623 -0.20529 -0.22897 0.27642 -0.71110 1.00000 9972
0.89829 -0.85765 -1.00431 0.61297 -0.13033 -0.04634 -0.12435 3.12496 1.82112 1.00000 412
-0.73387 0.94955 -1.40160 -0.44819 -0.56239 -0.45254 -0.52715 0.15782 -0.38179 1.00000 14885
0.87333 -0.84829 -0.52756 0.24626 -0.39383 -0.21589 -0.37806 2.36503 2.54041 1.00000 12881
0.77850 -0.86702 -0.20973 -0.13420 -0.38196 -0.22913 -0.33098 1.12083 0.22743 1.00000 2791
0.69864 -0.81083 -1.32214 0.46629 1.08039 1.58024 0.92713 -0.52773 -0.80296 1.00000 11868
-1.22801 1.24919 -1.87835 -0.48899 -0.80453 -0.62915 -0.75994 1.47766 0.14771 1.00000 14540
0.64872 -0.83893 -0.36864 1.68101 1.75460 2.03325 1.96814 0.02739 0.01512 1.00000 8365
-0.82870 2.18088 -0.60702 0.27193 0.30648 0.06669 0.21568 -0.90446 -1.12447 1.00000 19179
-1.28291 0.84186 1.85618 -0.31710 -0.54577 -0.64417 -0.54023 2.31381 2.54041 1.00000 18336
0.18952 -0.63292 -0.05081 0.27285 -0.03299 0.21151 0.10583 0.51987 0.15031 1.00000 6392
-0.81872 1.45987 -1.40160 0.87838 0.24001 0.51263 0.32292 0.27663 0.49868 1.00000 3070
0.73357 -0.82020 -0.84539 2.47998 1.62165 2.51716 1.90537 1.41113 0.97705 1.00000 15164
-1.25796 0.83250 -1.16323 -0.86303 -0.81877 -0.88701 -0.90641 0.19772 0.51861 1.00000 4769
-1.34780 1.06191 1.06160 -0.45186 -0.62648 -0.68920 -0.63700 0.92228 1.46061 1.00000 2891
-0.86364 1.41773 0.26702 0.12800 -0.10896 -0.11787 -0.11911 -0.29049 -0.77783 1.00000 19539
0.67368 -0.74061 0.42594 -0.69801 -0.53390 -0.43930 -0.54807 -0.37124 -0.44939 1.00000 11012
0.97815 -0.72656 -1.32214 0.82108 0.67445 0.86056 0.89836 0.44428 -0.41732 1.00000 11546
0.77850 -0.77806 0.58485 -0.54308 -0.74518 -0.72188 -0.66316 1.15494 0.72746 1.00000 2950
-0.06503 0.55159 0.26702 -0.00585 -0.02350 0.12762 -0.01972 -0.60785 -1.20333 1.00000 6267
-1.36277 0.88868 0.74377 -0.75715 -0.87100 -0.87994 -0.89595 0.76611 1.47274 1.00000 1455
0.76352 -0.79679 0.58485 -0.72919 -0.70957 -0.23001 -0.70501 -0.35413 -0.39046 1.00000 17582
-1.35778 1.01978 1.37943 0.07574 0.25188 0.35103 0.29154 -1.52148 -0.67297 1.00000 10940
-1.20305 0.76227 -0.13027 -0.13970 -0.18255 -0.21854 -0.13742 0.41833 1.15990 1.00000 6727
0.26938 -0.14133 -0.60702 0.19309 0.38008 0.17796 0.47201 -0.61185 -1.05861 1.00000 16165
-0.80874 1.51605 -0.68648 0.22105 -0.08997 -0.01808 0.05090 1.12083 0.02205 1.00000 6502
0.30432 -0.12260 0.98214 -0.53758 -0.47218 -0.31744 -0.47484 -1.11801 -1.33852 1.00000 15953
1.23770 -1.33052 0.58485 -0.50733 -0.64547 -0.65565 -0.62654 0.11977 -0.30900 1.00000 3441
-1.23799 0.80909 -0.13027 -0.00677 -0.05911 -0.32009 0.06136 0.06007 1.75786 1.00000 5117
0.69364 -0.84361 0.82323 0.45208 0.49165 -0.08431 0.38831 -0.29381 1.89478 1.00000 1993
0.69364 -0.86233 -0.13027 -0.48395 -0.06623 0.41550 -0.13481 -0.97489 -0.66604 1.00000 13202
-0.63903 1.43178 -0.84539 1.50912 1.32728 1.12282 1.56011 -0.20185 -0.56724 1.00000 6108
0.13961 0.42986 -0.60702 -0.07736 -0.04249 0.26096 0.04044 -0.69407 -1.22413 1.00000 12146
-0.95848 1.40369 -1.79889 4.38275 4.93570 3.71635 4.78515 -0.06620 -0.67210 1.00000 4138
-0.74385 1.59564 -1.16323 -0.45140 -0.61461 -0.69980 -0.62393 0.21557 -0.10448 1.00000 938
-1.28790 0.98700 1.85618 0.12021 0.04535 -0.07725 0.13198 -0.01035 -0.20240 1.00000 16092
-0.87862 1.09937 -1.48106 -0.49128 -0.33449 -0.69097 -0.39898 -0.61458 -0.49272 1.00000 194
-1.25796 0.95423 1.53835 -0.63430 -0.55289 -0.66448 -0.50099 -0.80797 -0.27606 1.00000 17770
0.26938 -0.65165 -0.28919 0.46721 0.01686 0.30953 0.11629 0.95608 0.27076 1.00000 18331
0.60879 -0.77338 1.45889 -0.05673 -0.18255 -0.30331 -0.19235 -0.02483 0.00645 1.00000 7180
-1.03335 1.70801 -0.28919 0.10141 0.29461 0.57445 0.48509 -1.08495 -1.23713 1.00000 17717
0.77351 -0.80615 0.50539 -0.59534 -0.72144 -0.64770 -0.69193 0.65525 0.05931 1.00000 1202
0.27937 -0.12728 0.58485 0.01019 0.20915 0.05698 0.07706 -1.39752 -1.29866 1.00000 10074
0.47403 -0.73592 -0.28919 0.41724 0.10944 0.09230 0.26538 1.85781 2.54041 1.00000 9937
0.72359 -0.78742 0.50539 -0.47295 -0.61224 -0.55056 -0.57423 0.99029 0.72920 1.00000 19435
0.82342 -0.91384 -0.05081 0.34894 0.14031 -0.02515 0.15814 0.49576 0.32709 1.00000 10675
0.53891 -0.61888 -0.28919 -0.73881 -0.93272 -0.94352 -0.92211 1.67869 1.29509 1.00000 1894
-1.30288 1.01978 0.10810 -1.07435 -1.18674 -1.14751 -1.17059 1.31159 2.39568 1.00000 19816
-1.38274 2.61161 -0.20973 -1.12661 -1.18199 -1.21020 -1.24121 -0.96494 -1.29433 1.00000 11578
0.69864 -0.87170 0.58485 0.13625 0.81451 0.57533 0.88528 -0.85109 -0.22147 1.00000 17868
-1.40770 0.98232 1.85618 -0.32305 -0.49591 -0.35364 -0.54023 -0.50762 -0.12874 1.00000 591
-1.01837 1.93742 -0.28919 -0.46928 -0.53390 -0.51966 -0.51407 -0.47778 -1.01701 1.00000 1109
0.70862 -0.87638 0.58485 0.12846 0.58661 -0.21412 0.65249 -0.14326 2.54041 1.00000 886
-0.94350 1.36155 0.58485 -0.37164 -0.30125 -0.17615 -0.28390 -1.23250 -1.30992 1.00000 10013
0.84837 -0.81552 -0.92485 -0.54766 -0.01875 -0.57970 -0.11388 -0.76097 -0.30466 1.00000 17370
-0.45436 -0.45969 -0.20973 -0.32214 -0.52678 -0.37484 -0.47222 0.31168 -0.62791 1.00000 13030
-1.37775 2.32602 -1.87835 1.71768 1.58605 1.35948 1.67781 -0.03178 -0.82982 1.00000 10111
0.71860 -0.69379 -0.05081 -0.69526 -0.48405 -0.60620 -0.46176 -0.67396 -0.70937 1.00000 8159
-1.20305 0.81377 0.50539 -0.75210 -0.79741 -0.71569 -0.78609 0.64404 0.09224 1.00000 17355
0.50897 -0.74997 0.50539 2.95166 3.13386 1.96084 3.20271 1.13699 2.54041 1.00000 16928
0.78349 -0.77806 0.10810 1.78965 1.07564 1.49989 1.18607 1.15573 1.43635 1.00000 16554
0.52893 -0.67038 0.50539 -0.46836 -0.54577 -0.50818 -0.44345 0.16314 0.01858 1.00000 11099
0.76851 -0.84829 -0.92485 -0.20983 -0.14457 -0.30772 -0.11127 -0.09958 0.33316 1.00000 3249
1.25267 -0.74997 -0.13027 -0.31664 -0.21816 -0.50023 -0.21328 -1.23718 -0.69897 1.00000 17186
-1.69719 1.35687 1.53835 0.59739 0.76466 -0.14877 0.18691 -0.92336 -0.93728 1.00000 5134
-0.70392 0.94487 0.90268 -1.01476 -1.12739 -1.11925 -1.14182 1.84939 -0.30033 1.00000 285
-1.26794 0.84186 0.50539 0.58180 0.06434 0.12056 0.13983 1.81197 2.22582 1.00000 11563
1.24269 -1.34925 -0.68648 -0.34368 0.11419 -0.25739 0.06659 -1.24634 -0.92602 1.00000 11026
0.71860 -0.80147 -0.05081 0.19859 0.77415 0.44729 0.87743 -0.72544 -0.25700 1.00000 3831
0.95319 -0.94193 -1.00431 1.16395 0.61984 1.14048 0.81989 1.19942 0.44148 1.00000 7438
-0.41443 1.10873 -0.92485 -0.24650 -0.39858 -0.45343 -0.38067 -0.64022 -0.81683 1.00000 19346
0.76352 -0.85765 0.34648 0.02257 -0.17068 -0.05870 -0.06157 0.60819 0.33143 1.00000 13881
0.26439 -0.14601 -0.68648 -1.19124 -1.25083 -1.22875 -1.28567 -1.40578 -1.35932 1.00000 13854
-1.17310 0.46263 1.85618 -0.02373 0.14505 -0.56116 -0.14527 -0.70765 0.68933 1.00000 16410
0.52394 -0.75465 -0.36864 2.19212 2.88935 1.13695 2.81821 0.64009 2.54041 1.00000 9190
1.18279 -1.33052 0.02865 -0.65218 -0.73568 -0.68125 -0.66316 0.38322 0.42242 1.00000 253
-0.17484 -0.55801 -0.92485 -0.22588 -0.50778 -0.31126 -0.44345 1.13773 1.69633 1.00000 7508
1.30258 -1.32584 -0.76594 0.88846 1.45785 1.43013 1.45810 -0.95047 -0.71717 1.00000 1003
-1.04832 1.66119 -0.20973 -0.23596 -0.38671 -0.26534 -0.34929 -0.24996 -0.97281 1.00000 7932
-1.54745 1.22110 0.02865 0.00378 -0.17543 -0.04722 -0.12958 0.62309 0.47615 1.00000 5490
-1.44763 0.98700 1.85618 0.48233 0.24239 0.15853 0.17645 0.57008 1.37569 1.00000 4609
-1.15813 0.78100 1.85618 -0.25888 -0.41757 -0.53025 -0.35452 0.19514 0.67547 1.00000 16777
0.60380 -0.70783 -0.20973 0.58043 0.17117 0.03755 0.34646 2.44394 2.54041 1.00000 12503
0.71361 -0.87170 1.61781 0.07162 0.36108 -0.10992 0.38831 -0.30476 0.87132 1.00000 7888
-1.33782 1.01041 1.69727 -0.91987 -0.83064 -0.60355 -0.79394 -0.64475 -0.70937 1.00000 1402
-0.42940 -0.34733 0.10810 -0.30105 -0.46505 -0.37660 -0.46961 0.60951 -0.42339 1.00000 12093
1.25766 -1.18538 -1.24268 1.32026 0.49403 0.61242 0.42493 1.21916 0.98225 1.00000 5222
-0.80375 1.68460 -1.63997 -0.24009 -0.42232 -0.56822 -0.40683 -0.08326 -0.27606 1.00000 2133
-0.40943 1.12278 -0.68648 -0.49724 -0.54339 -0.68744 -0.71024 -0.66391 -0.58718 1.00000 7407
1.24269 -1.31179 -1.71943 5.07308 4.30660 2.66728 3.54797 1.34902 0.46575 1.00000 8548
-0.93851 1.35687 0.74377 -0.40786 -0.35585 -0.25033 -0.48268 -1.10501 -1.18687 1.00000 5982
-1.39771 0.90273 -0.60702 2.08714 0.79789 0.89588 0.90620 4.11240 2.54041 1.00000 12674
1.12789 -0.68442 -0.28919 0.07299 0.13793 0.19827 0.18168 -0.45420 -1.03781 1.00000 416
-1.42267 0.93082 0.58485 -0.74202 -0.88524 -0.89937 -0.89072 0.48918 0.86612 1.00000 1403
-1.26794 1.05723 0.26702 -0.12091 -0.05198 -0.31655 -0.01972 0.23836 0.62954 1.00000 11265
0.75354 -0.80615 -0.36864 1.02873 1.20146 2.72910 1.43979 0.14108 -0.42599 1.00000 6618
1.28262 -1.29307 -0.84539 4.08342 3.42111 4.30093 3.72321 0.32621 -0.48925 1.00000 18592
0.73357 -0.81552 0.50539 -0.75256 -0.79503 -0.72717 -0.82271 -0.14958 -0.25007 1.00000 13528
-1.64728 1.39901 -0.84539 0.03907 0.04535 0.21328 0.10321 -0.35961 -0.26653 1.00000 4804
-0.12493 0.52818 1.37943 -0.20250 0.05959 -0.44283 0.11106 -1.29903 -1.19900 1.00000 19151
-2.29116 2.40561 0.50539 -0.22679 -0.23715 -0.32892 -0.17143 -0.53573 -1.05081 1.00000 19752
1.78175 -0.70783 0.26702 0.24168 0.41331 -0.05959 0.11629 -0.91888 -1.29259 1.00000 11507
-0.85366 1.46923 -1.79889 0.54238 0.02873 0.27597 0.22876 1.05335 -0.04728 1.00000 15985
0.83839 -0.82956 -0.05081 -0.56875 -0.33211 -0.18145 -0.35975 -0.29997 -0.11314 1.00000 4140
1.27264 -0.78742 -1.87835 -0.37302 -0.40570 -0.55410 -0.48791 -0.52236 -0.88095 1.00000 19161
0.69864 -0.70783 0.10810 0.33932 0.43230 0.49850 0.58972 -0.04704 0.21790 1.00000 7350
-1.24298 1.10405 -0.92485 -0.60359 -0.52678 -0.91968 -0.60300 -1.07790 -0.60104 1.00000 7894
-1.15314 0.80909 0.10810 -0.08378 0.08333 0.37046 0.07967 -0.06899 0.03331 1.00000 5116
1.29759 -1.34925 -0.05081 0.40486 0.10707 0.26008 0.23661 0.48776 -0.17294 1.00000 824
0.78349 -0.80147 -0.20973 0.08904 -0.32974 -0.19558 -0.24989 1.18784 0.71707 1.00000 17117
-0.43439 -0.30987 -0.52756 -0.46607 -0.42232 0.07376 -0.30221 -1.09306 -0.83676 1.00000 5522
1.06799 -0.79679 -1.08377 1.00856 1.97063 1.40098 1.93675 -0.88651 -0.67210 1.00000 9108
-1.16811 0.46732 1.06160 -0.83370 -0.81640 -0.91350 -0.80179 -0.89120 0.62694 1.00000 227
-1.13317 0.76695 -0.92485 0.07299 -0.13270 0.42256 0.01690 0.60424 0.38082 1.00000 11865
0.78848 -0.85765 -0.84539 -1.03264 -1.05379 -0.82872 -1.05027 0.05492 -0.38439 1.00000 12320
-1.24298 1.22578 0.58485 -0.37485 -0.51016 -0.41722 -0.52715 -0.29234 -0.93468 1.00000 20416
-1.44264 0.99637 1.85618 -0.37531 -0.21104 -0.42164 -0.31267 0.03123 1.58714 1.00000 19236
-1.11820 0.79036 -0.20973 -0.04940 -0.06385 1.10516 0.03259 0.12940 -0.36359 1.00000 16001
-0.43439 -0.45501 -0.52756 0.27285 0.02636 0.27686 0.21307 0.35321 -0.55858 1.00000 15784
-1.01338 1.93742 -0.44810 -0.17087 -0.09709 -0.25386 -0.11650 -0.80555 -1.03608 1.00000 13680
-1.30787 1.02914 -0.05081 -0.60038 -0.84014 -0.84992 -0.80963 2.28144 1.11224 1.00000 15702
-0.85366 1.39432 -0.52756 0.13854 0.19253 0.06669 0.16076 -0.59748 -0.95982 1.00000 9430
-1.28291 0.99168 0.58485 -0.89191 -1.02768 -0.99474 -1.02150 0.08455 -0.09841 1.00000 3619
-1.39771 0.91209 1.85618 -0.33726 -0.58850 -0.67154 -0.58469 0.35685 2.54041 1.00000 15922
0.67867 -0.66101 0.82323 0.17063 -0.36060 -0.16379 -0.33882 2.82961 2.54041 1.00000 1457
1.03305 -0.78274 -1.32214 2.42360 2.21277 3.03375 2.31602 0.22520 -0.58631 1.00000 6672
-1.24797 0.80441 0.50539 -0.48441 -0.77842 -0.75543 -0.79394 2.48352 2.54041 1.00000 13466
0.83839 -0.94661 -1.00431 -0.10211 0.05010 -0.67949 -0.20020 1.27964 1.24049 1.00000 12452
-1.12818 1.10405 -0.44810 -0.30518 -0.57426 -0.43312 -0.57685 0.32353 -0.52825 1.00000 5145
-1.35279 1.24450 -0.76594 -0.96480 -1.01106 -1.13603 -1.09735 -0.99126 1.02384 1.00000 2572
-0.68895 0.98232 -1.32214 0.44612 0.41331 1.08132 0.63418 -0.53384 -0.98928 1.00000 2300
0.68366 -0.73592 1.37943 -1.00055 -0.99445 -0.78810 -0.96134 -0.82882 -0.81769 1.00000 14620
0.73357 -0.86233 0.58485 0.33152 0.13793 0.08524 0.17122 0.68947 0.36869 1.00000 16839
-1.36277 1.10873 0.42594 -0.42344 -0.52440 -0.41457 -0.41468 0.29937 -0.38872 1.00000 9421
-0.43938 -0.46438 -0.92485 -0.64622 -0.61936 -0.83137 -0.72070 -0.34424 -0.81769 1.00000 6378
1.15784 -0.68911 0.18756 -0.51328 -0.71194 -0.73247 -0.63962 0.24504 -0.41125 1.00000 13742
0.68366 -0.77806 -0.05081 -0.07415 0.38957 1.24027 0.50863 -0.58779 -0.35233 1.00000 792
0.64872 -0.76402 1.53835 -0.35147 -0.18255 0.36075 -0.15312 -1.13986 -0.86189 1.00000 8363
0.68366 -0.87170 1.06160 -0.97121 -0.72381 -0.38013 -0.75209 -0.86624 -0.87142 1.00000 9366
-0.69893 1.03382 -0.05081 -0.12274 -0.25615 -0.17173 -0.25251 -0.51989 -0.56291 1.00000 14692
-1.18808 0.78100 -0.28919 1.37756 2.32435 2.08447 2.38141 -0.24996 0.52555 1.00000 4200
-1.10822 1.36155 -1.71943 -0.39365 -0.05911 2.69642 0.01167 -1.26613 0.89385 1.00000 107
0.73857 -0.69379 1.61781 -0.53575 -0.66209 -0.65123 -0.62654 0.24978 0.46142 1.00000 1310
-0.85865 0.79505 0.58485 -1.18620 -1.24846 -1.23493 -1.28567 0.06808 -1.14267 1.00000 10929
0.74855 -0.68442 0.50539 -0.22633 -0.39146 -0.38808 -0.32836 0.96560 1.03251 1.00000 3026
0.56387 -0.74061 0.26702 -0.34643 -0.24428 -0.55410 -0.21589 0.44228 2.54040 1.00000 17513
0.80345 -0.91852 -1.00431 1.14928 0.27087 0.69189 0.35954 1.65632 1.51867 1.00000 12448
1.15784 -1.33520 0.58485 -0.50824 -0.26327 -0.63180 -0.49053 -0.57110 0.73526 1.00000 9723
1.08297 -0.78742 0.26702 -0.30105 -0.11133 -0.41634 -0.14527 -0.75265 -0.77610 1.00000 11489
1.18279 -0.74529 -0.36864 -0.48074 -0.74993 -0.66183 -0.69455 1.15847 -0.28993 1.00000 8022
-1.44264 0.95891 -0.44810 0.08078 0.54863 0.49232 0.47463 -0.48920 0.19537 1.00000 2592
-0.43439 -0.44565 -1.79889 -0.20571 -0.61936 -0.64328 -0.59254 1.26216 0.87132 1.00000 18383
0.81843 -0.82956 0.50539 -0.78144 -0.84726 -0.80312 -0.85148 0.90328 -0.21107 1.00000 11763
0.65871 -0.71252 1.14106 -0.18966 0.23052 0.34574 0.27846 -0.59169 0.01771 1.00000 3449
0.80345 -0.79679 -1.08377 -0.28501 -0.28226 -0.51789 -0.28651 0.46002 -0.27260 1.00000 10322
1.16283 -0.71252 -0.44810 -0.32810 -0.19917 -0.23355 -0.37021 -0.87367 -1.15827 1.00000 64
0.63375 -0.75465 1.61781 -0.23642 -0.13033 0.08524 -0.21851 -1.06364 -0.78043 1.00000 2684
0.83340 -0.81083 -0.76594 -0.21075 -0.29413 -0.37395 -0.25513 0.58093 -0.11574 1.00000 12490
0.57385 -0.64697 0.58485 -0.55271 -0.49117 0.06757 -0.49053 -0.12711 -0.53431 1.00000 14523
-0.98344 1.85783 -1.08377 -0.80207 -0.79266 -0.75013 -0.77040 -0.90746 -1.06381 1.00000 16082
0.68865 -0.86702 0.50539 -0.51558 0.13081 -0.45166 0.10321 -1.54696 -0.16774 1.00000 20610
-0.70891 1.69865 -1.00431 -0.00906 -0.27514 -0.29624 -0.19497 -0.04157 -0.23967 1.00000 18891
0.56886 0.82782 -0.76594 -0.08057 -0.31549 -0.17703 -0.19497 0.15103 -0.56638 1.00000 14818
-0.95848 1.38496 -0.68648 -0.99597 -0.84963 -0.82961 -0.80963 -1.49458 -1.05601 1.00000 11542
0.51895 -0.55801 -0.76594 -0.61917 -0.81402 -0.68479 -0.80179 1.14178 0.09484 1.00000 12908
0.78848 -0.80147 -0.13027 1.45274 1.45785 1.48399 1.68565 0.10018 0.13731 1.00000 11445
0.63874 -0.72188 1.14106 -0.48257 0.28512 0.45523 0.29938 -0.99337 0.15724 1.00000 5488
-1.19307 1.08064 -0.20973 0.20547 -0.07810 0.11614 0.00382 0.67773 -0.10534 1.00000 19217
1.52220 -0.83893 -0.92485 0.83850 0.76228 -0.50553 -0.14265 -0.09642 -0.66257 1.00000 19625
-1.44763 1.00105 1.85618 -0.18095 -0.22528 -0.33863 -0.32052 0.15414 1.65993 1.00000 10873
-1.03335 1.03850 -0.52756 -0.29188 -0.29175 -0.40486 -0.46961 0.30931 0.40769 1.00000 6635
