Sex Length Diameter Height Whole_weight Shucked_weight Viscera_weight Shell_weight Y outlier number
1.26194 -0.82439 -0.98643 -1.06442 -0.97535 -0.87803 -0.99993 -0.99745 -0.59982 1.00000 198
-1.15435 0.63298 0.67641 0.84844 1.05186 0.85445 0.97541 0.87056 0.33077 1.00000 2387
1.26194 -0.19980 -0.33137 0.13112 -0.50831 -0.54235 -0.39319 -0.38675 -0.28962 1.00000 1639
-1.15435 0.59135 0.42446 0.13112 0.26565 0.46695 0.23637 0.10539 0.02057 1.00000 3617
0.05380 1.00774 0.92835 0.48978 0.85199 0.84769 1.33581 0.43948 0.02057 1.00000 21
-1.15435 -0.65784 -0.63370 -1.18398 -0.91620 -0.97491 -0.97256 -0.81783 0.02057 1.00000 2304
-1.15435 1.25758 1.07952 0.13112 0.88972 1.09551 1.08034 0.61909 0.02057 1.00000 4061
-1.15435 0.54971 0.67641 0.48978 0.23812 0.09972 0.03108 0.22394 2.81232 1.00000 1821
0.05380 -0.65784 -0.83526 -0.34710 -0.76223 -0.81495 -0.62129 -0.71006 -0.28962 1.00000 4145
1.26194 -2.65653 -2.59888 -1.78175 -1.60859 -1.52912 -1.54737 -1.62251 -1.84060 1.00000 2845
0.05380 -0.03325 0.17252 0.13112 -0.26256 -0.68654 0.09039 0.00840 0.95115 1.00000 3913
-1.15435 -0.44964 -0.33137 -0.58621 -0.82035 -0.86001 -0.95887 -0.63822 -0.59982 1.00000 997
0.05380 0.67462 0.87797 0.72889 0.83568 0.75982 0.60133 1.08609 1.26135 1.00000 2584
0.05380 0.92446 0.77719 0.60933 0.89890 0.91978 1.14877 0.72327 0.33077 1.00000 3046
1.26194 -1.44899 -1.59110 -1.66219 -1.32307 -1.32411 -1.20978 -1.32794 -1.22021 1.00000 1785
0.05380 -1.36571 -1.43993 -1.18398 -1.26903 -1.26778 -1.12767 -1.28483 -0.59982 1.00000 1132
-1.15435 0.88282 1.02913 2.16354 1.44853 0.91978 0.92067 2.37933 2.19193 1.00000 3733
0.05380 1.38249 1.23069 0.72889 1.47810 1.96062 1.53198 0.93881 -0.28962 1.00000 4032
-1.15435 0.79954 0.82758 0.25067 0.74696 0.45568 1.10771 0.83463 -0.28962 1.00000 1480
0.05380 0.88282 0.67641 0.37023 0.35029 0.41738 0.65151 0.18802 0.02057 1.00000 3987
-1.15435 0.71626 0.72680 0.25067 0.75716 0.90401 0.59221 0.29579 1.26135 1.00000 3381
-1.15435 0.00839 0.22291 0.60933 0.07293 0.07494 0.12688 0.09102 1.88174 1.00000 3946
0.05380 0.29987 0.12213 0.96800 1.70448 1.87501 1.54566 1.53513 -0.28962 1.00000 132
0.05380 0.63298 0.62602 0.25067 0.19019 0.01637 0.12232 0.47540 0.02057 1.00000 808
1.26194 0.29987 0.27330 -0.22755 -0.10553 -0.02418 -0.06928 -0.12092 -0.28962 1.00000 1685
1.26194 0.17495 0.12213 0.60933 0.13207 0.28897 0.35498 -0.07782 -0.59982 1.00000 3154
0.05380 1.13266 1.07952 0.72889 1.03656 1.15183 1.20351 0.85259 0.02057 1.00000 3491
0.05380 0.50807 0.42446 0.13112 0.31562 0.56382 0.56027 -0.13529 -0.28962 1.00000 1199
-1.15435 0.75790 0.87797 0.37023 0.93357 0.34078 1.02560 0.61550 0.33077 1.00000 3557
-1.15435 0.54971 0.62602 0.37023 0.70311 1.19463 0.47816 0.14850 -0.28962 1.00000 795
-1.15435 1.50741 1.53302 0.60933 1.72589 1.97188 2.08854 1.07173 0.02057 1.00000 3018
0.05380 -1.24079 -1.18798 -1.42309 -1.11505 -0.98617 -0.98625 -1.14114 -0.91001 1.00000 1564
-1.15435 0.00839 0.02135 -0.22755 0.32888 0.12225 0.56940 0.40355 1.57154 1.00000 1171
-1.15435 0.46643 0.42446 0.01156 0.37578 0.09297 0.32305 0.87056 1.26135 1.00000 2036
-1.15435 -0.49128 -0.58332 0.01156 -0.51647 -0.71132 -0.27457 -0.35083 1.57154 1.00000 3538
0.05380 0.17495 0.17252 -0.34710 -0.12388 -0.29453 -0.28370 0.15209 1.88174 1.00000 1604
1.26194 0.42479 0.37408 0.72889 -0.05556 -0.05347 -0.31107 0.08025 -0.28962 1.00000 3178
1.26194 0.92446 0.72680 1.44621 1.09469 1.19914 0.71994 1.33756 1.88174 1.00000 849
-1.15435 0.67462 0.47485 0.48978 0.56035 0.27770 1.10315 0.61909 -0.28962 1.00000 1219
-1.15435 0.46643 0.57563 0.84844 0.42065 0.18759 0.05389 1.05017 2.19193 1.00000 3014
0.05380 0.63298 0.77719 0.60933 0.63581 1.02567 0.33673 0.35326 -0.28962 1.00000 2574
0.05380 0.67462 0.72680 0.01156 0.33092 0.51426 0.49184 0.00840 -0.59982 1.00000 1421
0.05380 -0.49128 -0.58332 -0.34710 -0.70716 -0.58290 -0.68059 -0.92919 -1.22021 1.00000 2621
-1.15435 -0.07489 -0.58332 0.37023 0.19121 0.26644 0.15882 0.24549 -0.28962 1.00000 2797
1.26194 -1.44899 -1.49032 -1.30353 -1.33531 -1.30158 -1.33296 -1.28483 0.02057 1.00000 76
-1.15435 -0.03325 -0.23059 0.60933 -0.07697 0.07044 -0.00542 -0.41190 0.02057 1.00000 3521
-1.15435 -2.03194 -2.04460 -0.94487 -1.45258 -1.37367 -1.38770 -1.50037 -1.53040 1.00000 2150
-1.15435 0.46643 0.32369 0.25067 0.44410 0.71477 0.34586 0.29219 0.02057 1.00000 746
-1.15435 0.71626 0.62602 0.84844 0.78571 0.77559 0.93892 0.61909 0.02057 1.00000 1108
-1.15435 0.21659 -0.02904 0.25067 0.19325 0.23715 0.30024 0.00840 -0.91001 1.00000 3920
-1.15435 0.38315 0.47485 0.25067 0.25138 0.13577 0.31849 0.25627 -0.28962 1.00000 3881
0.05380 -0.19980 -0.12981 0.01156 -0.23095 -0.19315 -0.04191 0.00840 0.02057 1.00000 54
-1.15435 0.75790 0.62602 0.37023 0.75716 0.67196 1.27194 0.38200 -0.59982 1.00000 2644
-1.15435 0.67462 0.82758 0.37023 0.66130 0.64718 0.63783 0.40355 1.57154 1.00000 1059
1.26194 -0.03325 -0.07943 -0.22755 -0.50220 -0.56939 -0.40231 -0.42268 0.02057 1.00000 2320
1.26194 -1.90702 -1.89343 -1.66219 -1.41179 -1.36015 -1.37858 -1.46445 -1.22021 1.00000 428
-1.15435 1.63233 1.68419 1.80488 2.74154 2.66803 3.49820 2.13864 0.64096 1.00000 2255
0.05380 -0.53292 -0.48254 -0.58621 -0.72042 -0.67077 -0.68972 -0.56637 -0.59982 1.00000 832
-1.15435 0.88282 0.62602 0.37023 0.61950 1.03468 0.27743 0.34608 -0.59982 1.00000 1932
1.26194 -1.24079 -1.28876 -1.30353 -1.04673 -0.77665 -1.22803 -1.23454 -0.91001 1.00000 1044
1.26194 -0.53292 -0.43215 -0.70576 -0.77344 -0.82847 -0.71709 -0.63822 -0.59982 1.00000 2989
-1.15435 0.34151 0.47485 0.25067 0.30746 0.38134 0.22268 0.25986 -0.59982 1.00000 2862
0.05380 -0.32472 -0.18020 -0.94487 -0.55522 -0.62120 -0.59391 -0.38675 -0.28962 1.00000 2441
-1.15435 0.59135 0.62602 0.60933 0.56953 0.59536 0.47359 0.68735 -0.28962 1.00000 3351
-1.15435 1.00774 1.02913 0.60933 1.17117 0.97385 0.64695 1.54950 0.33077 1.00000 4004
1.26194 -1.36571 -1.33915 -1.54264 -1.24047 -1.17542 -1.24628 -1.24173 -0.91001 1.00000 2349
1.26194 -0.53292 -0.38176 -0.70576 -0.88153 -0.95013 -0.86763 -0.67055 -0.59982 1.00000 4002
0.05380 0.63298 0.57563 0.37023 0.43085 0.52327 0.63326 0.29579 0.33077 1.00000 549
1.26194 -1.24079 -1.23837 -1.42309 -1.22926 -1.17992 -1.28278 -1.19503 -0.91001 1.00000 3685
-1.15435 1.13266 0.77719 0.37023 0.81324 1.12930 0.85224 0.43948 -0.59982 1.00000 182
-1.15435 -0.65784 -0.53293 -0.70576 -0.78976 -0.80594 -0.70340 -0.63462 0.02057 1.00000 2131
0.05380 0.75790 1.12991 0.25067 1.04982 1.21491 0.72907 0.76279 0.02057 1.00000 2884
0.05380 0.79954 0.57563 0.01156 0.67660 1.08649 0.35498 0.48977 -0.28962 1.00000 2814
-1.15435 0.67462 0.82758 0.01156 0.29930 0.26869 0.23181 0.54725 0.02057 1.00000 2642
-1.15435 -1.32407 -1.23837 -1.30353 -1.24047 -1.23399 -1.17785 -1.21299 -0.28962 1.00000 1413
1.26194 -0.19980 -0.23059 0.37023 -0.13612 0.09071 -0.17877 -0.35083 1.26135 1.00000 1960
1.26194 -0.69948 -0.68409 -0.82532 -0.93762 -0.88029 -0.91782 -0.98667 -1.53040 1.00000 1325
0.05380 0.42479 0.22291 0.37023 -0.06780 -0.04897 0.10863 -0.13529 -0.28962 1.00000 1512
0.05380 0.42479 0.52524 0.48978 0.55933 0.80488 0.36867 0.07306 -0.28962 1.00000 732
-1.15435 1.38249 1.07952 0.96800 2.07158 2.80320 2.59948 0.73405 0.95115 1.00000 2341
-1.15435 0.42479 0.47485 0.60933 0.07802 0.07720 -0.00085 0.20957 -0.59982 1.00000 1005
-1.15435 -1.19915 -1.23837 -0.94487 -1.14666 -1.10107 -1.09117 -1.17706 0.33077 1.00000 2745
1.26194 0.00839 -0.33137 -0.46665 -0.40226 -0.24722 -0.60760 -0.35083 -0.28962 1.00000 92
1.26194 -1.99030 -1.94382 -1.66219 -1.47093 -1.38944 -1.44245 -1.52193 -1.22021 1.00000 3813
0.05380 -0.19980 -0.18020 -0.22755 -0.39411 -0.49053 -0.15596 -0.31491 1.57154 1.00000 1091
1.26194 -0.19980 -0.28098 -0.34710 -0.63170 -0.49955 -0.61216 -0.75317 -0.59982 1.00000 2964
1.26194 -1.15751 -1.28876 -0.94487 -1.12831 -1.03123 -1.09117 -1.19503 -0.59982 1.00000 3097
-1.15435 -0.15816 -0.23059 -0.70576 -0.35434 -0.18414 -0.27914 -0.38675 -0.28962 1.00000 113
-1.15435 -0.61620 -0.63370 -0.82532 -0.85094 -0.80819 -0.62129 -0.74599 -0.91001 1.00000 3893
-1.15435 1.00774 0.92835 0.84844 0.93255 0.92429 0.97998 1.05736 0.64096 1.00000 3110
-1.15435 0.63298 0.57563 0.60933 0.44614 0.47596 0.49184 0.54725 0.33077 1.00000 3525
1.26194 0.42479 0.42446 0.72889 0.20957 -0.00616 0.30936 0.15209 0.95115 1.00000 2346
-1.15435 0.00839 0.17252 1.20710 0.08822 0.46469 -0.07385 -0.28617 -0.28962 1.00000 3094
-1.15435 -0.69948 -0.83526 -0.58621 -0.89479 -0.88479 -0.85395 -0.90405 -0.91001 1.00000 175
0.05380 0.96610 0.92835 0.72889 0.59400 0.61339 0.76556 0.58317 0.64096 1.00000 25
-1.15435 -0.57456 -0.53293 -0.22755 -0.63986 -0.71808 -0.48443 -0.45860 0.33077 1.00000 3889
0.05380 -1.28243 -1.18798 -0.58621 -1.18031 -1.11909 -1.12767 -1.17706 -0.28962 1.00000 3157
-1.15435 0.05003 0.02135 0.01156 -0.30131 -0.22469 -0.35669 -0.39753 -1.22021 1.00000 3447
1.26194 -0.19980 -0.23059 0.25067 -0.41246 -0.44548 -0.12859 -0.56637 0.02057 1.00000 2969
1.26194 -1.28243 -1.33915 -1.18398 -1.26903 -1.18668 -1.28734 -1.29920 -0.91001 1.00000 1904
-1.15435 -2.65653 -2.54849 -2.25997 -1.60349 -1.54264 -1.59755 -1.60455 -0.91001 1.00000 3695
-1.15435 -1.03259 -1.18798 -0.58621 -1.12015 -1.11684 -1.12311 -1.17706 -0.28962 1.00000 1602
0.05380 0.46643 0.57563 0.13112 0.32174 0.49849 0.31849 0.08025 0.33077 1.00000 1238
-1.15435 -0.53292 -0.53293 -0.70576 -0.84380 -0.65049 -0.89957 -0.78191 0.64096 1.00000 926
1.26194 -1.32407 -1.43993 -0.10799 -1.23843 -1.14613 -1.21891 -1.28124 -0.91001 1.00000 1789
1.26194 -1.03259 -1.08721 -0.70576 -1.04775 -1.12810 -1.03643 -0.85376 -0.28962 1.00000 1417
0.05380 0.92446 0.92835 0.25067 1.11610 1.30728 1.64603 0.51132 0.02057 1.00000 2
0.05380 0.50807 0.42446 0.48978 0.15450 0.20561 0.37323 -0.03830 -0.59982 1.00000 3822
0.05380 -0.15816 -0.18020 -0.58621 -0.34414 -0.24722 -0.22895 -0.45860 -0.59982 1.00000 360
0.05380 1.04938 1.02913 0.37023 0.73472 0.55706 0.88874 0.90289 0.95115 1.00000 3279
0.05380 0.34151 0.42446 -0.10799 0.32582 0.12451 -0.28370 0.51132 0.64096 1.00000 743
1.26194 0.59135 0.22291 0.60933 0.31766 0.41964 0.24093 0.24190 -0.59982 1.00000 100
0.05380 1.00774 1.07952 0.25067 0.78163 0.70125 0.22725 1.05017 0.02057 1.00000 3767
-1.15435 -1.44899 -1.43993 -1.18398 -1.22824 -1.17091 -1.12311 -1.24891 -1.22021 1.00000 39
-1.15435 -1.90702 -1.84304 -1.18398 -1.40771 -1.40296 -1.22803 -1.35668 -0.28962 1.00000 244
0.05380 0.25823 0.47485 0.96800 0.26361 -0.28552 0.13144 1.08609 1.26135 1.00000 2770
0.05380 0.34151 0.72680 0.84844 0.26157 0.13127 0.31392 0.25986 2.50213 1.00000 2804
-1.15435 -0.28308 -0.23059 -0.34710 -0.36657 -0.17738 -0.51636 -0.49812 -0.59982 1.00000 2261
1.26194 -1.61554 -1.69187 -1.54264 -1.35774 -1.28355 -1.34664 -1.37105 -1.22021 1.00000 1040
-1.15435 0.84118 0.57563 0.01156 0.74696 0.55481 0.22268 1.15794 0.95115 1.00000 3429
1.26194 -0.82439 -0.98643 -1.18398 -1.07630 -0.99518 -1.05468 -1.14114 -0.91001 1.00000 575
1.26194 -1.19915 -1.33915 -0.70576 -1.16807 -1.12360 -1.15960 -1.17347 -1.22021 1.00000 834
-1.15435 2.04873 1.98652 0.84844 2.49170 1.98765 3.15149 0.83463 0.33077 1.00000 3961
1.26194 -2.86473 -2.75004 -1.42309 -1.62287 -1.55390 -1.58387 -1.64407 -1.53040 1.00000 3967
-1.15435 -0.82439 -1.03682 -0.70576 -0.95801 -0.83973 -0.84939 -1.01541 -0.28962 1.00000 2639
1.26194 -0.69948 -1.03682 -0.58621 -0.91722 -0.88930 -0.81745 -0.92560 -0.28962 1.00000 2618
-1.15435 -0.24144 -0.33137 -0.58621 -0.41654 -0.34860 -0.34300 -0.60229 -1.22021 1.00000 1700
0.05380 0.96610 0.82758 0.96800 1.08347 1.32305 1.51829 0.47540 -0.28962 1.00000 2979
0.05380 0.75790 0.72680 0.60933 0.67864 0.69224 1.09859 0.47540 0.02057 1.00000 2055
1.26194 -0.11652 -0.02904 -0.34710 -0.30437 -0.05798 -0.37494 -0.40831 -0.59982 1.00000 2720
1.26194 -0.74112 -0.73448 -0.70576 -0.90907 -0.91859 -1.03187 -0.74599 0.64096 1.00000 3005
1.26194 0.21659 0.32369 0.60933 0.06477 -0.21343 -0.10578 0.43948 2.19193 1.00000 2823
-1.15435 -1.44899 -1.49032 -1.18398 -1.29248 -1.28355 -1.27365 -1.24532 -0.28962 1.00000 3580
-1.15435 0.29987 0.12213 0.25067 0.09536 0.36331 0.14513 -0.05267 -0.59982 1.00000 1508
0.05380 -0.24144 -0.28098 -0.46665 -0.52157 -0.42295 -0.47530 -0.68132 -0.91001 1.00000 3343
-1.15435 0.88282 0.72680 0.25067 0.90196 1.35684 0.56483 0.51132 0.33077 1.00000 2025
1.26194 0.00839 -0.18020 -0.82532 -0.53381 -0.32382 -0.66691 -0.56637 -0.59982 1.00000 94
-1.15435 0.42479 0.42446 0.60933 0.18917 -0.14359 0.40516 0.12335 0.64096 1.00000 1548
-1.15435 1.25758 1.33147 0.84844 1.48014 1.37486 0.88874 1.96262 0.64096 1.00000 3095
0.05380 -0.57456 -0.43215 -0.58621 -0.81219 -0.79017 -0.66234 -0.82142 -0.59982 1.00000 468
1.26194 -1.82374 -1.64149 -1.54264 -1.37202 -1.31510 -1.30102 -1.39260 -0.91001 1.00000 3533
1.26194 -1.74046 -1.79265 -1.42309 -1.40975 -1.37367 -1.36489 -1.39620 -1.53040 1.00000 4007
0.05380 -1.28243 -1.28876 -0.70576 -1.22008 -1.19344 -1.22347 -1.17706 0.02057 1.00000 2782
0.05380 0.84118 0.67641 -0.22755 0.06273 -0.17963 -0.02823 0.00840 0.95115 1.00000 2247
-1.15435 -0.44964 -0.18020 0.25067 -0.39411 -0.63472 -0.84026 0.11617 -0.28962 1.00000 3503
-1.15435 0.50807 0.42446 0.96800 -0.05964 -0.10529 0.04477 -0.01315 -0.59982 1.00000 136
0.05380 0.46643 0.27330 0.25067 0.02092 -0.04897 0.24093 -0.33646 -0.91001 1.00000 3957
-1.15435 0.46643 0.57563 0.25067 0.15858 0.05241 0.14513 0.36763 -0.59982 1.00000 1119
-1.15435 -0.28308 -0.12981 0.01156 -0.57052 -0.62120 -0.48443 -0.63822 0.33077 1.00000 353
0.05380 0.59135 0.27330 0.25067 0.14533 0.26193 -0.09666 0.18802 -0.59982 1.00000 1186
-1.15435 -0.07489 -0.07943 0.01156 -0.39818 -0.32157 -0.32476 -0.50889 -0.28962 1.00000 1930
-1.15435 0.42479 0.72680 0.25067 0.24016 0.34304 0.72907 0.08384 -0.28962 1.00000 2652
1.26194 -0.74112 -0.68409 -0.46665 -0.88255 -0.81946 -0.90869 -0.81783 -0.59982 1.00000 3983
-1.15435 0.21659 0.17252 0.48978 -0.07289 -0.07375 0.20900 -0.17122 -0.28962 1.00000 770
-1.15435 0.54971 0.52524 -0.22755 0.55729 0.43090 0.22725 0.65502 0.64096 1.00000 663
1.26194 -3.28112 -3.10277 -2.61863 -1.66366 -1.59896 -1.62036 -1.68717 -2.15079 1.00000 93
1.26194 -0.86603 -0.83526 -0.58621 -1.04979 -1.03574 -1.06836 -0.99745 -0.59982 1.00000 2004
0.05380 0.79954 1.02913 0.96800 0.82446 1.04819 0.85224 0.59754 0.02057 1.00000 1207
0.05380 1.13266 1.23069 1.08755 1.06002 0.60212 0.58764 1.80456 0.64096 1.00000 2954
-1.15435 -0.24144 -0.18020 0.25067 0.04947 -0.13908 0.07670 0.22394 1.26135 1.00000 1561
-1.15435 -0.28308 -0.18020 0.25067 -0.52157 -0.60543 -0.51636 -0.49452 3.43271 1.00000 2122
-1.15435 0.71626 0.62602 0.48978 0.39414 0.40387 0.49184 0.39996 -0.28962 1.00000 1557
1.26194 -0.61620 -0.63370 -0.70576 -0.73163 -0.55812 -0.86763 -0.90046 -0.91001 1.00000 1225
1.26194 -1.19915 -1.33915 -1.06442 -1.17929 -1.19344 -1.05011 -1.17706 -1.22021 1.00000 2200
-1.15435 0.13331 0.07174 0.72889 0.10250 -0.09177 0.25006 0.11617 0.02057 1.00000 1272
0.05380 0.84118 0.77719 1.44621 1.12426 1.01440 1.10771 1.16513 -0.28962 1.00000 945
-1.15435 0.17495 0.42446 0.25067 0.10352 0.12451 -0.27914 0.17005 0.33077 1.00000 636
-1.15435 -0.07489 -0.07943 -0.34710 0.25750 -0.08276 0.66520 0.15209 0.95115 1.00000 2913
1.26194 -0.07489 -0.48254 -0.34710 -0.72654 -0.80143 -0.50724 -0.72443 -0.28962 1.00000 3604
-1.15435 0.71626 0.77719 0.72889 0.39516 0.26869 0.54659 0.87056 0.64096 1.00000 780
-1.15435 0.50807 0.52524 0.25067 0.76940 0.99863 0.32305 0.60472 0.02057 1.00000 2168
1.26194 -1.19915 -1.38954 -1.42309 -1.26087 -1.22949 -1.26453 -1.21299 -0.59982 1.00000 3669
1.26194 -1.53226 -1.43993 -1.66219 -1.31287 -1.33762 -1.28734 -1.21299 -0.91001 1.00000 334
1.26194 0.79954 0.62602 0.37023 0.27993 0.39485 -0.08753 0.32452 0.33077 1.00000 3422
0.05380 1.50741 1.63380 1.08755 1.90129 1.74659 1.75095 1.79019 0.02057 1.00000 1475
0.05380 1.13266 1.58341 1.32666 1.90027 1.49877 1.33125 1.87640 1.88174 1.00000 745
1.26194 -2.44833 -2.44771 -1.90130 -1.58514 -1.53363 -1.51544 -1.45726 -1.84060 1.00000 2228
0.05380 -0.07489 0.07174 -0.22755 -0.13204 -0.37564 0.14057 0.08025 0.95115 1.00000 1715
-1.15435 0.42479 0.27330 0.25067 -0.04842 -0.29904 -0.16509 0.22394 2.19193 1.00000 465
0.05380 -1.19915 -1.08721 -1.18398 -1.03449 -0.92309 -0.96344 -1.03337 -0.28962 1.00000 2503
1.26194 -0.74112 -0.73448 -0.94487 -1.02837 -1.01095 -0.93150 -1.01182 -0.91001 1.00000 2837
0.05380 1.46577 1.68419 1.56577 1.92576 1.10677 2.43069 2.14942 0.95115 1.00000 581
0.05380 1.50741 1.48263 1.44621 1.30475 0.50525 1.30388 2.02010 2.81232 1.00000 2626
0.05380 0.92446 1.02913 1.08755 0.93255 0.75081 1.04384 1.23338 0.64096 1.00000 790
0.05380 -0.15816 -0.23059 -0.10799 -0.42878 -0.48828 -0.57567 -0.27899 0.64096 1.00000 354
1.26194 -2.07358 -2.09499 -1.66219 -1.49438 -1.45252 -1.44245 -1.50037 -1.22021 1.00000 3016
1.26194 -1.24079 -1.33915 -0.94487 -1.21600 -1.09431 -1.26453 -1.24891 -1.22021 1.00000 2810
0.05380 0.13331 0.12213 0.13112 0.07497 0.32501 -0.16052 -0.15325 0.02057 1.00000 845
0.05380 0.75790 0.92835 0.84844 1.11814 0.89725 1.36318 0.38200 0.64096 1.00000 3251
1.26194 -1.69882 -1.79265 -1.90130 -1.42708 -1.34213 -1.39683 -1.46086 -0.91001 1.00000 3063
0.05380 0.79954 0.92835 0.84844 0.72861 0.62690 1.10315 0.79871 0.64096 1.00000 1535
-1.15435 -0.57456 -0.63370 -0.34710 -0.79282 -0.85776 -0.67603 -0.74599 0.64096 1.00000 2522
1.26194 -0.11652 -0.33137 -0.94487 -0.51035 -0.54686 -0.53005 -0.45860 -0.91001 1.00000 1977
-1.15435 0.13331 0.02135 0.13112 0.32684 -0.35086 0.29568 0.83463 2.81232 1.00000 2783
1.26194 -0.90767 -0.78487 -0.94487 -0.89377 -0.75187 -0.95887 -0.97949 -0.91001 1.00000 582
0.05380 -0.07489 -0.07943 -0.58621 -0.51137 -0.75863 -0.32932 -0.49452 -0.28962 1.00000 976
-1.15435 -0.40800 -0.38176 -0.34710 -0.65108 -0.64373 -0.62129 -0.53045 -0.28962 1.00000 2558
1.26194 0.21659 0.42446 -0.22755 -0.05046 -0.09853 -0.36581 -0.06345 -1.22021 1.00000 3677
1.26194 -2.24013 -2.19576 -1.66219 -1.52396 -1.49307 -1.50175 -1.49319 -1.53040 1.00000 1045
-1.15435 0.25823 -0.02904 1.20710 1.17728 1.13606 1.47267 1.07891 0.02057 1.00000 1692
-1.15435 -1.44899 -1.43993 -1.18398 -1.23028 -1.17091 -1.20522 -1.21299 -0.91001 1.00000 3750
-1.15435 0.09167 -0.02904 1.08755 0.01174 -0.18865 -0.07385 0.36763 1.88174 1.00000 3195
-1.15435 1.25758 1.48263 1.44621 1.24357 0.83642 0.78381 1.62494 3.43271 1.00000 2438
-1.15435 1.84053 1.68419 1.44621 2.15214 2.67929 1.41793 1.84048 0.64096 1.00000 2318
0.05380 1.63233 1.43224 1.32666 2.53759 3.20872 2.24365 1.88718 -0.28962 1.00000 561
-1.15435 1.54905 1.53302 0.84844 1.82583 0.93104 2.52649 1.60698 0.95115 1.00000 3472
0.05380 1.09102 1.38186 0.60933 1.61882 1.33431 1.08034 1.96980 0.64096 1.00000 4095
