Strength Temperature Y outlier number
0.29778 -0.31623 -1.46385 1.00000 152
0.63617 0.31623 0.29277 1.00000 758
-0.74445 -0.63246 1.46385 1.00000 283
-1.81375 -1.26491 1.46385 1.00000 1414
-0.16243 0.31623 0.87831 1.00000 1462
-0.60910 -0.31623 0.29277 1.00000 690
-0.90687 -1.58114 -0.87831 1.00000 1322
-0.17596 0.63246 0.87831 1.00000 248
-1.19112 -0.31623 1.46385 1.00000 1576
-1.05576 -1.26491 -0.29277 1.00000 116
-0.78506 0.00000 1.46385 1.00000 541
1.24526 1.58114 -0.29277 1.00000 1250
1.15051 1.26491 0.29277 1.00000 999
1.58365 1.26491 -1.46385 1.00000 1513
1.67840 1.58114 -1.46385 1.00000 501
-0.46021 0.31623 1.46385 1.00000 1232
-0.63617 -1.58114 -1.46385 1.00000 1096
-0.24364 -0.94868 -0.87831 1.00000 1108
-0.18950 -0.31623 -0.29277 1.00000 1545
0.06768 0.00000 0.87831 1.00000 766
-1.24526 -1.26491 0.29277 1.00000 828
0.77152 0.31623 -1.46385 1.00000 919
1.38062 0.94868 -0.87831 1.00000 471
-0.98809 -1.26491 -0.87831 1.00000 1523
0.36546 1.58114 1.46385 1.00000 1507
-1.05576 -0.94868 0.29277 1.00000 183
-1.27233 -1.58114 -0.29277 1.00000 182
-0.98809 -0.63246 0.29277 1.00000 1632
0.02707 0.31623 0.29277 1.00000 731
-1.27233 -1.26491 0.29277 1.00000 1207
1.24526 1.26491 -0.87831 1.00000 324
0.20303 0.63246 0.87831 1.00000 265
-0.83920 -1.26491 0.29277 1.00000 1325
-0.71738 -0.94868 0.87831 1.00000 269
-1.85436 -1.26491 1.46385 1.00000 875
-1.54304 -1.58114 0.29277 1.00000 988
-0.33839 0.31623 1.46385 1.00000 693
0.02707 -0.63246 -0.87831 1.00000 43
-0.06768 0.00000 -0.29277 1.00000 188
1.16405 1.58114 0.29277 1.00000 1595
-0.06768 0.94868 1.46385 1.00000 1544
-1.09637 -1.26491 0.29277 1.00000 185
0.98809 1.26491 0.29277 1.00000 1216
-0.78506 -1.58114 -1.46385 1.00000 559
-0.37899 0.31623 0.87831 1.00000 1099
-0.56849 -0.31623 1.46385 1.00000 291
0.04061 0.63246 0.87831 1.00000 540
-0.37899 -0.31623 -0.29277 1.00000 1036
1.04223 1.58114 0.29277 1.00000 1579
-0.20303 -0.94868 -0.87831 1.00000 1628
-1.32647 -1.26491 0.87831 1.00000 1541
-0.60910 -0.94868 -0.87831 1.00000 1605
0.59556 0.31623 -1.46385 1.00000 508
-1.52951 -0.94868 0.87831 1.00000 835
-1.66486 -1.58114 0.29277 1.00000 369
0.33839 -0.31623 -0.29277 1.00000 1441
1.69193 1.58114 0.29277 1.00000 276
1.43476 1.58114 -0.29277 1.00000 162
0.62263 0.31623 -0.87831 1.00000 1323
-0.28424 0.00000 0.87831 1.00000 1245
1.10991 0.94868 -0.87831 1.00000 1276
-1.52951 -1.26491 0.29277 1.00000 244
-0.64970 -0.94868 -0.87831 1.00000 403
1.86789 1.58114 -0.29277 1.00000 184
-0.85273 -0.94868 -0.29277 1.00000 1502
1.55658 0.94868 -1.46385 1.00000 579
-1.29940 -0.94868 0.29277 1.00000 883
0.94748 0.94868 0.29277 1.00000 1024
1.85436 1.58114 -1.46385 1.00000 577
1.09637 0.94868 -0.29277 1.00000 757
1.31294 1.26491 -0.87831 1.00000 1648
-0.33839 0.00000 0.87831 1.00000 615
-0.51435 -0.94868 -0.87831 1.00000 1074
-0.78506 -1.58114 -1.46385 1.00000 1281
0.60910 0.94868 1.46385 1.00000 916
-0.71738 -0.31623 0.29277 1.00000 1566
-0.33839 -1.26491 -1.46385 1.00000 1374
-0.47374 -0.94868 -0.29277 1.00000 54
-0.04061 -0.31623 -0.87831 1.00000 1395
1.01516 1.58114 0.29277 1.00000 290
1.66486 1.58114 -0.87831 1.00000 1062
-0.78506 -0.63246 0.29277 1.00000 1097
-1.01516 -1.26491 0.87831 1.00000 738
0.50081 0.00000 -1.46385 1.00000 418
-0.67677 -0.94868 0.29277 1.00000 858
-1.12344 -0.63246 0.87831 1.00000 497
1.88143 1.26491 -1.46385 1.00000 429
0.29778 0.00000 -0.87831 1.00000 1176
0.50081 0.94868 0.29277 1.00000 103
-0.17596 0.63246 0.87831 1.00000 490
-0.17596 0.94868 1.46385 1.00000 180
0.89334 0.94868 -0.29277 1.00000 511
1.09637 1.58114 0.87831 1.00000 1621
1.17758 1.26491 -0.87831 1.00000 932
-0.78506 -1.26491 -0.87831 1.00000 856
-1.44829 -0.94868 1.46385 1.00000 1537
-1.15051 -0.31623 1.46385 1.00000 224
-0.02707 0.31623 1.46385 1.00000 687
-0.94748 -1.58114 -0.29277 1.00000 458
1.34001 0.63246 -1.46385 1.00000 697
-1.52951 -1.26491 0.87831 1.00000 605
-0.46021 -1.26491 -1.46385 1.00000 886
-0.98809 -1.58114 -1.46385 1.00000 785
-0.06768 -0.31623 -0.87831 1.00000 440
-1.09637 -1.58114 -0.29277 1.00000 510
-1.00162 -0.63246 0.87831 1.00000 220
1.28587 1.58114 0.29277 1.00000 267
-1.48890 -1.26491 1.46385 1.00000 1534
1.71900 1.58114 -0.87831 1.00000 1102
1.65132 1.26491 -1.46385 1.00000 1524
-0.78506 -0.94868 -0.29277 1.00000 552
0.59556 1.26491 0.29277 1.00000 108
1.58365 1.58114 -0.87831 1.00000 1577
0.94748 0.31623 -0.87831 1.00000 214
1.04223 0.94868 -0.87831 1.00000 797
-0.94748 -0.63246 1.46385 1.00000 1315
-0.51435 -0.63246 -0.29277 1.00000 1416
1.69193 1.58114 -0.29277 1.00000 645
-0.51435 -1.58114 -1.46385 1.00000 82
-0.18950 -0.94868 -1.46385 1.00000 454
-2.20628 -1.58114 1.46385 1.00000 1497
-0.17596 -0.31623 -0.29277 1.00000 474
0.29778 0.63246 0.87831 1.00000 987
-1.44829 -1.58114 0.29277 1.00000 1137
0.90687 1.58114 0.87831 1.00000 644
0.50081 0.94868 0.29277 1.00000 142
-0.98809 -1.26491 -0.29277 1.00000 426
1.28587 1.26491 -0.29277 1.00000 1029
-0.18950 0.00000 0.29277 1.00000 1343
-1.27233 -0.94868 0.87831 1.00000 1246
-0.24364 0.31623 0.87831 1.00000 1335
-0.18950 -0.63246 -0.87831 1.00000 177
0.59556 1.58114 0.87831 1.00000 313
-1.65132 -1.58114 1.46385 1.00000 298
-1.05576 -0.94868 0.29277 1.00000 1557
-0.23010 -0.63246 -0.87831 1.00000 638
-0.78506 -1.58114 -1.46385 1.00000 231
1.10991 0.94868 -0.87831 1.00000 545
0.23010 0.94868 0.87831 1.00000 74
0.87980 0.31623 -0.29277 1.00000 228
-0.24364 0.63246 1.46385 1.00000 1588
-1.10991 -0.94868 1.46385 1.00000 583
0.36546 1.58114 1.46385 1.00000 667
-1.66486 -1.58114 0.29277 1.00000 718
-1.17758 -1.58114 -0.29277 1.00000 60
0.63617 0.63246 -0.87831 1.00000 223
0.44667 1.26491 1.46385 1.00000 457
-0.36546 -0.63246 -0.29277 1.00000 42
-0.43313 -0.63246 -0.29277 1.00000 376
0.31132 0.31623 -0.29277 1.00000 243
0.64970 0.94868 0.29277 1.00000 412
-2.23335 -1.58114 1.46385 1.00000 519
-0.51435 -1.26491 -0.87831 1.00000 1103
0.83920 0.31623 -1.46385 1.00000 1022
-0.60910 -1.26491 -0.87831 1.00000 1226
-0.98809 -1.26491 -0.87831 1.00000 126
-0.21657 -0.31623 -0.87831 1.00000 1514
1.31294 1.58114 -0.29277 1.00000 512
-1.15051 -1.26491 -0.29277 1.00000 879
-0.92041 0.00000 1.46385 1.00000 1269
0.06768 -0.94868 -0.87831 1.00000 484
0.55495 1.26491 1.46385 1.00000 1017
1.15051 0.31623 -1.46385 1.00000 1508
0.86627 0.94868 -0.87831 1.00000 8
2.17921 1.58114 -1.46385 1.00000 1501
-0.09475 0.31623 0.87831 1.00000 1424
-0.98809 -0.63246 0.87831 1.00000 246
0.55495 -0.31623 -1.46385 1.00000 328
-0.40606 -0.63246 0.29277 1.00000 915
0.92041 0.63246 -0.87831 1.00000 554
0.71738 1.58114 1.46385 1.00000 366
-0.83920 -0.94868 0.87831 1.00000 806
-1.58365 -1.26491 0.87831 1.00000 646
0.29778 -0.63246 -1.46385 1.00000 870
0.17596 0.00000 -0.29277 1.00000 456
1.82729 1.26491 -1.46385 1.00000 578
0.56849 1.26491 1.46385 1.00000 1415
0.28424 0.00000 -0.29277 1.00000 1443
-1.02869 -1.58114 -1.46385 1.00000 845
-0.24364 0.00000 0.29277 1.00000 536
0.40606 0.63246 0.87831 1.00000 105
1.98971 0.94868 -1.46385 1.00000 1086
0.09475 -0.31623 0.29277 1.00000 1
-0.37899 0.00000 0.29277 1.00000 75
-0.60910 -0.31623 0.87831 1.00000 1209
0.35192 0.94868 0.87831 1.00000 1354
0.98809 1.58114 0.87831 1.00000 1047
-1.69193 -1.58114 0.29277 1.00000 1225
-0.52788 0.00000 1.46385 1.00000 855
-1.19112 -0.63246 0.87831 1.00000 599
0.25717 0.63246 0.87831 1.00000 35
-0.48728 -0.63246 -0.87831 1.00000 983
0.74445 0.00000 -1.46385 1.00000 166
-0.31132 0.00000 0.29277 1.00000 191
2.13860 1.26491 -1.46385 1.00000 469
-1.42122 -1.26491 0.87831 1.00000 1248
-0.04061 0.31623 0.29277 1.00000 702
1.04223 0.94868 -0.87831 1.00000 742
-1.39415 -0.94868 0.87831 1.00000 917
0.16243 1.26491 1.46385 1.00000 869
1.78668 1.58114 -1.46385 1.00000 1292
0.36546 -0.94868 -1.46385 1.00000 423
0.31132 0.94868 0.87831 1.00000 691
-0.63617 -0.94868 -0.29277 1.00000 173
1.15051 0.63246 -0.29277 1.00000 973
0.36546 0.00000 -1.46385 1.00000 596
-0.60910 0.00000 1.46385 1.00000 1396
-0.56849 -0.94868 0.29277 1.00000 473
0.23010 -0.31623 -1.46385 1.00000 1423
0.87980 1.26491 0.87831 1.00000 200
1.21819 0.31623 -1.46385 1.00000 254
0.74445 1.26491 0.87831 1.00000 1356
-1.12344 -1.26491 -0.29277 1.00000 580
-1.78668 -1.58114 0.87831 1.00000 392
-1.39415 -1.58114 -0.29277 1.00000 791
1.82729 1.58114 -1.46385 1.00000 1601
-0.46021 -0.31623 0.29277 1.00000 287
2.03032 1.26491 -1.46385 1.00000 611
-1.81375 -1.58114 0.87831 1.00000 345
-0.47374 0.00000 1.46385 1.00000 122
-1.05576 -1.26491 0.29277 1.00000 1249
0.89334 0.94868 -0.29277 1.00000 1253
-1.32647 -1.26491 0.29277 1.00000 658
-0.51435 -0.31623 0.29277 1.00000 67
-1.25880 -0.94868 0.29277 1.00000 1463
-0.98809 -0.31623 1.46385 1.00000 1053
-0.02707 0.00000 0.87831 1.00000 751
-1.04223 -0.94868 0.29277 1.00000 931
-2.07092 -1.58114 0.87831 1.00000 356
0.23010 0.63246 0.29277 1.00000 410
0.24364 0.00000 0.29277 1.00000 535
-0.47374 -0.94868 0.29277 1.00000 683
-1.00162 -1.58114 -0.87831 1.00000 1511
-1.48890 -1.58114 0.87831 1.00000 1616
-0.47374 -1.26491 -0.87831 1.00000 1586
0.16243 0.63246 0.29277 1.00000 668
-0.51435 0.00000 1.46385 1.00000 311
1.28587 0.94868 -0.87831 1.00000 965
0.09475 0.31623 1.46385 1.00000 659
-0.87980 -0.94868 -0.29277 1.00000 258
-0.51435 -0.31623 0.87831 1.00000 948
0.06768 -0.31623 -0.29277 1.00000 302
0.06768 0.31623 0.87831 1.00000 672
-0.09475 -0.63246 -0.87831 1.00000 1087
1.42122 0.94868 -0.87831 1.00000 1164
0.09475 0.00000 -0.87831 1.00000 906
-0.58202 -0.31623 0.29277 1.00000 782
-0.25717 -1.26491 -1.46385 1.00000 129
-1.86789 -1.26491 1.46385 1.00000 1098
-1.05576 -1.58114 -0.87831 1.00000 1048
-2.27396 -1.58114 1.46385 1.00000 1439
0.06768 -0.63246 -0.29277 1.00000 1567
-1.29940 -1.58114 -0.87831 1.00000 225
-0.23010 0.31623 0.87831 1.00000 1631
-0.75799 -0.63246 -0.29277 1.00000 257
-1.32647 -1.26491 0.29277 1.00000 661
-1.46183 -0.63246 1.46385 1.00000 1172
1.42122 1.26491 0.29277 1.00000 1215
-0.78506 0.00000 1.46385 1.00000 36
1.06930 0.63246 -0.87831 1.00000 1282
-1.27233 -0.63246 1.46385 1.00000 176
0.56849 0.00000 -1.46385 1.00000 447
-1.34001 -1.58114 0.29277 1.00000 393
0.83920 0.94868 -0.29277 1.00000 93
1.80021 1.26491 -1.46385 1.00000 598
-0.02707 -1.26491 -1.46385 1.00000 619
0.70384 0.94868 -0.29277 1.00000 630
-1.59718 -0.94868 1.46385 1.00000 910
-1.25880 -1.26491 -0.29277 1.00000 1168
0.13535 0.00000 0.29277 1.00000 307
0.10828 0.00000 -0.29277 1.00000 1383
0.98809 0.31623 -1.46385 1.00000 518
1.46183 1.58114 -0.29277 1.00000 539
-0.94748 -0.94868 0.87831 1.00000 1352
-1.84082 -1.26491 0.87831 1.00000 444
-1.42122 -1.58114 0.29277 1.00000 1345
1.16405 1.26491 -0.29277 1.00000 1647
0.40606 0.94868 1.46385 1.00000 1382
0.16243 -0.31623 -1.46385 1.00000 1060
-0.44667 0.63246 1.46385 1.00000 1039
-0.28424 -0.94868 -0.87831 1.00000 1420
0.83920 0.94868 -0.29277 1.00000 1637
1.38062 1.26491 -0.87831 1.00000 1251
0.92041 0.94868 -0.29277 1.00000 1385
1.32647 1.58114 0.87831 1.00000 1006
0.09475 1.26491 1.46385 1.00000 451
1.97618 1.58114 -1.46385 1.00000 820
-0.70384 -0.63246 0.29277 1.00000 938
-0.98809 -0.63246 0.29277 1.00000 809
-1.73254 -1.58114 0.29277 1.00000 1400
0.09475 0.31623 -0.29277 1.00000 292
0.17596 -0.31623 -0.87831 1.00000 865
0.28424 -0.31623 -0.87831 1.00000 780
-0.82566 -0.31623 1.46385 1.00000 526
0.64970 1.58114 1.46385 1.00000 1167
1.42122 1.58114 0.87831 1.00000 1133
-0.36546 -1.26491 -1.46385 1.00000 745
-0.71738 -1.26491 -0.87831 1.00000 351
0.56849 0.63246 -0.29277 1.00000 413
0.70384 1.58114 0.87831 1.00000 698
-0.51435 -1.26491 -1.46385 1.00000 96
1.92203 1.58114 -1.46385 1.00000 1512
-0.29778 -0.31623 0.87831 1.00000 588
-0.02707 -0.63246 -0.29277 1.00000 1499
-0.17596 -0.94868 -1.46385 1.00000 349
0.50081 0.31623 -0.87831 1.00000 1326
1.42122 0.31623 -1.46385 1.00000 1560
1.25880 0.94868 -0.87831 1.00000 319
-0.17596 0.31623 0.87831 1.00000 1162
0.51435 0.31623 0.29277 1.00000 88
1.43476 1.58114 -0.29277 1.00000 1522
0.70384 1.26491 0.29277 1.00000 414
-1.78668 -1.26491 1.46385 1.00000 1129
-0.36546 -0.31623 0.29277 1.00000 86
1.65132 1.26491 -0.87831 1.00000 537
0.09475 0.63246 0.87831 1.00000 296
-0.17596 -0.31623 -0.87831 1.00000 1520
0.89334 0.31623 -1.46385 1.00000 603
-1.12344 -0.94868 0.29277 1.00000 1165
0.31132 -0.31623 -1.46385 1.00000 1543
0.28424 0.63246 0.87831 1.00000 275
-1.80021 -1.58114 0.29277 1.00000 643
-0.17596 0.00000 0.29277 1.00000 1504
0.36546 0.63246 1.46385 1.00000 1364
1.24526 0.94868 -1.46385 1.00000 1286
1.65132 1.26491 -1.46385 1.00000 838
0.78506 0.63246 0.29277 1.00000 688
-0.13535 -0.94868 -0.87831 1.00000 1200
-0.58202 0.00000 0.87831 1.00000 589
1.58365 1.26491 -1.46385 1.00000 1584
0.56849 0.63246 0.29277 1.00000 350
1.04223 1.26491 -0.29277 1.00000 1115
1.93557 1.58114 -1.46385 1.00000 1132
0.78506 0.00000 -0.87831 1.00000 1221
-1.93557 -1.26491 1.46385 1.00000 547
-1.04223 -0.63246 0.87831 1.00000 1594
-1.32647 -1.58114 0.29277 1.00000 529
-0.78506 0.00000 1.46385 1.00000 1570
1.65132 1.26491 -1.46385 1.00000 1252
0.82566 1.58114 1.46385 1.00000 872
1.17758 1.58114 1.46385 1.00000 161
0.02707 -0.31623 -0.87831 1.00000 390
0.01354 0.00000 0.29277 1.00000 1641
1.09637 1.26491 0.29277 1.00000 1606
-0.20303 0.31623 1.46385 1.00000 684
1.04223 0.63246 -1.46385 1.00000 325
-0.44667 -0.94868 -1.46385 1.00000 197
1.06930 0.31623 -1.46385 1.00000 959
-0.97455 -1.58114 -0.87831 1.00000 46
0.04061 0.94868 1.46385 1.00000 253
-0.90687 -1.26491 -0.29277 1.00000 1149
-0.64970 0.31623 1.46385 1.00000 1587
-0.83920 -0.63246 1.46385 1.00000 65
0.56849 1.26491 0.87831 1.00000 14
-1.66486 -1.26491 0.87831 1.00000 1054
-1.52951 -0.94868 1.46385 1.00000 725
0.47374 1.26491 0.87831 1.00000 974
1.15051 1.58114 0.87831 1.00000 637
1.98971 1.58114 -1.46385 1.00000 1622
1.42122 0.63246 -0.87831 1.00000 673
1.97618 1.58114 -1.46385 1.00000 1033
-0.85273 -1.26491 -0.87831 1.00000 415
-1.00162 -0.31623 1.46385 1.00000 125
1.01516 0.63246 -1.46385 1.00000 520
-0.78506 -1.26491 -0.87831 1.00000 597
-0.20303 -0.31623 0.87831 1.00000 1302
-0.04061 0.63246 0.87831 1.00000 927
-1.12344 -1.58114 -0.87831 1.00000 1159
1.88143 1.58114 -0.87831 1.00000 1472
-0.17596 -0.63246 0.29277 1.00000 449
0.77152 1.26491 0.29277 1.00000 896
-0.44667 -0.63246 -0.87831 1.00000 186
-0.77152 -0.63246 0.29277 1.00000 1597
2.23335 1.26491 -1.46385 1.00000 1219
-0.31132 -0.94868 -1.46385 1.00000 1000
-0.71738 -1.58114 -0.29277 1.00000 1191
-0.51435 -0.63246 -0.29277 1.00000 1324
-0.20303 0.00000 0.87831 1.00000 138
1.59718 0.94868 -0.87831 1.00000 352
-0.46021 -0.63246 -0.29277 1.00000 1066
0.85273 0.63246 -0.87831 1.00000 1274
0.02707 0.63246 1.46385 1.00000 1634
-0.74445 -0.94868 0.87831 1.00000 1050
-0.51435 -0.94868 -0.87831 1.00000 813
1.65132 1.58114 -0.29277 1.00000 268
1.44829 0.94868 -1.46385 1.00000 432
1.46183 1.26491 -0.87831 1.00000 1571
0.08121 -0.63246 -1.46385 1.00000 286
-0.77152 -1.26491 -0.87831 1.00000 788
0.08121 0.94868 1.46385 1.00000 505
-1.55658 -1.58114 0.87831 1.00000 368
2.23335 1.58114 -1.46385 1.00000 606
-1.36708 -1.58114 0.29277 1.00000 1478
-1.21819 -1.58114 0.29277 1.00000 1109
1.71900 1.58114 -1.46385 1.00000 711
0.23010 0.31623 -0.29277 1.00000 1067
0.60910 0.63246 0.29277 1.00000 411
-0.51435 0.31623 1.46385 1.00000 569
1.38062 1.58114 0.29277 1.00000 373
0.78506 1.26491 1.46385 1.00000 1422
-0.73091 -0.63246 0.29277 1.00000 1578
-0.73091 -1.58114 -1.46385 1.00000 28
-0.20303 0.00000 1.46385 1.00000 491
-0.24364 0.31623 1.46385 1.00000 1174
0.90687 1.26491 -0.29277 1.00000 422
-1.86789 -1.58114 0.87831 1.00000 1367
1.75961 1.26491 -0.87831 1.00000 814
0.87980 1.26491 1.46385 1.00000 1247
-0.47374 -1.58114 -1.46385 1.00000 787
0.77152 1.58114 0.87831 1.00000 1603
