Inhabitants Distance Y outlier number
0.25009 -0.10226 0.23721 1.00000 376
-0.26707 -1.10381 -1.16400 1.00000 405
0.34706 2.43503 0.80169 1.00000 451
0.37938 -1.36421 -0.98365 1.00000 224
-0.65494 0.21824 -0.09488 1.00000 28
-0.65494 0.42524 0.36381 1.00000 1
-0.39636 1.82072 0.68376 1.00000 460
0.28241 -0.43610 -0.48507 1.00000 196
-0.68726 1.58035 0.90053 1.00000 323
-0.13778 -0.33594 -0.32293 1.00000 156
-0.59029 -0.31591 -0.95764 1.00000 438
-0.23475 -0.16900 -0.32726 1.00000 56
-0.88120 -0.60968 -0.46773 1.00000 448
-0.46100 0.56545 0.23548 1.00000 455
0.15312 0.69898 0.36294 1.00000 112
-0.55797 -1.09043 -1.16227 1.00000 118
-0.49333 -0.14232 -0.31773 1.00000 366
-0.55797 0.55211 0.21293 1.00000 297
1.60764 -0.39603 -0.16859 1.00000 418
-0.20242 0.61886 0.88319 1.00000 332
-0.65494 -0.04882 -0.34807 1.00000 128
-0.88120 -0.83672 -1.18655 1.00000 8
3.70860 2.20800 5.15794 1.00000 334
-0.26707 0.20490 -0.03332 1.00000 313
-0.59029 -0.55628 -0.63768 1.00000 149
0.83190 0.75242 1.62889 1.00000 335
0.41170 0.20490 -0.19633 1.00000 201
-0.78423 -1.27740 -1.07990 1.00000 220
0.54099 -0.30257 -0.30906 1.00000 177
0.63796 1.32663 2.20377 1.00000 486
-0.36404 0.16483 0.18172 1.00000 404
-0.10546 -0.72987 -0.59866 1.00000 108
-0.59029 -1.29074 -1.06516 1.00000 202
-0.49333 -0.51622 -0.69838 1.00000 75
-0.26707 -0.07554 -0.20414 1.00000 136
-0.62262 0.23162 -0.11830 1.00000 311
0.73493 -0.53625 0.29270 1.00000 301
1.54299 -0.15566 0.13750 1.00000 395
0.96119 -0.64975 -0.10876 1.00000 163
-0.42868 -0.26251 -0.01771 1.00000 137
-0.65494 -0.28919 -0.58912 1.00000 265
0.34706 -0.43610 -0.47727 1.00000 357
-0.07313 -1.33749 -1.07903 1.00000 189
-0.88120 0.11143 -0.64115 1.00000 70
0.67028 1.27323 2.73356 1.00000 284
-0.75191 -1.14387 -0.96284 1.00000 465
-0.39636 3.09605 0.19039 1.00000 299
-0.23475 0.05799 0.30831 1.00000 121
-0.55797 0.87261 -0.25703 1.00000 304
1.63996 1.50022 0.93955 1.00000 338
-0.62262 -1.18393 -0.95504 1.00000 392
0.25009 -0.39603 -0.04806 1.00000 30
-0.91352 -0.63641 -0.38362 1.00000 64
-0.04081 2.38828 2.55494 1.00000 458
-0.68726 -0.80334 -0.40097 1.00000 150
-0.62262 -1.18393 -1.06689 1.00000 423
0.73493 -0.78996 -0.89694 1.00000 217
-0.91352 -0.56962 -1.00533 1.00000 225
-0.29939 -0.00875 -0.34547 1.00000 218
1.76925 -0.62972 -0.08968 1.00000 40
-0.46100 -0.10226 0.35774 1.00000 456
-0.62262 -0.04217 -0.16338 1.00000 178
-0.00849 -1.01030 -0.62121 1.00000 198
1.38138 0.70567 0.75226 1.00000 356
-0.10546 -0.46282 -0.53970 1.00000 216
0.02383 1.11298 0.31265 1.00000 205
-0.00849 -0.40937 -0.48421 1.00000 83
-0.13778 -0.08888 -0.30906 1.00000 73
-0.29939 -0.48950 0.06639 1.00000 146
-0.33171 -0.60968 -0.39056 1.00000 416
-0.17010 -0.44944 -0.55791 1.00000 120
-0.33171 0.08471 0.05426 1.00000 138
-0.52565 -0.72987 -0.59346 1.00000 363
-0.36404 0.13811 0.61613 1.00000 180
-0.33171 -0.26251 -0.19633 1.00000 45
-0.71958 0.69898 -0.04806 1.00000 232
-0.94584 -0.07554 -0.37842 1.00000 161
-0.65494 0.60552 0.22160 1.00000 373
-0.49333 -0.51622 -0.50502 1.00000 414
0.63796 -0.76328 0.28490 1.00000 396
1.02583 1.31329 1.43379 1.00000 383
-0.55797 -0.48950 -0.54317 1.00000 206
-0.71958 -0.80334 -1.06342 1.00000 249
-0.33171 -0.55628 -0.55444 1.00000 33
-0.78423 -1.14387 -0.92729 1.00000 88
-0.42868 -0.50288 -0.35068 1.00000 4
-0.75191 0.15149 -0.57438 1.00000 309
-0.00849 2.07447 2.01128 1.00000 452
0.34706 -0.15566 -0.26483 1.00000 245
-0.29939 0.41855 0.88579 1.00000 312
-0.62262 0.95938 0.06813 1.00000 98
-0.62262 -0.93018 -0.71225 1.00000 87
-0.17010 0.29171 0.33259 1.00000 349
-0.59029 -0.81668 -0.65589 1.00000 354
-0.29939 0.36514 0.57451 1.00000 27
1.02583 0.01128 0.19646 1.00000 123
-0.62262 0.43858 -0.07407 1.00000 168
-0.65494 0.01128 0.07940 1.00000 164
0.02383 1.78735 0.37595 1.00000 342
0.28241 -1.42431 -1.00273 1.00000 413
0.76725 0.53873 0.22074 1.00000 257
0.12080 -0.40937 -0.00557 1.00000 31
0.05616 1.70053 1.27772 1.00000 330
0.76725 -1.33749 -1.13886 1.00000 214
-0.55797 0.95273 -0.51716 1.00000 389
0.50867 0.53208 0.09588 1.00000 424
-0.94584 -0.79665 -0.91775 1.00000 24
-0.52565 -0.70319 -0.52236 1.00000 440
1.44602 2.67540 1.47715 1.00000 327
0.34706 -0.15566 -0.16685 1.00000 427
-0.46100 1.86078 -0.12003 1.00000 37
1.73693 3.44992 2.70408 1.00000 346
1.09048 1.42010 2.84628 1.00000 365
-0.94584 0.23162 -0.31426 1.00000 246
1.41370 -0.32925 0.72018 1.00000 48
0.18545 0.45861 1.88295 1.00000 288
-0.78423 -0.96359 -0.70531 1.00000 110
-0.42868 -1.20396 -1.03481 1.00000 400
-0.97816 -1.25068 -1.15967 1.00000 20
-0.97816 -0.52291 -0.92816 1.00000 140
0.44403 0.95273 2.39279 1.00000 453
-0.75191 -1.33749 -1.18828 1.00000 14
0.54099 0.19156 0.55110 1.00000 352
-0.49333 0.47199 -0.13130 1.00000 229
-0.13778 0.19156 0.03258 1.00000 119
0.89654 -0.81668 -0.22581 1.00000 316
0.02383 1.66716 -0.13477 1.00000 472
-0.71958 -0.36266 -0.44779 1.00000 428
-0.55797 1.43348 2.35031 1.00000 277
-0.52565 0.04465 0.14617 1.00000 85
-0.62262 -0.50288 -0.62988 1.00000 129
0.31474 -0.59634 -0.10355 1.00000 160
-0.49333 -0.74325 -0.78075 1.00000 358
-0.33171 -0.74325 -0.58566 1.00000 421
1.38138 1.25985 2.63471 1.00000 26
0.15312 -0.83672 -0.57959 1.00000 15
-0.20242 -1.37086 -0.91168 1.00000 430
1.31673 1.46016 1.46067 1.00000 409
-0.65494 0.44527 0.00830 1.00000 114
0.28241 0.25830 0.53722 1.00000 272
-1.04281 -1.75814 -1.41373 1.00000 76
-0.26707 -1.20396 -1.09117 1.00000 175
0.21777 0.72570 1.30807 1.00000 148
-0.42868 1.70053 0.04645 1.00000 494
-0.00849 0.35180 0.78261 1.00000 142
0.02383 -1.10381 -1.00533 1.00000 308
-0.29939 -0.53625 -0.24749 1.00000 47
-0.68726 -1.13049 -0.88133 1.00000 393
-0.20242 1.56700 3.18618 1.00000 273
0.28241 -0.16900 0.09327 1.00000 113
-0.39636 -0.10226 -0.79116 1.00000 493
0.18545 0.00459 1.00979 1.00000 11
-0.62262 -0.66313 -0.90214 1.00000 463
-0.52565 0.49867 -0.05500 1.00000 44
0.63796 -0.62307 -0.28651 1.00000 362
-1.10745 -1.67802 -1.42760 1.00000 54
-0.55797 -0.40937 -0.47900 1.00000 310
-0.62262 -1.10381 -1.06516 1.00000 407
-0.20242 -1.27740 -0.95850 1.00000 19
0.25009 -0.54294 -0.47293 1.00000 213
0.02383 -0.86344 -0.43045 1.00000 187
-0.68726 1.91422 0.64041 1.00000 233
-0.46100 -1.54449 -1.26199 1.00000 215
-1.04281 -1.61792 -1.39032 1.00000 117
0.86422 3.48998 2.62171 1.00000 385
-0.52565 -0.54294 -0.46513 1.00000 483
-0.46100 -0.54294 -0.03072 1.00000 174
-0.84887 0.36514 -0.20587 1.00000 280
0.12080 0.00459 -0.42871 1.00000 488
0.70261 0.67230 0.71671 1.00000 35
1.80157 1.99435 0.84591 1.00000 317
-1.01049 0.59218 -0.67497 1.00000 319
0.12080 -0.47616 -0.05760 1.00000 13
-0.84887 -1.23065 -1.19088 1.00000 248
1.12280 -0.99696 -0.38276 1.00000 296
0.70261 -1.15052 -0.78856 1.00000 58
-0.81655 -0.47616 -0.40357 1.00000 236
1.41370 0.31174 0.84591 1.00000 436
1.34906 0.24496 0.13316 1.00000 339
-0.75191 -0.58965 -0.61340 1.00000 442
-0.75191 -0.31591 -0.77988 1.00000 207
1.83389 1.17973 0.11148 1.00000 111
-0.55797 -0.70319 -0.72526 1.00000 391
-0.36404 0.83255 1.20575 1.00000 170
-0.26707 0.45861 1.15979 1.00000 372
0.37938 -0.07554 -0.02465 1.00000 165
-0.62262 -1.49105 -1.03394 1.00000 321
1.34906 2.03441 3.64661 1.00000 143
-0.84887 -0.08888 0.62914 1.00000 464
-0.52565 -0.22244 -0.62034 1.00000 22
0.31474 -0.18903 -0.33073 1.00000 325
-0.04081 -0.87678 -0.86139 1.00000 116
-0.46100 -0.12894 -0.62814 1.00000 473
-0.26707 -0.58300 -0.53450 1.00000 176
0.70261 0.01793 -0.13997 1.00000 193
0.47635 -1.24403 -0.97238 1.00000 209
1.83389 -0.16235 0.00570 1.00000 300
-0.33171 -1.21730 -1.03914 1.00000 467
0.50867 1.90753 1.28639 1.00000 331
1.63996 -0.17569 0.46265 1.00000 462
-0.52565 -0.87678 -1.09030 1.00000 307
5.32473 0.03131 1.37310 1.00000 478
-0.26707 0.13811 -0.46340 1.00000 92
-0.20242 0.17152 0.50774 1.00000 50
-0.42868 0.23162 0.42450 1.00000 345
-0.84887 -1.53111 -1.34436 1.00000 159
-0.78423 -0.74325 -0.50762 1.00000 104
-0.75191 -0.70319 -0.32033 1.00000 397
-0.55797 0.37849 0.60659 1.00000 491
0.37938 0.55211 -0.27524 1.00000 80
-0.75191 -0.20906 -0.76514 1.00000 237
-0.71958 1.05954 0.48780 1.00000 489
0.63796 2.03441 2.73443 1.00000 477
-0.84887 -0.95021 -0.63595 1.00000 258
-0.13778 0.53873 -0.26397 1.00000 303
-0.39636 0.40521 0.34473 1.00000 420
-0.23475 1.75397 0.37595 1.00000 353
-0.59029 0.88595 -0.26830 1.00000 318
-0.13778 0.80583 0.31525 1.00000 390
2.90054 0.83255 2.07110 1.00000 329
0.41170 0.91932 3.17144 1.00000 294
0.12080 0.13811 0.72278 1.00000 350
0.89654 1.32663 1.39044 1.00000 476
1.02583 2.20800 2.03209 1.00000 326
1.83389 -1.00365 -0.27264 1.00000 199
0.73493 0.21824 0.90574 1.00000 402
-0.23475 -1.22400 -0.57438 1.00000 195
1.73693 2.06109 0.93088 1.00000 182
0.12080 -0.65644 -0.73133 1.00000 78
1.57531 0.87261 1.41819 1.00000 347
2.93286 0.76576 0.22594 1.00000 471
-0.62262 4.70518 1.73641 1.00000 287
-0.10546 -0.91684 -0.70878 1.00000 29
-0.23475 -0.20241 -0.11049 1.00000 51
-0.78423 -0.18238 -0.71919 1.00000 139
0.31474 -0.03548 0.21900 1.00000 151
0.12080 -0.68981 -0.49028 1.00000 42
-0.65494 -0.72322 -0.92035 1.00000 343
-0.68726 -0.68981 -0.64722 1.00000 412
-0.78423 -0.56962 -0.45039 1.00000 408
0.21777 0.29836 0.68983 1.00000 364
-0.55797 -0.67647 -0.78422 1.00000 444
0.34706 2.46840 0.05339 1.00000 264
-1.04281 -0.72987 -0.76861 1.00000 222
-0.62262 -0.87678 -0.94376 1.00000 101
-0.39636 -0.02213 -0.27957 1.00000 97
0.21777 -0.59634 -0.37409 1.00000 203
0.12080 -0.82338 -0.82584 1.00000 183
0.63796 -0.31591 -0.17899 1.00000 344
-0.81655 0.45196 0.54069 1.00000 298
0.12080 -0.83672 -1.02700 1.00000 432
0.60564 0.06468 -0.22148 1.00000 255
0.34706 0.65892 0.41583 1.00000 487
5.32473 0.39187 1.36616 1.00000 361
-0.39636 -0.41606 -0.09749 1.00000 9
2.44802 -0.51622 -0.60820 1.00000 320
-0.78423 -0.72987 -0.94030 1.00000 18
-0.84887 -0.52956 -0.53190 1.00000 41
-0.29939 -0.30257 -0.31599 1.00000 422
-0.75191 -1.29074 -1.18742 1.00000 68
0.28241 1.07292 0.45745 1.00000 221
-0.88120 -1.75814 -1.39465 1.00000 426
-0.52565 1.10629 0.87626 1.00000 132
-0.17010 -0.79665 -0.83451 1.00000 367
-0.62262 0.43193 0.18172 1.00000 369
-0.39636 0.73904 0.12709 1.00000 63
-0.26707 1.70053 2.68240 1.00000 278
-0.23475 0.13811 -0.00211 1.00000 241
-0.52565 -0.63641 -0.56485 1.00000 5
-0.71958 -1.06375 -1.04868 1.00000 210
-0.36404 1.13966 0.44445 1.00000 157
0.05616 1.44682 0.64474 1.00000 306
0.67028 -0.71653 -0.50328 1.00000 21
1.15512 -0.54294 -0.00037 1.00000 374
-0.26707 1.01283 2.15348 1.00000 293
0.89654 0.58549 1.04360 1.00000 328
1.76925 1.86078 3.69690 1.00000 348
-0.20242 -1.45099 -1.13192 1.00000 261
-0.29939 0.87261 0.61439 1.00000 169
-0.00849 -0.67647 -0.55704 1.00000 305
-0.75191 -0.52956 -0.79983 1.00000 291
-0.36404 -0.41606 -1.05909 1.00000 263
1.31673 -1.07709 -0.50849 1.00000 200
-0.17010 -0.47616 -0.45126 1.00000 474
-0.62262 -0.36931 -0.04112 1.00000 242
2.35105 0.45196 0.89967 1.00000 482
1.09048 -0.12894 1.18754 1.00000 377
-0.49333 -0.56297 -0.97758 1.00000 96
1.05815 -1.03703 -0.93943 1.00000 122
0.54099 -0.22910 0.22594 1.00000 270
-0.91352 2.00769 -0.23709 1.00000 62
0.63796 0.95273 1.03146 1.00000 359
0.15312 -0.19572 -0.05500 1.00000 435
-0.68726 0.27168 0.92828 1.00000 144
-0.94584 -1.65799 -1.38251 1.00000 260
0.76725 1.19311 2.50031 1.00000 360
-0.36404 0.72570 -0.04026 1.00000 355
-0.71958 -0.03548 -0.21541 1.00000 266
-0.84887 -1.53780 -1.38771 1.00000 259
0.12080 0.08471 0.40976 1.00000 107
-0.26707 -0.15566 -0.00297 1.00000 469
-0.59029 -0.89012 -0.76948 1.00000 315
0.54099 0.25830 0.34386 1.00000 179
-0.84887 -1.45768 -1.19695 1.00000 262
-0.55797 0.85923 0.45658 1.00000 69
0.02383 0.87926 0.76007 1.00000 292
0.21777 1.03286 0.35340 1.00000 446
-0.33171 0.03131 -0.02812 1.00000 379
-0.52565 0.13811 -0.70965 1.00000 399
-1.07513 -1.57786 -1.42760 1.00000 53
-0.42868 -0.26251 -0.01945 1.00000 481
-0.52565 -1.44434 -1.09290 1.00000 57
-0.36404 -0.87678 -0.91949 1.00000 59
-0.68726 -0.30257 -0.31773 1.00000 371
-0.65494 0.85923 0.14530 1.00000 282
-0.91352 0.19156 -0.30906 1.00000 381
0.54099 -0.40272 -0.38362 1.00000 17
-0.26707 1.05954 0.06293 1.00000 91
-1.01049 -1.49105 -1.15707 1.00000 89
-0.65494 -1.17724 -1.17268 1.00000 445
0.96119 0.39187 0.82163 1.00000 434
0.18545 1.58035 2.48731 1.00000 275
-0.62262 0.39187 -0.53623 1.00000 105
-0.26707 -0.84341 -0.43131 1.00000 124
-0.78423 0.53873 -0.32726 1.00000 194
9.20343 1.52694 1.18234 1.00000 340
-0.20242 -0.14897 0.36034 1.00000 425
-0.20242 -0.63641 -0.84231 1.00000 135
-0.17010 1.16638 0.46005 1.00000 419
-0.71958 0.79249 0.36554 1.00000 2
0.08848 -0.96359 -0.86052 1.00000 94
-0.81655 -0.10226 -0.76514 1.00000 484
-0.07313 0.84589 -0.29085 1.00000 109
0.31474 0.41855 0.43231 1.00000 103
-0.71958 0.93935 -0.74780 1.00000 126
-0.91352 -1.15052 -1.17181 1.00000 324
3.61163 3.08936 1.59854 1.00000 341
-0.59029 -0.48950 -0.67150 1.00000 191
0.37938 -0.28919 -0.61687 1.00000 251
-0.94584 -1.45099 -1.35823 1.00000 394
1.25209 0.45861 -0.04459 1.00000 480
-0.88120 0.00459 -0.47727 1.00000 130
2.18944 -0.26251 0.09848 1.00000 429
-0.52565 -0.70319 -0.92729 1.00000 102
0.05616 -1.11715 -0.72092 1.00000 212
-0.29939 0.35180 1.06875 1.00000 184
-0.39636 -0.78331 -0.62728 1.00000 74
0.12080 -1.27071 -0.91342 1.00000 208
0.37938 1.94090 1.98526 1.00000 370
-0.88120 -0.16900 -0.71399 1.00000 125
-0.00849 0.69233 0.29877 1.00000 95
-0.91352 -0.14232 -0.74954 1.00000 388
-0.17010 -0.20906 0.12276 1.00000 437
-0.78423 -0.82338 -0.85619 1.00000 32
0.05616 -0.12894 -0.50588 1.00000 470
0.92886 0.29836 0.90053 1.00000 181
0.18545 1.71391 1.58293 1.00000 276
-0.75191 -0.37600 -0.37322 1.00000 226
-0.94584 -0.03548 -0.75474 1.00000 286
-0.46100 0.07137 0.65168 1.00000 281
0.63796 0.04465 0.48953 1.00000 401
-0.04081 -1.03703 -0.82671 1.00000 7
-0.29939 -1.01699 -0.85359 1.00000 227
1.28441 -0.35597 -0.17205 1.00000 271
-0.00849 0.95273 0.83203 1.00000 417
-0.46100 0.09805 -0.02552 1.00000 6
-0.49333 -0.60968 -0.38102 1.00000 459
-0.29939 -1.65130 -1.29667 1.00000 67
-1.10745 -1.39758 -1.36690 1.00000 55
-0.62262 0.33842 -0.05760 1.00000 235
0.99351 1.39342 1.38784 1.00000 172
-0.10546 1.97432 1.10430 1.00000 274
-0.65494 0.25830 0.24588 1.00000 147
-0.10546 -0.77662 -0.45039 1.00000 204
0.47635 -0.39603 -0.29345 1.00000 230
3.06215 0.67895 3.34919 1.00000 153
-0.71958 -0.30257 -0.88480 1.00000 171
-0.84887 0.08471 -0.15211 1.00000 234
0.50867 2.08112 1.95145 1.00000 285
-0.36404 -1.10381 -0.98365 1.00000 84
-0.71958 0.05799 -0.21541 1.00000 295
0.47635 -0.08888 0.27103 1.00000 188
-0.55797 -1.48440 -1.04955 1.00000 100
